cell_id,Nisaetus cirrhatus,Nisaetus cirrhatus cirrhatus/ceylanensis,Nisaetus cirrhatus [limnaeetus Group]
823c0ffffffffff,1.0,0.0,0.0
823c1ffffffffff,1.0,1.0,0.0
823c37fffffffff,10.0,0.0,4.0
823c57fffffffff,8.0,0.0,8.0
823c5ffffffffff,11.0,0.0,6.0
823c87fffffffff,5.0,3.0,2.0
823c8ffffffffff,7.0,3.0,4.0
823c97fffffffff,39.0,37.0,0.0
823ca7fffffffff,1.0,1.0,0.0
823cb7fffffffff,192.0,192.0,0.0
823cc7fffffffff,1.0,0.0,1.0
823ce7fffffffff,46.0,2.0,22.0
823ceffffffffff,9.0,0.0,5.0
823cf7fffffffff,11.0,2.0,4.0
823d17fffffffff,8.0,0.0,4.0
823d87fffffffff,10.0,8.0,0.0
823d97fffffffff,3.0,3.0,0.0
823d9ffffffffff,269.0,269.0,0.0
823daffffffffff,74.0,1.0,62.0
823db7fffffffff,7.0,7.0,0.0
8242dffffffffff,12.0,0.0,0.0
826007fffffffff,17.0,10.0,0.0
826017fffffffff,277.0,186.0,1.0
826027fffffffff,1.0,1.0,0.0
826037fffffffff,834.0,529.0,0.0
826087fffffffff,8.0,8.0,0.0
82608ffffffffff,261.0,256.0,0.0
826097fffffffff,163.0,158.0,0.0
82609ffffffffff,19.0,19.0,0.0
8260a7fffffffff,456.0,448.0,0.0
8260affffffffff,18.0,12.0,2.0
8260b7fffffffff,196.0,169.0,0.0
82611ffffffffff,1.0,1.0,0.0
82618ffffffffff,55.0,34.0,0.0
82619ffffffffff,2.0,2.0,0.0
826487fffffffff,10.0,0.0,6.0
826497fffffffff,3.0,0.0,3.0
8264a7fffffffff,2.0,0.0,2.0
8264b7fffffffff,7.0,0.0,3.0
826507fffffffff,207.0,0.0,134.0
82650ffffffffff,6.0,0.0,4.0
82651ffffffffff,249.0,0.0,114.0
826527fffffffff,156.0,0.0,90.0
82659ffffffffff,2.0,0.0,2.0
82681ffffffffff,2.0,0.0,2.0
