cell_id,Taeniopygia guttata,Taeniopygia guttata guttata,Taeniopygia guttata castanotis
826147fffffffff,1.0,0.0,0.0
82945ffffffffff,4.0,0.0,0.0
829487fffffffff,847.0,0.0,319.0
82948ffffffffff,72.0,0.0,19.0
829497fffffffff,95.0,0.0,28.0
8294affffffffff,50.0,0.0,13.0
8294c7fffffffff,66.0,0.0,9.0
8294cffffffffff,100.0,0.0,17.0
8294d7fffffffff,47.0,0.0,8.0
8294dffffffffff,2.0,0.0,0.0
8294e7fffffffff,128.0,0.0,20.0
8294effffffffff,120.0,0.0,37.0
8294f7fffffffff,71.0,0.0,3.0
829c27fffffffff,2.0,0.0,0.0
829c2ffffffffff,178.0,0.0,40.0
829c4ffffffffff,3.0,0.0,0.0
829c5ffffffffff,2.0,0.0,0.0
829c67fffffffff,165.0,0.0,62.0
829c6ffffffffff,131.0,0.0,42.0
829c77fffffffff,101.0,0.0,31.0
829d0ffffffffff,138.0,0.0,11.0
829d27fffffffff,16.0,0.0,2.0
829d2ffffffffff,44.0,0.0,31.0
829d47fffffffff,605.0,0.0,216.0
829d4ffffffffff,534.0,0.0,144.0
829d57fffffffff,41.0,0.0,11.0
829d5ffffffffff,88.0,0.0,19.0
829d67fffffffff,137.0,0.0,74.0
829d6ffffffffff,395.0,0.0,160.0
829d77fffffffff,122.0,0.0,21.0
82a607fffffffff,14.0,0.0,2.0
82a617fffffffff,590.0,0.0,364.0
82a627fffffffff,30.0,0.0,12.0
82a637fffffffff,139.0,0.0,74.0
82a6a7fffffffff,203.0,0.0,60.0
82a707fffffffff,41.0,0.0,19.0
82a717fffffffff,253.0,0.0,85.0
82a71ffffffffff,143.0,0.0,63.0
82a737fffffffff,44.0,0.0,15.0
82a787fffffffff,157.0,0.0,13.0
82a78ffffffffff,93.0,0.0,15.0
82a797fffffffff,17.0,0.0,2.0
82a79ffffffffff,196.0,0.0,61.0
82a7a7fffffffff,40.0,0.0,11.0
82a7affffffffff,19.0,0.0,19.0
82a7b7fffffffff,9.0,0.0,6.0
82b807fffffffff,3.0,0.0,3.0
82b80ffffffffff,5.0,0.0,5.0
82b817fffffffff,61.0,0.0,14.0
82b81ffffffffff,3.0,0.0,0.0
82b827fffffffff,10.0,0.0,8.0
82b82ffffffffff,5.0,0.0,3.0
82b837fffffffff,3.0,0.0,0.0
82b847fffffffff,67.0,0.0,32.0
82b84ffffffffff,21.0,0.0,3.0
82b857fffffffff,39.0,0.0,30.0
82b85ffffffffff,33.0,0.0,21.0
82b86ffffffffff,12.0,0.0,8.0
82b877fffffffff,5.0,0.0,5.0
82b887fffffffff,1369.0,0.0,372.0
82b88ffffffffff,54.0,0.0,37.0
82b897fffffffff,25.0,0.0,10.0
82b89ffffffffff,138.0,0.0,32.0
82b8a7fffffffff,175.0,0.0,48.0
82b8affffffffff,528.0,0.0,125.0
82b8b7fffffffff,14.0,0.0,7.0
82b8c7fffffffff,8.0,0.0,8.0
82b8cffffffffff,7.0,0.0,1.0
82b8d7fffffffff,1.0,0.0,1.0
82b8f7fffffffff,2.0,0.0,2.0
82b917fffffffff,9.0,0.0,1.0
82b91ffffffffff,1.0,0.0,0.0
82b987fffffffff,639.0,0.0,204.0
82b98ffffffffff,217.0,0.0,61.0
82b997fffffffff,194.0,0.0,41.0
82b99ffffffffff,196.0,0.0,56.0
82b9a7fffffffff,171.0,0.0,42.0
82b9affffffffff,205.0,0.0,26.0
82b9b7fffffffff,1091.0,0.0,204.0
82be0ffffffffff,663.0,0.0,128.0
82be1ffffffffff,102.0,0.0,29.0
82be47fffffffff,329.0,0.0,74.0
82be4ffffffffff,58.0,0.0,7.0
82be57fffffffff,506.0,0.0,57.0
82be5ffffffffff,65.0,0.0,17.0
82be67fffffffff,1844.0,0.0,599.0
82be77fffffffff,19.0,0.0,11.0
82be8ffffffffff,20.0,0.0,4.0
82bec7fffffffff,121.0,0.0,14.0
82becffffffffff,820.0,0.0,152.0
82bed7fffffffff,39.0,0.0,8.0
82bedffffffffff,35.0,0.0,14.0
82bee7fffffffff,232.0,0.0,30.0
82beeffffffffff,213.0,0.0,70.0
82bef7fffffffff,532.0,0.0,63.0
82c997fffffffff,2.0,0.0,0.0
