cell_id,Zonotrichia capensis,Zonotrichia capensis [capensis Group],Zonotrichia capensis australis
8426813ffffffff,8.0,0.0,0.0
8445205ffffffff,2.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0
844c893ffffffff,4.0,0.0,0.0
844cd45ffffffff,3.0,0.0,0.0
844cd65ffffffff,2.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f483ffffffff,6.0,0.0,0.0
84660b1ffffffff,2.0,0.0,0.0
84660bdffffffff,4.0,0.0,0.0
84660ddffffffff,4.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0
84661b7ffffffff,1.0,0.0,0.0
84661b9ffffffff,18.0,0.0,0.0
84661bdffffffff,21.0,0.0,0.0
846622bffffffff,1.0,1.0,0.0
8466299ffffffff,2.0,2.0,0.0
8466a57ffffffff,1.0,0.0,0.0
8466b41ffffffff,1.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0
8466b4dffffffff,9.0,2.0,0.0
8466b53ffffffff,3.0,0.0,0.0
8466b5bffffffff,2.0,0.0,0.0
8466c41ffffffff,138.0,0.0,0.0
8466c47ffffffff,4.0,0.0,0.0
8466c49ffffffff,16.0,0.0,0.0
8466d13ffffffff,3.0,0.0,0.0
8466d31ffffffff,14.0,11.0,0.0
8466d33ffffffff,23.0,16.0,0.0
8466d3bffffffff,7.0,7.0,0.0
8466da3ffffffff,3.0,0.0,0.0
8466de1ffffffff,47.0,47.0,0.0
8466de3ffffffff,32.0,0.0,0.0
8466de7ffffffff,81.0,1.0,0.0
8466dedffffffff,9.0,7.0,0.0
8466e43ffffffff,1.0,0.0,0.0
8466e45ffffffff,1.0,0.0,0.0
8466e57ffffffff,3.0,0.0,0.0
8466e63ffffffff,13.0,0.0,0.0
8466e67ffffffff,4.0,0.0,0.0
8466e69ffffffff,5.0,0.0,0.0
8466e6dffffffff,3.0,0.0,0.0
8466f1dffffffff,4.0,0.0,0.0
8467413ffffffff,45.0,0.0,0.0
8467417ffffffff,2.0,2.0,0.0
8467447ffffffff,2.0,0.0,0.0
8467461ffffffff,3.0,0.0,0.0
84674e9ffffffff,3.0,3.0,0.0
8467519ffffffff,1.0,0.0,0.0
84675a5ffffffff,2.0,2.0,0.0
84675cbffffffff,2.0,0.0,0.0
84675ebffffffff,1.0,1.0,0.0
84679a1ffffffff,3.0,0.0,0.0
84679a5ffffffff,7.0,0.0,0.0
84679a7ffffffff,25.0,0.0,0.0
846d23bffffffff,7.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0
846d287ffffffff,2.0,0.0,0.0
846d28dffffffff,3.0,0.0,0.0
846d2a9ffffffff,1.0,0.0,0.0
846d2b9ffffffff,2.0,0.0,0.0
846d645ffffffff,1.0,0.0,0.0
846d691ffffffff,19.0,4.0,0.0
846d697ffffffff,2.0,0.0,0.0
846d699ffffffff,7.0,3.0,0.0
846d69bffffffff,17.0,7.0,0.0
846d69dffffffff,12.0,5.0,0.0
846d6d3ffffffff,3.0,0.0,0.0
846d6d5ffffffff,3.0,0.0,0.0
8481099ffffffff,1.0,0.0,0.0
848b1e1ffffffff,1.0,0.0,0.0
848b201ffffffff,1.0,1.0,0.0
848b203ffffffff,5.0,5.0,0.0
848b205ffffffff,2.0,2.0,0.0
848b20bffffffff,1.0,1.0,0.0
848b21dffffffff,11.0,11.0,0.0
848b251ffffffff,5.0,5.0,0.0
848b259ffffffff,19.0,19.0,0.0
848b25dffffffff,2.0,2.0,0.0
848e62dffffffff,1.0,1.0,0.0
848e647ffffffff,1.0,1.0,0.0
848e665ffffffff,1.0,1.0,0.0
848e759ffffffff,3.0,0.0,0.0
848f295ffffffff,2.0,0.0,0.0
848f2ddffffffff,1.0,0.0,0.0
848f401ffffffff,1.0,0.0,0.0
848f447ffffffff,2.0,0.0,0.0
848f4a5ffffffff,4.0,4.0,0.0
848f4b3ffffffff,35.0,0.0,0.0
848f553ffffffff,1.0,1.0,0.0
848f559ffffffff,3.0,2.0,0.0
848f5cdffffffff,1.0,1.0,0.0
848f705ffffffff,2.0,2.0,0.0
848f745ffffffff,1.0,0.0,0.0
848f74dffffffff,2.0,0.0,0.0
84a8127ffffffff,2.0,2.0,0.0
84a92cbffffffff,4.0,0.0,0.0
84a9611ffffffff,7.0,0.0,0.0
84a9613ffffffff,56.0,0.0,0.0
84a9617ffffffff,41.0,0.0,0.0
84a9619ffffffff,28.0,0.0,0.0
84a9653ffffffff,32.0,0.0,0.0
84a965bffffffff,2.0,0.0,0.0
84a96c5ffffffff,1.0,0.0,0.0
84a96d9ffffffff,3.0,0.0,0.0
84a96e7ffffffff,2.0,0.0,0.0
84a96e9ffffffff,3.0,0.0,0.0
84b2199ffffffff,2.0,2.0,0.0
84b22d9ffffffff,1.0,0.0,1.0
84b248bffffffff,69.0,0.0,0.0
84b2491ffffffff,2.0,0.0,0.0
84b2493ffffffff,8.0,0.0,0.0
84b2495ffffffff,4.0,0.0,0.0
84b2497ffffffff,5.0,0.0,0.0
84b2499ffffffff,57.0,0.0,0.0
84b249bffffffff,31.0,0.0,0.0
84b249dffffffff,62.0,0.0,0.0
84b24b3ffffffff,2.0,0.0,0.0
84b24b9ffffffff,7.0,0.0,0.0
