cell_id,Lacedo pulchella,Lacedo pulchella [pulchella Group],Lacedo pulchella melanops
84414b1ffffffff,1.0,0.0,0.0
8441651ffffffff,1.0,0.0,0.0
84416a3ffffffff,2.0,0.0,0.0
846414dffffffff,2.0,0.0,0.0
8464161ffffffff,9.0,0.0,0.0
846416dffffffff,279.0,85.0,0.0
846430bffffffff,1.0,0.0,0.0
8464319ffffffff,67.0,28.0,0.0
846431dffffffff,4.0,3.0,0.0
8464323ffffffff,43.0,37.0,0.0
8464331ffffffff,1.0,0.0,0.0
846433dffffffff,21.0,13.0,0.0
8464343ffffffff,91.0,44.0,0.0
846434bffffffff,1.0,1.0,0.0
8464353ffffffff,3.0,2.0,0.0
8464359ffffffff,12.0,7.0,0.0
846435bffffffff,2.0,0.0,0.0
846480bffffffff,11.0,8.0,0.0
8464825ffffffff,4.0,4.0,0.0
8464827ffffffff,5.0,0.0,0.0
846482dffffffff,4.0,4.0,0.0
8464839ffffffff,1.0,0.0,0.0
846484bffffffff,1.0,0.0,0.0
8464951ffffffff,3.0,3.0,0.0
8464a11ffffffff,4.0,4.0,0.0
8464a15ffffffff,5.0,2.0,0.0
8464a1bffffffff,2.0,0.0,0.0
8464a35ffffffff,3.0,0.0,0.0
8464a3dffffffff,2.0,0.0,0.0
8464b51ffffffff,1.0,0.0,0.0
8464b55ffffffff,11.0,6.0,0.0
8464b57ffffffff,4.0,0.0,0.0
8465005ffffffff,65.0,0.0,0.0
8465009ffffffff,38.0,0.0,0.0
846500bffffffff,24.0,0.0,0.0
846500dffffffff,2.0,0.0,0.0
8465021ffffffff,4.0,0.0,0.0
8465029ffffffff,4.0,0.0,0.0
846502bffffffff,57.0,0.0,0.0
846502dffffffff,1.0,0.0,0.0
8465031ffffffff,8.0,0.0,0.0
8465033ffffffff,31.0,0.0,0.0
8465037ffffffff,7.0,0.0,0.0
846503bffffffff,5.0,0.0,0.0
8465043ffffffff,2.0,0.0,0.0
846504bffffffff,3.0,0.0,0.0
8465055ffffffff,63.0,0.0,0.0
8465057ffffffff,9.0,0.0,0.0
846505dffffffff,67.0,0.0,0.0
8465063ffffffff,5.0,0.0,0.0
846506bffffffff,3.0,0.0,0.0
8465183ffffffff,30.0,12.0,0.0
8465189ffffffff,34.0,7.0,0.0
846518bffffffff,18.0,4.0,0.0
8465191ffffffff,1.0,0.0,0.0
8465195ffffffff,4.0,0.0,0.0
846519dffffffff,4.0,0.0,0.0
84651b1ffffffff,4.0,0.0,0.0
84651b3ffffffff,5.0,0.0,0.0
84651b7ffffffff,1.0,0.0,0.0
84651b9ffffffff,2.0,0.0,0.0
84651c1ffffffff,15.0,8.0,0.0
84651c3ffffffff,11.0,5.0,0.0
84651c7ffffffff,3.0,0.0,0.0
84651c9ffffffff,15.0,8.0,0.0
84651cbffffffff,12.0,2.0,0.0
84651cdffffffff,56.0,8.0,0.0
84651d9ffffffff,1.0,0.0,0.0
8465205ffffffff,2.0,0.0,0.0
8465221ffffffff,9.0,0.0,0.0
8465223ffffffff,13.0,0.0,0.0
8465225ffffffff,16.0,0.0,0.0
8465227ffffffff,8.0,0.0,0.0
8465229ffffffff,238.0,0.0,0.0
8465263ffffffff,2.0,0.0,0.0
8465545ffffffff,9.0,0.0,0.0
