cell_id,Rhodinocichla rosea,Rhodinocichla rosea schistacea,Rhodinocichla rosea eximia,Rhodinocichla rosea [rosea Group]
824807fffffffff,2.0,0.0,0.0,0.0
824837fffffffff,805.0,0.0,0.0,0.0
82498ffffffffff,2.0,0.0,0.0,0.0
8249affffffffff,467.0,0.0,0.0,0.0
82660ffffffffff,4.0,0.0,0.0,0.0
826617fffffffff,6.0,0.0,0.0,0.0
82661ffffffffff,126.0,0.0,0.0,0.0
826627fffffffff,671.0,0.0,0.0,0.0
82662ffffffffff,43.0,0.0,0.0,0.0
826677fffffffff,6.0,0.0,0.0,0.0
8266a7fffffffff,2182.0,0.0,0.0,0.0
8266b7fffffffff,761.0,0.0,0.0,0.0
8266e7fffffffff,1529.0,0.0,0.0,0.0
826747fffffffff,24.0,0.0,0.0,0.0
82674ffffffffff,857.0,0.0,0.0,0.0
826757fffffffff,158.0,0.0,0.0,0.0
82675ffffffffff,60.0,0.0,0.0,0.0
