cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
84524d3ffffffff,3.0,3.0,0.0,0.0
84524d7ffffffff,4.0,0.0,0.0,0.0
8452831ffffffff,2.0,0.0,0.0,0.0
845291bffffffff,9.0,0.0,0.0,0.0
845299bffffffff,2.0,0.0,0.0,0.0
84529b5ffffffff,13.0,0.0,0.0,0.0
84529b7ffffffff,3.0,0.0,0.0,0.0
84529b9ffffffff,52.0,0.0,0.0,0.0
84529bdffffffff,2.0,0.0,0.0,0.0
84529dbffffffff,2.0,0.0,0.0,0.0
84529edffffffff,2.0,0.0,0.0,0.0
84540abffffffff,7.0,0.0,0.0,0.0
8454101ffffffff,2.0,0.0,0.0,0.0
8454103ffffffff,130.0,34.0,0.0,0.0
8454107ffffffff,3.0,0.0,0.0,0.0
8454115ffffffff,2.0,0.0,0.0,0.0
8454139ffffffff,52.0,16.0,0.0,0.0
8454157ffffffff,2.0,0.0,0.0,0.0
8454197ffffffff,3.0,0.0,0.0,0.0
84541a3ffffffff,62.0,14.0,0.0,0.0
84541a5ffffffff,40.0,11.0,0.0,0.0
84541a7ffffffff,2.0,0.0,0.0,0.0
84541adffffffff,2.0,0.0,0.0,0.0
84541b3ffffffff,4.0,0.0,0.0,0.0
84541b5ffffffff,2.0,0.0,0.0,0.0
84541b9ffffffff,109.0,9.0,0.0,0.0
84541bbffffffff,3.0,0.0,0.0,0.0
84541bdffffffff,12.0,4.0,0.0,0.0
845440dffffffff,2.0,0.0,0.0,0.0
8454443ffffffff,4.0,0.0,0.0,0.0
8454499ffffffff,2.0,0.0,0.0,0.0
8454a93ffffffff,113.0,13.0,0.0,0.0
8454a99ffffffff,2.0,0.0,0.0,0.0
8454a9bffffffff,148.0,22.0,0.0,0.0
8454ac3ffffffff,23.0,0.0,0.0,0.0
8454ad3ffffffff,3.0,0.0,0.0,0.0
8454ad5ffffffff,33.0,0.0,0.0,0.0
8454ad7ffffffff,1.0,0.0,0.0,0.0
8454c41ffffffff,2.0,0.0,0.0,0.0
8454c43ffffffff,1.0,1.0,0.0,0.0
8454c4bffffffff,1.0,1.0,0.0,0.0
8454c51ffffffff,9.0,2.0,0.0,0.0
8454c53ffffffff,4.0,2.0,0.0,0.0
8454c55ffffffff,1.0,0.0,0.0,0.0
8454cd3ffffffff,1.0,0.0,0.0,0.0
8454e25ffffffff,4.0,0.0,0.0,0.0
8454e29ffffffff,1.0,0.0,0.0,0.0
8454e41ffffffff,12.0,0.0,0.0,0.0
8454e4bffffffff,2.0,2.0,0.0,0.0
8454e4dffffffff,74.0,17.0,0.0,0.0
8454e59ffffffff,7.0,5.0,0.0,0.0
8454e67ffffffff,2.0,0.0,0.0,0.0
8454e69ffffffff,3.0,0.0,0.0,0.0
8454e8bffffffff,4.0,0.0,0.0,0.0
8454ea5ffffffff,2.0,1.0,0.0,0.0
8454eadffffffff,2.0,2.0,0.0,0.0
8454f09ffffffff,2.0,0.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0,0.0
8454f15ffffffff,5.0,0.0,0.0,0.0
8454f1bffffffff,1.0,0.0,0.0,0.0
8454f45ffffffff,6.0,1.0,0.0,0.0
8454f47ffffffff,4.0,2.0,0.0,0.0
8454f49ffffffff,5.0,4.0,0.0,0.0
8454f4dffffffff,26.0,3.0,0.0,0.0
8454f57ffffffff,15.0,0.0,0.0,0.0
8458581ffffffff,4.0,0.0,0.0,0.0
8458585ffffffff,2.0,2.0,0.0,0.0
8458587ffffffff,1.0,0.0,0.0,0.0
84585abffffffff,1.0,0.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0,0.0
845889dffffffff,2.0,0.0,0.0,0.0
8458901ffffffff,3.0,0.0,0.0,0.0
845890bffffffff,10.0,0.0,0.0,0.0
845890dffffffff,81.0,0.0,0.0,0.0
8458919ffffffff,3.0,0.0,0.0,0.0
845891dffffffff,2.0,0.0,0.0,0.0
8458943ffffffff,2.0,0.0,0.0,0.0
845894bffffffff,7.0,0.0,0.0,0.0
8458963ffffffff,3.0,0.0,0.0,0.0
845896bffffffff,4.0,0.0,0.0,0.0
84589c9ffffffff,2.0,0.0,0.0,0.0
8458a4dffffffff,8.0,0.0,0.0,0.0
8458b51ffffffff,3.0,0.0,0.0,0.0
8458c3dffffffff,3.0,3.0,0.0,0.0
8458c8bffffffff,4.0,0.0,0.0,0.0
8458cd9ffffffff,3.0,0.0,0.0,0.0
8458db1ffffffff,1.0,0.0,0.0,0.0
8458e2dffffffff,10.0,0.0,0.0,0.0
8458f09ffffffff,1.0,0.0,0.0,0.0
8458f5bffffffff,5.0,0.0,0.0,0.0
84598d7ffffffff,4.0,0.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0,0.0
8459985ffffffff,11.0,2.0,0.0,0.0
84599a5ffffffff,20.0,0.0,0.0,0.0
84599adffffffff,1.0,0.0,0.0,0.0
84599b1ffffffff,2.0,0.0,0.0,0.0
84599e5ffffffff,12.0,0.0,0.0,0.0
84599e7ffffffff,4.0,0.0,0.0,0.0
846a459ffffffff,6.0,0.0,0.0,0.0
846a495ffffffff,3.0,0.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0,0.0
846a49dffffffff,3.0,0.0,0.0,0.0
846a5a9ffffffff,10.0,1.0,0.0,0.0
846a697ffffffff,11.0,0.0,0.0,0.0
846a9e5ffffffff,2.0,0.0,0.0,0.0
846ac03ffffffff,15.0,2.0,0.0,0.0
846ac07ffffffff,1.0,0.0,0.0,0.0
846ac0bffffffff,12.0,1.0,0.0,0.0
846ac11ffffffff,3.0,0.0,0.0,0.0
846ac15ffffffff,33.0,0.0,0.0,0.0
846ac19ffffffff,2.0,0.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0,0.0
846ac23ffffffff,5.0,0.0,0.0,0.0
846ac31ffffffff,17.0,3.0,0.0,0.0
846ac35ffffffff,15.0,2.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0,0.0
846ac39ffffffff,9.0,0.0,0.0,0.0
846ac3dffffffff,367.0,45.0,0.0,0.0
846ac89ffffffff,666.0,48.0,0.0,0.0
846ac8dffffffff,12.0,0.0,0.0,0.0
846ac93ffffffff,13.0,0.0,0.0,0.0
846ac9bffffffff,21.0,0.0,0.0,0.0
846aca5ffffffff,2.0,0.0,0.0,0.0
846acadffffffff,4.0,0.0,0.0,0.0
846acc7ffffffff,4.0,0.0,0.0,0.0
846accbffffffff,7.0,0.0,0.0,0.0
846acd1ffffffff,29.0,2.0,0.0,0.0
846acd5ffffffff,10.0,1.0,0.0,0.0
846acdbffffffff,1.0,0.0,0.0,0.0
846ace1ffffffff,1.0,0.0,0.0,0.0
846ace5ffffffff,403.0,33.0,0.0,0.0
846acebffffffff,1.0,0.0,0.0,0.0
846ad81ffffffff,153.0,13.0,0.0,0.0
846ad85ffffffff,3.0,0.0,0.0,0.0
846ad89ffffffff,50.0,5.0,0.0,0.0
846ad8bffffffff,49.0,0.0,0.0,0.0
846ad8dffffffff,16.0,4.0,0.0,0.0
846ad9dffffffff,4.0,0.0,0.0,0.0
846adc1ffffffff,57.0,2.0,0.0,0.0
846adc3ffffffff,18.0,0.0,0.0,0.0
846adc7ffffffff,74.0,0.0,0.0,0.0
846adc9ffffffff,20.0,3.0,0.0,0.0
846add5ffffffff,8.0,3.0,0.0,0.0
846add7ffffffff,29.0,3.0,0.0,0.0
846add9ffffffff,10.0,0.0,0.0,0.0
846adddffffffff,5.0,2.0,0.0,0.0
846ade7ffffffff,12.0,0.0,0.0,0.0
846ade9ffffffff,3.0,0.0,0.0,0.0
846adebffffffff,14.0,0.0,0.0,0.0
846ae0bffffffff,2.0,0.0,0.0,0.0
846ae85ffffffff,163.0,26.0,0.0,0.0
846aea1ffffffff,21.0,2.0,0.0,0.0
846aea3ffffffff,7.0,2.0,0.0,0.0
846aea9ffffffff,50.0,11.0,0.0,0.0
846aeabffffffff,11.0,0.0,0.0,0.0
846aeb5ffffffff,8.0,2.0,0.0,0.0
846aee3ffffffff,49.0,1.0,0.0,0.0
846b127ffffffff,3.0,0.0,0.0,0.0
846b6ebffffffff,2.0,0.0,0.0,0.0
8475083ffffffff,26.0,0.0,0.0,0.0
8475085ffffffff,8.0,0.0,0.0,0.0
8475087ffffffff,4.0,0.0,0.0,0.0
847509dffffffff,18.0,1.0,0.0,0.0
84750a1ffffffff,1.0,0.0,0.0,0.0
84750d1ffffffff,23.0,4.0,0.0,0.0
84750d3ffffffff,36.0,2.0,0.0,0.0
84750dbffffffff,9.0,0.0,0.0,0.0
84750ddffffffff,7.0,0.0,0.0,0.0
8475119ffffffff,2.0,0.0,0.0,0.0
8475195ffffffff,2.0,0.0,0.0,0.0
847519bffffffff,1.0,0.0,0.0,0.0
