cell_id,Aplonis metallica,Aplonis metallica circumscripta,Aplonis metallica [metallica Group]
83729dfffffffff,2.0,0.0,0.0
8372aefffffffff,1.0,0.0,0.0
8372c9fffffffff,2.0,0.0,0.0
8372d2fffffffff,2.0,0.0,0.0
8372f2fffffffff,2.0,0.0,2.0
837683fffffffff,4.0,0.0,0.0
83769dfffffffff,1.0,0.0,0.0
8376a2fffffffff,1.0,0.0,0.0
837795fffffffff,7.0,0.0,0.0
837798fffffffff,1.0,0.0,0.0
83779cfffffffff,2.0,0.0,0.0
839561fffffffff,11.0,0.0,0.0
83956dfffffffff,3.0,0.0,0.0
839c23fffffffff,1.0,0.0,0.0
839c90fffffffff,15.0,0.0,0.0
839ca6fffffffff,1.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0
839cd3fffffffff,17.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0
839edafffffffff,10.0,0.0,0.0
839edefffffffff,6.0,0.0,0.0
