cell_id,Platyrinchus mystaceus,Platyrinchus mystaceus [albogularis Group],Platyrinchus mystaceus [mystaceus Group]
845f407ffffffff,1.0,0.0,0.0
845f581ffffffff,3.0,0.0,0.0
845f583ffffffff,37.0,0.0,0.0
845f587ffffffff,1.0,0.0,0.0
845f595ffffffff,1.0,0.0,0.0
845f5b5ffffffff,21.0,0.0,0.0
845f711ffffffff,4.0,0.0,0.0
846608dffffffff,42.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0
84660b9ffffffff,2.0,0.0,0.0
8466129ffffffff,9.0,0.0,0.0
8466131ffffffff,22.0,0.0,0.0
8466137ffffffff,2.0,0.0,0.0
8466139ffffffff,23.0,0.0,0.0
8466185ffffffff,6.0,0.0,0.0
846619bffffffff,4.0,0.0,0.0
84661b1ffffffff,78.0,0.0,0.0
84661b3ffffffff,10.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0
84661bdffffffff,2.0,0.0,0.0
84661d1ffffffff,154.0,0.0,0.0
84661ddffffffff,1.0,0.0,0.0
84661ebffffffff,1.0,0.0,0.0
8466213ffffffff,3.0,0.0,0.0
846622bffffffff,22.0,0.0,0.0
8466a01ffffffff,8.0,0.0,0.0
8466a05ffffffff,4.0,0.0,0.0
8466a0bffffffff,181.0,0.0,0.0
8466a2dffffffff,19.0,0.0,0.0
8466a33ffffffff,27.0,0.0,0.0
8466a57ffffffff,209.0,0.0,0.0
8466a5bffffffff,7.0,0.0,0.0
8466b41ffffffff,57.0,0.0,0.0
8466b43ffffffff,13.0,0.0,0.0
8466b45ffffffff,3.0,0.0,0.0
8466b47ffffffff,9.0,0.0,0.0
8466b49ffffffff,252.0,0.0,0.0
8466b4dffffffff,497.0,0.0,0.0
8466b51ffffffff,192.0,0.0,0.0
8466b53ffffffff,8.0,0.0,0.0
8466b55ffffffff,131.0,0.0,0.0
8466b5bffffffff,52.0,0.0,0.0
8466b5dffffffff,12.0,0.0,0.0
