cell_id,Tityra cayana,Tityra cayana braziliensis,Tityra cayana cayana
8366dafffffffff,3.0,0.0,0.0
8366defffffffff,10.0,0.0,1.0
838185fffffffff,2.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0
838b22fffffffff,4.0,0.0,4.0
838b56fffffffff,2.0,0.0,2.0
838b5cfffffffff,6.0,0.0,6.0
838b61fffffffff,3.0,0.0,0.0
838f40fffffffff,14.0,0.0,0.0
838f72fffffffff,6.0,0.0,2.0
83a941fffffffff,2.0,0.0,0.0
83a944fffffffff,1.0,0.0,0.0
83a945fffffffff,3.0,0.0,0.0
83a946fffffffff,4.0,0.0,0.0
83a950fffffffff,9.0,0.0,0.0
83a953fffffffff,5.0,0.0,0.0
83a95cfffffffff,1.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
