cell_id,Buteo platypterus,Buteo platypterus platypterus,Buteo platypterus [antillarum Group]
840e491ffffffff,11.0,0.0,0.0
840e493ffffffff,5.0,0.0,0.0
840e497ffffffff,83.0,0.0,0.0
840e499ffffffff,6.0,0.0,0.0
840e49bffffffff,36.0,0.0,0.0
840e4a7ffffffff,2.0,0.0,0.0
840e4b3ffffffff,46.0,0.0,0.0
840e4d1ffffffff,8.0,0.0,0.0
840e4d3ffffffff,3.0,0.0,0.0
840e4dbffffffff,46.0,0.0,0.0
840e5b3ffffffff,17.0,0.0,0.0
840ec81ffffffff,7.0,0.0,0.0
840ec83ffffffff,6.0,0.0,0.0
840ec91ffffffff,6.0,0.0,0.0
840ec95ffffffff,10.0,0.0,0.0
840ec97ffffffff,7.0,0.0,0.0
840ec9dffffffff,2.0,0.0,0.0
840eca5ffffffff,4.0,0.0,0.0
840ecabffffffff,1.0,0.0,0.0
840ecb9ffffffff,9.0,0.0,0.0
840ecbdffffffff,5.0,0.0,0.0
840ecd7ffffffff,2.0,0.0,0.0
840ed85ffffffff,4.0,0.0,0.0
840ed9bffffffff,2.0,0.0,0.0
840edbbffffffff,2.0,0.0,0.0
84120a5ffffffff,2.0,0.0,0.0
84120b7ffffffff,4.0,0.0,0.0
841213bffffffff,2.0,0.0,0.0
8412181ffffffff,4.0,0.0,0.0
8412185ffffffff,4.0,0.0,0.0
84121a7ffffffff,1.0,0.0,0.0
84121abffffffff,2.0,0.0,0.0
84121b5ffffffff,1.0,0.0,0.0
84121bdffffffff,2.0,0.0,0.0
84121e1ffffffff,2.0,0.0,0.0
84121e3ffffffff,10.0,0.0,0.0
8412299ffffffff,2.0,0.0,0.0
8412301ffffffff,1.0,0.0,0.0
8412307ffffffff,3.0,0.0,0.0
8412339ffffffff,1.0,0.0,0.0
8412433ffffffff,1.0,0.0,0.0
8412437ffffffff,4.0,0.0,0.0
84124a7ffffffff,2.0,0.0,0.0
84124b7ffffffff,2.0,0.0,0.0
84124bdffffffff,4.0,0.0,0.0
84124d1ffffffff,4.0,0.0,0.0
84124d9ffffffff,2.0,0.0,0.0
84124dbffffffff,5.0,0.0,0.0
84124e5ffffffff,4.0,0.0,0.0
8412501ffffffff,6.0,0.0,0.0
8412505ffffffff,12.0,0.0,0.0
8412507ffffffff,4.0,0.0,0.0
8412509ffffffff,3.0,0.0,0.0
8412511ffffffff,9.0,0.0,0.0
8412515ffffffff,85.0,0.0,0.0
841251dffffffff,40.0,0.0,0.0
8412521ffffffff,16.0,0.0,0.0
8412525ffffffff,2.0,0.0,0.0
8412527ffffffff,7.0,0.0,0.0
8412529ffffffff,2.0,0.0,0.0
841252bffffffff,2.0,0.0,0.0
841252dffffffff,3.0,0.0,0.0
8412535ffffffff,6.0,0.0,0.0
8412539ffffffff,4.0,0.0,0.0
841253bffffffff,7.0,0.0,0.0
8412541ffffffff,3.0,0.0,0.0
8412543ffffffff,14.0,0.0,0.0
8412549ffffffff,66.0,0.0,0.0
841254bffffffff,20.0,0.0,0.0
8412555ffffffff,8.0,0.0,0.0
8412565ffffffff,6.0,0.0,0.0
8412591ffffffff,11.0,0.0,0.0
8412593ffffffff,1.0,0.0,0.0
8412597ffffffff,9.0,0.0,0.0
8412599ffffffff,2.0,0.0,0.0
84125bbffffffff,1.0,0.0,0.0
84125c7ffffffff,1.0,0.0,0.0
84125d3ffffffff,8.0,0.0,0.0
84125d9ffffffff,24.0,0.0,0.0
84125dbffffffff,13.0,0.0,0.0
84125ebffffffff,1.0,0.0,0.0
84126a1ffffffff,2.0,0.0,0.0
8412721ffffffff,55.0,0.0,0.0
8412723ffffffff,94.0,0.0,0.0
8412727ffffffff,2.0,0.0,0.0
8412735ffffffff,2.0,0.0,0.0
8412a87ffffffff,3.0,0.0,0.0
