cell_id,Selasphorus flammula,Selasphorus flammula flammula,Selasphorus flammula torridus,Selasphorus flammula simoni
8366b4fffffffff,11196.0,0.0,150.0,0.0
8366b5fffffffff,647.0,0.0,27.0,0.0
836d69fffffffff,821.0,0.0,0.0,0.0
