cell_id,Treron phoenicopterus,Treron phoenicopterus chlorigaster/phillipsi,Treron phoenicopterus [phoenicopterus Group]
843c065ffffffff,3.0,0.0,0.0
843c067ffffffff,2.0,0.0,0.0
843c0a5ffffffff,5.0,0.0,0.0
843c0b5ffffffff,1.0,0.0,0.0
843c11bffffffff,1.0,0.0,0.0
843c139ffffffff,2.0,0.0,0.0
843c141ffffffff,3.0,0.0,0.0
843c159ffffffff,93.0,0.0,0.0
843c15bffffffff,2.0,0.0,0.0
843c165ffffffff,26.0,0.0,0.0
843c191ffffffff,19.0,0.0,0.0
843c193ffffffff,9.0,0.0,0.0
843c199ffffffff,41.0,0.0,0.0
843c19bffffffff,35.0,0.0,0.0
843c19dffffffff,2.0,0.0,0.0
843c1a9ffffffff,4.0,0.0,0.0
843c1abffffffff,3.0,0.0,0.0
843c1b5ffffffff,35.0,0.0,0.0
843c1b9ffffffff,4.0,0.0,0.0
843c1c3ffffffff,121.0,0.0,0.0
843c1d1ffffffff,2.0,0.0,0.0
843c1d5ffffffff,3.0,0.0,0.0
843c1d7ffffffff,10.0,0.0,0.0
843c1e1ffffffff,2.0,0.0,0.0
843c1e9ffffffff,42.0,0.0,0.0
843c329ffffffff,2.0,0.0,0.0
843c333ffffffff,5.0,0.0,0.0
843c335ffffffff,17.0,0.0,0.0
843c337ffffffff,1.0,0.0,0.0
843c33bffffffff,1.0,0.0,0.0
843c363ffffffff,2.0,0.0,0.0
843c369ffffffff,21.0,0.0,0.0
843c36bffffffff,15.0,0.0,0.0
843c36dffffffff,2.0,0.0,0.0
843c525ffffffff,5.0,0.0,0.0
843c527ffffffff,4.0,0.0,0.0
843c537ffffffff,3.0,0.0,0.0
843c585ffffffff,7.0,0.0,0.0
843c5a1ffffffff,96.0,0.0,0.0
843c5a9ffffffff,80.0,0.0,0.0
843c5adffffffff,27.0,0.0,0.0
843c5e7ffffffff,2.0,0.0,0.0
843c801ffffffff,8.0,0.0,0.0
843c805ffffffff,13.0,0.0,0.0
843c807ffffffff,4.0,0.0,0.0
843c80bffffffff,1.0,0.0,0.0
843c823ffffffff,1.0,0.0,0.0
843c82dffffffff,2.0,0.0,0.0
843c831ffffffff,3.0,0.0,0.0
843c839ffffffff,40.0,0.0,0.0
843c83bffffffff,4.0,0.0,0.0
843c843ffffffff,4.0,0.0,0.0
843c855ffffffff,2.0,0.0,0.0
843c885ffffffff,8.0,0.0,0.0
843c899ffffffff,65.0,0.0,0.0
843c89bffffffff,2.0,0.0,0.0
843c8c1ffffffff,2.0,0.0,0.0
843c8c3ffffffff,8.0,0.0,0.0
843c8c7ffffffff,23.0,0.0,0.0
843c8c9ffffffff,7.0,0.0,0.0
843c8cbffffffff,64.0,0.0,0.0
843c8d3ffffffff,10.0,0.0,0.0
843c8d5ffffffff,3.0,0.0,0.0
843c8d7ffffffff,29.0,0.0,0.0
843c8d9ffffffff,64.0,0.0,0.0
843c8dbffffffff,79.0,0.0,0.0
843c8ddffffffff,3.0,0.0,0.0
843c8e5ffffffff,10.0,0.0,0.0
843c8edffffffff,14.0,0.0,0.0
843c905ffffffff,2.0,0.0,0.0
843c909ffffffff,56.0,0.0,0.0
843c929ffffffff,5.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0
843c92dffffffff,20.0,0.0,0.0
843c931ffffffff,6.0,0.0,0.0
843c941ffffffff,3.0,0.0,0.0
843c943ffffffff,3.0,0.0,0.0
843c947ffffffff,35.0,0.0,0.0
843c94bffffffff,5.0,0.0,0.0
843c94dffffffff,3.0,0.0,0.0
843c963ffffffff,2.0,0.0,0.0
843c967ffffffff,18.0,0.0,0.0
843c9d9ffffffff,2.0,0.0,0.0
843ca01ffffffff,2.0,0.0,0.0
843ca15ffffffff,5.0,0.0,0.0
843ca21ffffffff,3.0,0.0,0.0
843ca23ffffffff,2.0,0.0,0.0
843ca39ffffffff,2.0,0.0,0.0
843ca41ffffffff,8.0,0.0,0.0
843ca45ffffffff,16.0,0.0,0.0
843ca47ffffffff,23.0,0.0,0.0
843ca4dffffffff,2.0,0.0,0.0
843ca59ffffffff,3.0,0.0,0.0
843ca69ffffffff,9.0,0.0,0.0
843ca83ffffffff,2.0,0.0,0.0
843ca85ffffffff,25.0,0.0,0.0
843ca87ffffffff,10.0,0.0,0.0
843ca8bffffffff,15.0,0.0,0.0
843ca8dffffffff,13.0,0.0,0.0
843ca91ffffffff,25.0,0.0,0.0
843ca93ffffffff,15.0,0.0,0.0
843ca95ffffffff,17.0,0.0,0.0
843ca97ffffffff,126.0,0.0,0.0
843ca9dffffffff,48.0,0.0,0.0
843cab1ffffffff,87.0,0.0,0.0
843cab5ffffffff,1.0,0.0,0.0
843cab7ffffffff,7.0,0.0,0.0
843cab9ffffffff,33.0,0.0,0.0
843cabbffffffff,10.0,0.0,0.0
843cabdffffffff,9.0,0.0,0.0
843cac3ffffffff,18.0,0.0,0.0
843cad3ffffffff,4.0,0.0,0.0
843cad5ffffffff,3.0,0.0,0.0
843caddffffffff,15.0,0.0,0.0
843cb07ffffffff,5.0,0.0,0.0
843cb09ffffffff,3.0,0.0,0.0
843cb0bffffffff,2.0,0.0,0.0
843cb11ffffffff,12.0,0.0,0.0
843cb13ffffffff,30.0,0.0,0.0
843cb15ffffffff,12.0,0.0,0.0
843cb17ffffffff,4.0,0.0,0.0
843cb1dffffffff,2.0,0.0,0.0
843cb23ffffffff,2.0,0.0,0.0
843cb29ffffffff,2.0,0.0,0.0
843cb35ffffffff,25.0,0.0,0.0
843cb39ffffffff,31.0,0.0,0.0
843cb3bffffffff,10.0,0.0,0.0
843cb3dffffffff,4.0,0.0,0.0
843cb41ffffffff,16.0,0.0,0.0
843cb45ffffffff,63.0,0.0,0.0
843cb47ffffffff,35.0,0.0,0.0
843cb49ffffffff,2.0,0.0,0.0
843cb4bffffffff,72.0,0.0,0.0
843cb4dffffffff,93.0,0.0,0.0
843cb51ffffffff,12.0,0.0,0.0
843cb59ffffffff,51.0,0.0,0.0
843cb5dffffffff,970.0,0.0,0.0
843cb61ffffffff,4.0,0.0,0.0
843cb65ffffffff,108.0,0.0,0.0
843cb69ffffffff,21.0,0.0,0.0
843cb6bffffffff,38.0,0.0,0.0
843cb6dffffffff,47.0,0.0,0.0
843cc0dffffffff,4.0,0.0,0.0
843cc21ffffffff,2.0,0.0,0.0
843cc27ffffffff,2.0,0.0,0.0
843cc29ffffffff,4.0,0.0,0.0
843cc41ffffffff,70.0,0.0,0.0
843cc43ffffffff,16.0,0.0,0.0
843cc45ffffffff,263.0,0.0,0.0
843cc47ffffffff,48.0,0.0,0.0
843cc51ffffffff,5.0,0.0,0.0
843cc55ffffffff,6.0,0.0,0.0
843cc5bffffffff,12.0,0.0,0.0
843cc5dffffffff,17.0,0.0,0.0
843cc63ffffffff,3.0,0.0,0.0
843cc6bffffffff,157.0,0.0,0.0
843cc6dffffffff,2.0,0.0,0.0
843ccb5ffffffff,2.0,0.0,0.0
843ccb7ffffffff,4.0,0.0,0.0
843cd13ffffffff,4.0,0.0,0.0
843cd5bffffffff,3.0,0.0,0.0
843cd8bffffffff,9.0,0.0,0.0
843cd91ffffffff,3.0,0.0,0.0
843cd9dffffffff,2.0,0.0,0.0
843cdb7ffffffff,2.0,0.0,0.0
843cdc5ffffffff,2.0,0.0,0.0
843cddbffffffff,1.0,0.0,0.0
843ce01ffffffff,5.0,0.0,0.0
843ce03ffffffff,50.0,0.0,0.0
843ce09ffffffff,22.0,0.0,0.0
843ce0bffffffff,9.0,0.0,0.0
843ce11ffffffff,73.0,0.0,0.0
843ce13ffffffff,16.0,0.0,0.0
843ce15ffffffff,423.0,0.0,0.0
843ce19ffffffff,11.0,0.0,0.0
843ce1bffffffff,30.0,0.0,0.0
843ce1dffffffff,114.0,0.0,0.0
843ce29ffffffff,15.0,0.0,0.0
843ce2dffffffff,2.0,0.0,0.0
843ce35ffffffff,2.0,0.0,0.0
843ce3dffffffff,3.0,0.0,0.0
843ce41ffffffff,2.0,0.0,0.0
843ce43ffffffff,14.0,0.0,0.0
843ce45ffffffff,19.0,0.0,0.0
843ce47ffffffff,17.0,0.0,0.0
843ce4dffffffff,44.0,0.0,0.0
