cell_id,Crax fasciolata,Crax fasciolata pinima,Crax fasciolata fasciolata/grayi
838140fffffffff,2.0,0.0,0.0
838142fffffffff,2.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0
838144fffffffff,10.0,0.0,0.0
838145fffffffff,58.0,0.0,5.0
83814afffffffff,102.0,0.0,2.0
83814dfffffffff,7.0,0.0,0.0
83814efffffffff,29.0,0.0,0.0
83815cfffffffff,2.0,0.0,0.0
83815dfffffffff,8.0,0.0,0.0
838162fffffffff,32.0,0.0,0.0
838163fffffffff,64.0,0.0,4.0
838164fffffffff,2.0,0.0,0.0
838171fffffffff,12.0,0.0,0.0
838173fffffffff,2.0,0.0,0.0
838175fffffffff,4.0,0.0,0.0
838b05fffffffff,6.0,0.0,0.0
838b0cfffffffff,3.0,0.0,0.0
838b0dfffffffff,1.0,0.0,0.0
838b0efffffffff,1.0,0.0,0.0
838b13fffffffff,2.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b1efffffffff,3.0,0.0,0.0
838b31fffffffff,13.0,0.0,0.0
838b34fffffffff,1.0,0.0,0.0
838b36fffffffff,2.0,0.0,0.0
838b76fffffffff,2.0,0.0,0.0
838b88fffffffff,8.0,0.0,0.0
838b99fffffffff,55.0,0.0,0.0
838b9dfffffffff,410.0,0.0,13.0
838ba0fffffffff,1.0,0.0,0.0
838ba4fffffffff,5.0,0.0,0.0
838ba6fffffffff,17.0,0.0,0.0
838bb5fffffffff,16.0,0.0,2.0
83a808fffffffff,1.0,0.0,0.0
83a80bfffffffff,1.0,0.0,0.0
83a80dfffffffff,2.0,0.0,0.0
83a81afffffffff,3.0,0.0,0.0
83a81bfffffffff,10.0,0.0,2.0
83a81efffffffff,3.0,0.0,0.0
83a82dfffffffff,2.0,0.0,0.0
83a840fffffffff,335.0,0.0,7.0
83a841fffffffff,13.0,0.0,0.0
83a842fffffffff,61.0,0.0,0.0
83a843fffffffff,7.0,0.0,0.0
83a844fffffffff,61.0,0.0,1.0
83a846fffffffff,311.0,0.0,30.0
83a84afffffffff,17.0,0.0,4.0
83a84efffffffff,12.0,0.0,0.0
83a851fffffffff,2.0,0.0,0.0
83a852fffffffff,5.0,0.0,0.0
83a853fffffffff,5.0,0.0,0.0
83a855fffffffff,60.0,0.0,6.0
83a856fffffffff,5.0,0.0,0.0
83a859fffffffff,2447.0,0.0,129.0
83a85afffffffff,1.0,0.0,0.0
83a85bfffffffff,20.0,0.0,1.0
83a85cfffffffff,1.0,0.0,0.0
83a85dfffffffff,1281.0,0.0,59.0
83a860fffffffff,12.0,0.0,0.0
83a862fffffffff,41.0,0.0,2.0
83a864fffffffff,6.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0
83a870fffffffff,2.0,0.0,0.0
83a871fffffffff,34.0,0.0,0.0
83a872fffffffff,2.0,0.0,0.0
83a873fffffffff,12.0,0.0,1.0
83a876fffffffff,7.0,0.0,0.0
83a8a9fffffffff,24.0,0.0,6.0
83a8c0fffffffff,4.0,0.0,0.0
83a8c1fffffffff,1.0,0.0,0.0
83a8c2fffffffff,8.0,0.0,0.0
83a8c6fffffffff,2.0,0.0,0.0
83a8c9fffffffff,3.0,0.0,2.0
83a8ccfffffffff,2.0,0.0,1.0
83a8cdfffffffff,1.0,0.0,0.0
83a8d0fffffffff,2.0,0.0,0.0
83a8d1fffffffff,23.0,0.0,1.0
83a8d4fffffffff,6.0,0.0,0.0
83a8d9fffffffff,1.0,0.0,0.0
83a8dafffffffff,1.0,0.0,0.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,11.0,0.0,0.0
83a8e1fffffffff,3.0,0.0,0.0
83a8e6fffffffff,13.0,0.0,0.0
83a8ebfffffffff,2.0,0.0,0.0
83a8ecfffffffff,48.0,0.0,2.0
83a8edfffffffff,2.0,0.0,0.0
83a8f1fffffffff,2.0,0.0,0.0
83a8f4fffffffff,14.0,0.0,0.0
83a8f5fffffffff,6.0,0.0,0.0
83a8f6fffffffff,6.0,0.0,0.0
83a940fffffffff,1.0,0.0,0.0
83a941fffffffff,32.0,0.0,0.0
83a94cfffffffff,16.0,0.0,0.0
83a94efffffffff,8.0,0.0,0.0
83a95dfffffffff,2.0,0.0,0.0
83a968fffffffff,68.0,0.0,0.0
