cell_id,Phyllastrephus flavostriatus,Phyllastrephus flavostriatus alfredi,Phyllastrephus flavostriatus [flavostriatus Group]
846ac15ffffffff,2.0,0.0,0.0
846ac39ffffffff,4.0,0.0,0.0
846ac89ffffffff,1.0,0.0,0.0
846acd5ffffffff,5.0,0.0,4.0
846ace5ffffffff,2.0,0.0,0.0
846ada1ffffffff,2.0,0.0,0.0
846adc1ffffffff,411.0,0.0,72.0
846ade7ffffffff,111.0,0.0,40.0
846adebffffffff,1.0,0.0,0.0
847b487ffffffff,95.0,0.0,16.0
847b489ffffffff,1.0,0.0,0.0
847b4b9ffffffff,24.0,0.0,8.0
847b4bdffffffff,1.0,0.0,0.0
847b4cbffffffff,2.0,0.0,2.0
847b4d5ffffffff,1.0,0.0,0.0
847b4dbffffffff,6.0,0.0,0.0
847b689ffffffff,2.0,0.0,0.0
847b6d5ffffffff,2.0,0.0,0.0
84968d1ffffffff,3.0,0.0,0.0
8496a5dffffffff,21.0,13.0,0.0
8496b09ffffffff,5.0,0.0,0.0
8496b2bffffffff,4.0,0.0,0.0
8496b47ffffffff,1.0,0.0,0.0
8496b55ffffffff,3.0,0.0,0.0
8496b65ffffffff,1.0,0.0,0.0
8496b67ffffffff,2.0,0.0,0.0
8496d21ffffffff,1.0,0.0,1.0
8496d2dffffffff,1.0,0.0,1.0
8496d67ffffffff,2.0,0.0,0.0
8497003ffffffff,2.0,0.0,0.0
8497007ffffffff,3.0,0.0,0.0
849702bffffffff,10.0,0.0,0.0
8497035ffffffff,58.0,0.0,18.0
849703dffffffff,11.0,0.0,1.0
8497103ffffffff,28.0,0.0,6.0
8497107ffffffff,18.0,0.0,6.0
8497113ffffffff,1.0,0.0,0.0
849711dffffffff,8.0,0.0,0.0
84971c1ffffffff,27.0,0.0,3.0
84971c3ffffffff,11.0,0.0,0.0
84971c7ffffffff,1.0,0.0,0.0
84971cbffffffff,19.0,0.0,1.0
84972d7ffffffff,1.0,0.0,0.0
84972d9ffffffff,237.0,0.0,61.0
84978b7ffffffff,1.0,0.0,0.0
8497937ffffffff,2.0,0.0,0.0
8497a33ffffffff,1.0,0.0,0.0
8497a85ffffffff,6.0,0.0,0.0
8497a89ffffffff,16.0,0.0,3.0
8497a8bffffffff,1.0,0.0,1.0
8497ac7ffffffff,4.0,0.0,4.0
84bc0bdffffffff,1.0,0.0,0.0
84bc89bffffffff,2.0,0.0,0.0
84bcd07ffffffff,117.0,0.0,46.0
84bcd09ffffffff,2.0,0.0,0.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd21ffffffff,2.0,0.0,0.0
84bcd27ffffffff,2.0,0.0,0.0
84bcd37ffffffff,4.0,0.0,0.0
84bcd3dffffffff,12.0,0.0,3.0
84bcd67ffffffff,4.0,0.0,0.0
84bcf09ffffffff,18.0,0.0,2.0
84bcf25ffffffff,2.0,0.0,0.0
84bcf29ffffffff,4.0,0.0,2.0
84bcf47ffffffff,56.0,0.0,13.0
84bcf61ffffffff,5.0,0.0,0.0
