cell_id,Turdus pelios,Turdus pelios [pelios Group],Turdus pelios nigrilorum/poensis,Turdus pelios stormsi/graueri
835283fffffffff,4.0,0.0,0.0,0.0
835285fffffffff,2.0,0.0,0.0,0.0
835291fffffffff,8.0,1.0,0.0,0.0
835295fffffffff,1.0,0.0,0.0,0.0
835298fffffffff,4.0,0.0,0.0,0.0
835299fffffffff,8.0,0.0,0.0,0.0
83529bfffffffff,12.0,4.0,0.0,0.0
8352b1fffffffff,1.0,0.0,0.0,0.0
835408fffffffff,2.0,0.0,0.0,0.0
835413fffffffff,3.0,0.0,0.0,0.0
835418fffffffff,2.0,0.0,0.0,0.0
835419fffffffff,2.0,0.0,0.0,0.0
83541afffffffff,40.0,8.0,0.0,0.0
83541bfffffffff,15.0,0.0,0.0,0.0
835440fffffffff,30.0,0.0,0.0,0.0
835444fffffffff,8.0,0.0,0.0,0.0
835449fffffffff,4.0,0.0,0.0,0.0
8354a9fffffffff,545.0,49.0,0.0,0.0
8354adfffffffff,8.0,0.0,0.0,0.0
8354c4fffffffff,2.0,0.0,0.0,0.0
8354c5fffffffff,2.0,0.0,0.0,0.0
8354ccfffffffff,4.0,0.0,0.0,0.0
8354e0fffffffff,1.0,0.0,0.0,0.0
8354e1fffffffff,2.0,0.0,0.0,0.0
8354e2fffffffff,14.0,0.0,0.0,0.0
8354e3fffffffff,2.0,0.0,0.0,0.0
8354e4fffffffff,13.0,1.0,0.0,0.0
8354e5fffffffff,30.0,5.0,0.0,0.0
8354e6fffffffff,2.0,0.0,0.0,0.0
8354e8fffffffff,16.0,0.0,0.0,0.0
8354eafffffffff,10.0,0.0,0.0,0.0
8354ecfffffffff,2.0,0.0,0.0,0.0
8354eefffffffff,1.0,0.0,0.0,0.0
8354f0fffffffff,4.0,0.0,0.0,0.0
8354f1fffffffff,9.0,0.0,0.0,0.0
8354f4fffffffff,37.0,5.0,0.0,0.0
8354f5fffffffff,21.0,0.0,0.0,0.0
8354f6fffffffff,2.0,0.0,0.0,0.0
835851fffffffff,3.0,0.0,0.0,0.0
835882fffffffff,7.0,0.0,0.0,0.0
835883fffffffff,8.0,4.0,0.0,0.0
835886fffffffff,4.0,0.0,0.0,0.0
835888fffffffff,2.0,2.0,0.0,0.0
83588dfffffffff,2.0,0.0,0.0,0.0
835890fffffffff,30.0,0.0,0.0,0.0
835891fffffffff,5.0,0.0,0.0,0.0
835894fffffffff,4.0,0.0,0.0,0.0
835895fffffffff,3.0,0.0,0.0,0.0
835896fffffffff,22.0,2.0,0.0,0.0
83589cfffffffff,7.0,0.0,0.0,0.0
8358a4fffffffff,1.0,0.0,0.0,0.0
8358a6fffffffff,10.0,0.0,0.0,0.0
8358b5fffffffff,6.0,0.0,0.0,0.0
8358c3fffffffff,2.0,0.0,0.0,0.0
8358c4fffffffff,2.0,0.0,0.0,0.0
8358c8fffffffff,4.0,0.0,0.0,0.0
8358cdfffffffff,2.0,0.0,0.0,0.0
8358d1fffffffff,6.0,0.0,0.0,0.0
8358d3fffffffff,26.0,6.0,0.0,0.0
8358dbfffffffff,2.0,0.0,0.0,0.0
8358defffffffff,9.0,0.0,0.0,0.0
8358e2fffffffff,70.0,1.0,0.0,0.0
8358e6fffffffff,47.0,0.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0,0.0
8358f4fffffffff,4.0,0.0,0.0,0.0
8358f5fffffffff,45.0,0.0,0.0,0.0
835982fffffffff,7.0,0.0,0.0,0.0
83598bfffffffff,1.0,0.0,0.0,0.0
835991fffffffff,8.0,0.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0,0.0
835998fffffffff,6.0,0.0,0.0,0.0
83599afffffffff,1.0,0.0,0.0,0.0
83599efffffffff,24.0,4.0,0.0,0.0
836a45fffffffff,9.0,2.0,0.0,0.0
836a49fffffffff,5.0,0.0,0.0,0.0
836a4bfffffffff,6.0,0.0,0.0,0.0
836a54fffffffff,1.0,0.0,0.0,0.0
836a5afffffffff,7.0,0.0,0.0,0.0
836a61fffffffff,2.0,0.0,0.0,0.0
836a69fffffffff,29.0,0.0,0.0,0.0
836ac0fffffffff,127.0,19.0,0.0,0.0
836ac1fffffffff,528.0,86.0,0.0,0.0
836ac3fffffffff,261.0,31.0,0.0,0.0
836ac8fffffffff,833.0,103.0,0.0,0.0
836ac9fffffffff,39.0,0.0,0.0,0.0
836acafffffffff,4.0,0.0,0.0,0.0
836accfffffffff,73.0,3.0,0.0,0.0
836acdfffffffff,112.0,22.0,0.0,0.0
836acefffffffff,220.0,16.0,0.0,0.0
836ad8fffffffff,170.0,0.0,0.0,0.0
836ad9fffffffff,4.0,0.0,0.0,0.0
836adafffffffff,5.0,0.0,0.0,0.0
836adcfffffffff,696.0,52.0,0.0,0.0
836addfffffffff,49.0,1.0,0.0,0.0
836adefffffffff,49.0,0.0,0.0,0.0
836ae0fffffffff,2.0,0.0,0.0,0.0
836ae1fffffffff,1.0,0.0,0.0,0.0
836ae8fffffffff,51.0,3.0,0.0,0.0
836aeafffffffff,188.0,21.0,0.0,0.0
836aebfffffffff,58.0,11.0,0.0,0.0
836aecfffffffff,3.0,0.0,0.0,0.0
836aeefffffffff,17.0,2.0,0.0,0.0
836af5fffffffff,1.0,0.0,0.0,0.0
836bb6fffffffff,2.0,0.0,0.0,0.0
837508fffffffff,3.0,0.0,0.0,0.0
83750dfffffffff,57.0,5.0,0.0,0.0
837519fffffffff,2.0,0.0,0.0,0.0
837520fffffffff,134.0,13.0,0.0,0.0
837521fffffffff,3.0,0.0,0.0,0.0
837525fffffffff,2.0,0.0,0.0,0.0
837528fffffffff,1.0,0.0,0.0,0.0
837529fffffffff,277.0,34.0,0.0,0.0
83752afffffffff,26.0,2.0,0.0,0.0
83752dfffffffff,7.0,0.0,0.0,0.0
837530fffffffff,9.0,0.0,0.0,0.0
837536fffffffff,10.0,0.0,0.0,0.0
837574fffffffff,24.0,0.0,0.0,0.0
837576fffffffff,67.0,0.0,0.0,0.0
837586fffffffff,4.0,0.0,0.0,0.0
8375a0fffffffff,5.0,0.0,0.0,0.0
8375a6fffffffff,2.0,0.0,0.0,0.0
8375b0fffffffff,2.0,0.0,0.0,0.0
837a41fffffffff,15.0,0.0,0.0,0.0
837a48fffffffff,143.0,1.0,0.0,0.0
837a49fffffffff,2.0,0.0,0.0,0.0
837a4bfffffffff,9.0,0.0,0.0,0.0
837a4cfffffffff,352.0,4.0,0.0,0.0
837a4dfffffffff,244.0,0.0,0.0,0.0
837a68fffffffff,22.0,0.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0,0.0
837a6afffffffff,268.0,0.0,0.0,0.0
837a6bfffffffff,158.0,0.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0,0.0
837a6efffffffff,7.0,0.0,0.0,0.0
837ac1fffffffff,3.0,2.0,0.0,0.0
837ac8fffffffff,168.0,20.0,0.0,0.0
837ac9fffffffff,5.0,0.0,0.0,0.0
837acafffffffff,46.0,11.0,0.0,0.0
837accfffffffff,9.0,2.0,0.0,0.0
837acdfffffffff,155.0,32.0,0.0,0.0
837acefffffffff,2.0,0.0,0.0,0.0
837ad9fffffffff,16.0,2.0,0.0,0.0
837ae8fffffffff,4.0,0.0,0.0,0.0
837ae9fffffffff,19.0,1.0,0.0,0.0
837aeafffffffff,9.0,0.0,0.0,0.0
837aebfffffffff,6.0,3.0,0.0,0.0
837aedfffffffff,3.0,0.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0,0.0
83821afffffffff,1.0,0.0,0.0,0.0
83821bfffffffff,2.0,0.0,0.0,0.0
838285fffffffff,2.0,2.0,0.0,0.0
83828afffffffff,2.0,0.0,0.0,0.0
83828bfffffffff,68.0,10.0,0.0,0.0
83828dfffffffff,3.0,0.0,0.0,0.0
838290fffffffff,3.0,0.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0,0.0
8382a3fffffffff,3.0,0.0,0.0,0.0
8382a5fffffffff,2.0,2.0,0.0,0.0
8382a8fffffffff,18.0,4.0,0.0,0.0
8382a9fffffffff,3.0,0.0,0.0,0.0
8382aafffffffff,11.0,5.0,0.0,0.0
8382abfffffffff,6.0,0.0,0.0,0.0
8382d0fffffffff,67.0,4.0,28.0,0.0
8382d1fffffffff,4.0,0.0,2.0,0.0
8382d2fffffffff,50.0,5.0,3.0,0.0
8382d3fffffffff,59.0,2.0,28.0,0.0
8382d4fffffffff,1.0,0.0,0.0,0.0
8382d6fffffffff,5.0,0.0,0.0,0.0
8382f0fffffffff,20.0,2.0,0.0,0.0
8382f2fffffffff,20.0,2.0,0.0,0.0
8382f4fffffffff,3.0,0.0,0.0,0.0
838312fffffffff,3.0,0.0,0.0,0.0
838313fffffffff,1.0,0.0,0.0,0.0
838315fffffffff,7.0,0.0,0.0,0.0
83831efffffffff,3.0,0.0,0.0,0.0
838386fffffffff,2.0,0.0,0.0,0.0
83838efffffffff,17.0,0.0,0.0,0.0
8383a8fffffffff,2.0,0.0,0.0,0.0
8383acfffffffff,2.0,0.0,0.0,0.0
8383adfffffffff,1.0,0.0,0.0,0.0
839601fffffffff,2.0,0.0,0.0,0.0
839602fffffffff,2.0,0.0,0.0,0.0
839608fffffffff,12.0,0.0,0.0,6.0
839609fffffffff,16.0,0.0,0.0,7.0
83960bfffffffff,6.0,0.0,0.0,4.0
83960efffffffff,1.0,0.0,0.0,0.0
839610fffffffff,1.0,0.0,0.0,0.0
839656fffffffff,6.0,0.0,0.0,4.0
839672fffffffff,1.0,0.0,0.0,1.0
83969afffffffff,23.0,0.0,0.0,0.0
83969bfffffffff,1.0,0.0,0.0,0.0
