cell_id,Colaptes rubiginosus,Colaptes rubiginosus aeruginosus,Colaptes rubiginosus [rubiginosus Group],Colaptes rubiginosus rubripileus
8445201ffffffff,4.0,0.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0,0.0
84452a5ffffffff,2.0,0.0,2.0,0.0
84452c7ffffffff,1.0,0.0,0.0,0.0
84452e1ffffffff,1.0,0.0,0.0,0.0
84452e9ffffffff,4.0,0.0,4.0,0.0
84452ebffffffff,1.0,0.0,0.0,0.0
8445649ffffffff,1.0,0.0,1.0,0.0
8449917ffffffff,3.0,3.0,0.0,0.0
8449961ffffffff,5.0,5.0,0.0,0.0
8449963ffffffff,11.0,8.0,0.0,0.0
8449969ffffffff,2.0,0.0,2.0,0.0
844996bffffffff,7.0,0.0,0.0,0.0
8449981ffffffff,2.0,2.0,0.0,0.0
8449987ffffffff,5.0,5.0,0.0,0.0
84499c1ffffffff,4.0,2.0,0.0,0.0
845f5b5ffffffff,13.0,0.0,0.0,0.0
845f709ffffffff,1.0,0.0,1.0,0.0
845f75dffffffff,2.0,0.0,0.0,0.0
84660ddffffffff,2.0,0.0,0.0,0.0
8466113ffffffff,1.0,0.0,0.0,0.0
846619dffffffff,5.0,0.0,0.0,0.0
846629dffffffff,1.0,0.0,1.0,0.0
8466a01ffffffff,1.0,0.0,0.0,0.0
8466b49ffffffff,1.0,0.0,0.0,0.0
8466b4dffffffff,2.0,0.0,0.0,0.0
8466b55ffffffff,2.0,0.0,0.0,0.0
8466d35ffffffff,5.0,0.0,4.0,1.0
8466de1ffffffff,3.0,0.0,3.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0,0.0
8467413ffffffff,8.0,0.0,0.0,0.0
84674edffffffff,1.0,0.0,1.0,0.0
84675a9ffffffff,2.0,0.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0,0.0
84679a5ffffffff,24.0,0.0,0.0,0.0
846d203ffffffff,4.0,0.0,4.0,0.0
846d21dffffffff,2.0,0.0,0.0,0.0
846d22bffffffff,4.0,0.0,4.0,0.0
846d239ffffffff,5.0,0.0,2.0,0.0
846d23dffffffff,3.0,0.0,0.0,0.0
846d283ffffffff,7.0,0.0,7.0,0.0
846d291ffffffff,2.0,0.0,2.0,0.0
846d295ffffffff,4.0,0.0,4.0,0.0
846d29bffffffff,11.0,0.0,11.0,0.0
846d2adffffffff,1.0,0.0,0.0,0.0
846d2b9ffffffff,8.0,0.0,3.0,0.0
846d2c9ffffffff,3.0,0.0,3.0,0.0
846d2d3ffffffff,8.0,0.0,8.0,0.0
846d2d7ffffffff,11.0,0.0,11.0,0.0
846d319ffffffff,1.0,0.0,1.0,0.0
846d603ffffffff,7.0,0.0,0.0,0.0
846d607ffffffff,4.0,0.0,0.0,0.0
846d617ffffffff,82.0,0.0,0.0,0.0
846d68bffffffff,5.0,0.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0,0.0
846d691ffffffff,4.0,0.0,0.0,0.0
846d699ffffffff,8.0,0.0,0.0,0.0
846d69bffffffff,1.0,0.0,1.0,0.0
846d69dffffffff,47.0,0.0,40.0,0.0
846d6d3ffffffff,2.0,0.0,0.0,0.0
848b6edffffffff,1.0,0.0,0.0,0.0
848f0dbffffffff,2.0,0.0,2.0,0.0
848f2d5ffffffff,1.0,0.0,0.0,1.0
848f4b3ffffffff,20.0,0.0,0.0,0.0
84b2709ffffffff,2.0,0.0,0.0,0.0
84b2723ffffffff,4.0,0.0,0.0,0.0
84b2749ffffffff,6.0,0.0,2.0,0.0
84b274bffffffff,2.0,0.0,0.0,0.0
84b35e9ffffffff,1.0,0.0,0.0,0.0
