cell_id,Anabacerthia variegaticeps,Anabacerthia variegaticeps variegaticeps,Anabacerthia variegaticeps temporalis
834520fffffffff,99.0,0.0,0.0
834522fffffffff,6.0,0.0,0.0
834524fffffffff,16.0,0.0,0.0
834525fffffffff,34.0,0.0,0.0
834526fffffffff,67.0,0.0,0.0
834530fffffffff,2.0,0.0,0.0
834534fffffffff,9.0,0.0,0.0
834535fffffffff,138.0,0.0,0.0
834996fffffffff,63.0,20.0,0.0
8349b1fffffffff,16.0,0.0,0.0
8349b5fffffffff,1.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0
836618fffffffff,13.0,0.0,0.0
83661bfffffffff,1054.0,0.0,0.0
8366b4fffffffff,220.0,0.0,0.0
8366b5fffffffff,267.0,19.0,0.0
8366d0fffffffff,212.0,0.0,0.0
8366d2fffffffff,1.0,0.0,0.0
8366d3fffffffff,3721.0,0.0,363.0
8366e6fffffffff,5.0,0.0,0.0
8366f0fffffffff,15.0,0.0,0.0
8366f1fffffffff,38.0,0.0,0.0
8366f5fffffffff,150.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0
836d05fffffffff,879.0,406.0,0.0
836d20fffffffff,88.0,11.0,0.0
836d22fffffffff,2.0,1.0,0.0
836d23fffffffff,6.0,0.0,0.0
836d28fffffffff,31.0,0.0,0.0
836d29fffffffff,11.0,0.0,0.0
836d2afffffffff,135.0,10.0,0.0
836d2bfffffffff,388.0,12.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d2dfffffffff,545.0,0.0,0.0
836d2efffffffff,11.0,0.0,0.0
836d30fffffffff,139.0,23.0,0.0
836d34fffffffff,34.0,2.0,0.0
836d35fffffffff,207.0,27.0,0.0
836d36fffffffff,12.0,0.0,0.0
836d66fffffffff,13.0,0.0,0.0
836d69fffffffff,359.0,0.0,0.0
838f0dfffffffff,417.0,0.0,36.0
838f29fffffffff,53.0,0.0,0.0
838f2afffffffff,10.0,0.0,0.0
838f2bfffffffff,14.0,0.0,0.0
838f2cfffffffff,2.0,0.0,0.0
838f76fffffffff,3.0,0.0,0.0
