cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
8444633ffffffff,2.0,0.0,0.0
84446edffffffff,1.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0
8445205ffffffff,10.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0
844520dffffffff,12.0,0.0,0.0
8445247ffffffff,9.0,0.0,0.0
8445249ffffffff,2.0,0.0,0.0
8445263ffffffff,67.0,0.0,0.0
844526bffffffff,4.0,0.0,0.0
84452a5ffffffff,1.0,0.0,0.0
84452e1ffffffff,16.0,1.0,0.0
84452e5ffffffff,8.0,0.0,0.0
8445343ffffffff,8.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0
8445355ffffffff,1.0,0.0,0.0
8448333ffffffff,1.0,0.0,1.0
8448337ffffffff,2.0,0.0,0.0
8448361ffffffff,1.0,0.0,1.0
8448363ffffffff,1.0,0.0,1.0
844880dffffffff,1.0,0.0,0.0
844886bffffffff,2.0,1.0,0.0
84489c1ffffffff,60.0,1.0,0.0
8448a05ffffffff,4.0,0.0,0.0
8448a2dffffffff,1.0,0.0,0.0
8448b15ffffffff,138.0,0.0,0.0
8448b17ffffffff,3.0,0.0,0.0
8448b23ffffffff,1.0,0.0,0.0
8448b39ffffffff,421.0,1.0,0.0
8448b3dffffffff,101.0,0.0,0.0
8449903ffffffff,1.0,0.0,0.0
8449961ffffffff,5.0,3.0,0.0
8449965ffffffff,2.0,0.0,0.0
8449969ffffffff,1.0,0.0,0.0
8449a2bffffffff,2.0,0.0,2.0
8449a85ffffffff,4.0,0.0,0.0
8449a87ffffffff,2.0,0.0,0.0
8449a89ffffffff,1.0,0.0,1.0
8449a8bffffffff,1.0,0.0,1.0
8449ae3ffffffff,2.0,0.0,2.0
846d159ffffffff,8.0,0.0,2.0
846d15dffffffff,3.0,0.0,1.0
846d239ffffffff,1.0,1.0,0.0
846d293ffffffff,4.0,0.0,0.0
846d2b9ffffffff,9.0,0.0,0.0
846d2d9ffffffff,3.0,0.0,0.0
846d32bffffffff,1.0,0.0,0.0
846d35dffffffff,1.0,1.0,0.0
846d605ffffffff,15.0,0.0,0.0
846d645ffffffff,13.0,0.0,0.0
846d64dffffffff,10.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
846d749ffffffff,2.0,0.0,0.0
