cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
8326c9fffffffff,2.0,0.0,0.0
8326cafffffffff,16.0,0.0,0.0
8326cbfffffffff,7.0,0.0,0.0
8326ccfffffffff,2.0,0.0,0.0
8326cefffffffff,9.0,0.0,0.0
8326d1fffffffff,2.0,0.0,0.0
8326d2fffffffff,3.0,0.0,0.0
8326d3fffffffff,13.0,0.0,0.0
8326d8fffffffff,11.0,0.0,0.0
8326d9fffffffff,9.0,0.0,0.0
8326dafffffffff,10.0,0.0,0.0
8326dcfffffffff,1.0,0.0,0.0
8326ddfffffffff,62.0,2.0,0.0
8326defffffffff,5.0,0.0,0.0
8326e2fffffffff,143.0,5.0,0.0
8326e3fffffffff,4.0,2.0,0.0
8326e6fffffffff,19.0,0.0,0.0
8326ecfffffffff,2.0,0.0,0.0
8326f0fffffffff,4.0,0.0,0.0
8326f1fffffffff,12.0,0.0,0.0
8326f2fffffffff,25.0,0.0,0.0
8326f3fffffffff,3.0,0.0,0.0
8326f5fffffffff,4.0,0.0,0.0
832719fffffffff,2.0,0.0,0.0
83274dfffffffff,13.0,0.0,0.0
83274efffffffff,2.0,0.0,0.0
83275dfffffffff,11.0,0.0,0.0
832786fffffffff,2.0,0.0,0.0
8327a2fffffffff,2.0,0.0,0.0
832802fffffffff,27.0,0.0,0.0
832806fffffffff,2.0,2.0,0.0
832813fffffffff,8.0,0.0,0.0
832819fffffffff,7.0,0.0,0.0
83281bfffffffff,27.0,0.0,0.0
83281cfffffffff,33.0,0.0,0.0
83281efffffffff,6.0,0.0,0.0
832830fffffffff,162.0,3.0,0.0
832831fffffffff,14.0,1.0,0.0
832832fffffffff,73.0,0.0,0.0
832833fffffffff,14.0,0.0,0.0
832834fffffffff,177.0,6.0,0.0
832835fffffffff,6.0,0.0,0.0
832836fffffffff,39.0,0.0,0.0
832884fffffffff,65.0,0.0,0.0
832888fffffffff,24.0,0.0,0.0
83288cfffffffff,1.0,0.0,0.0
8328a1fffffffff,20.0,0.0,0.0
8328a8fffffffff,3.0,0.0,0.0
8328a9fffffffff,18.0,0.0,0.0
8328adfffffffff,11.0,0.0,0.0
8328aefffffffff,11.0,0.0,0.0
8328b2fffffffff,2.0,0.0,0.0
8328b4fffffffff,4.0,0.0,0.0
8328b6fffffffff,30.0,0.0,0.0
8328c2fffffffff,7.0,0.0,0.0
8328c6fffffffff,102.0,0.0,0.0
8328d1fffffffff,5.0,0.0,0.0
8328d5fffffffff,24.0,0.0,0.0
8328d9fffffffff,10.0,0.0,0.0
8328dcfffffffff,14.0,0.0,0.0
8328ddfffffffff,8.0,0.0,0.0
8328defffffffff,11.0,0.0,0.0
8328f1fffffffff,47.0,0.0,0.0
8328f5fffffffff,207.0,0.0,0.0
832912fffffffff,11.0,2.0,0.0
832916fffffffff,2.0,0.0,0.0
83291afffffffff,1.0,0.0,0.0
832980fffffffff,2.0,0.0,0.0
832984fffffffff,3.0,0.0,0.0
832985fffffffff,4.0,0.0,0.0
832986fffffffff,3.0,0.0,0.0
832989fffffffff,9.0,0.0,0.0
83298bfffffffff,3.0,0.0,0.0
83298cfffffffff,13.0,0.0,0.0
83298dfffffffff,2.0,0.0,0.0
83298efffffffff,1.0,0.0,0.0
832990fffffffff,3.0,0.0,0.0
832995fffffffff,12.0,0.0,0.0
8329a0fffffffff,42.0,0.0,0.0
8329a1fffffffff,25.0,1.0,0.0
8329a3fffffffff,49.0,0.0,0.0
8329a4fffffffff,31.0,0.0,0.0
8329a5fffffffff,48.0,4.0,0.0
8329a6fffffffff,28.0,2.0,0.0
8329a8fffffffff,48.0,0.0,0.0
8329aafffffffff,6.0,0.0,0.0
8329abfffffffff,10.0,0.0,0.0
8329acfffffffff,2.0,0.0,0.0
8329adfffffffff,27.0,3.0,0.0
8329aefffffffff,4.0,0.0,0.0
8329b0fffffffff,14.0,0.0,0.0
8329b1fffffffff,15.0,0.0,0.0
8329b2fffffffff,7.0,0.0,0.0
8329b4fffffffff,3.0,0.0,0.0
8329b5fffffffff,40.0,0.0,0.0
8329b6fffffffff,22.0,0.0,0.0
832a31fffffffff,2.0,0.0,0.0
832aa8fffffffff,17.0,4.0,0.0
832ab2fffffffff,26.0,0.0,0.0
832ab5fffffffff,9.0,0.0,0.0
832ad0fffffffff,16.0,0.0,0.0
832ad3fffffffff,1.0,0.0,0.0
832ad5fffffffff,2.0,0.0,0.0
832b0efffffffff,2.0,0.0,0.0
832b8afffffffff,26.0,0.0,0.0
832b99fffffffff,3.0,0.0,0.0
832b9dfffffffff,1.0,0.0,0.0
834412fffffffff,4.0,0.0,0.0
834413fffffffff,109.0,0.0,0.0
834416fffffffff,3.0,0.0,0.0
83441afffffffff,49.0,3.0,0.0
83441bfffffffff,3.0,0.0,0.0
83441efffffffff,382.0,7.0,0.0
834424fffffffff,2.0,0.0,0.0
834444fffffffff,4.0,0.0,0.0
834445fffffffff,1.0,0.0,0.0
834450fffffffff,33.0,0.0,0.0
834454fffffffff,1.0,0.0,0.0
834455fffffffff,18.0,0.0,0.0
834456fffffffff,19.0,0.0,0.0
834459fffffffff,11.0,0.0,0.0
834463fffffffff,34.0,0.0,0.0
834468fffffffff,1.0,0.0,0.0
83446cfffffffff,37.0,0.0,0.0
83446dfffffffff,20.0,0.0,0.0
83446efffffffff,97.0,0.0,0.0
834471fffffffff,13.0,0.0,0.0
834473fffffffff,15.0,0.0,0.0
834484fffffffff,2.0,0.0,0.0
8344a1fffffffff,17.0,0.0,0.0
8344a5fffffffff,10.0,0.0,0.0
8344abfffffffff,3.0,0.0,0.0
8344d5fffffffff,23.0,0.0,0.0
8344e4fffffffff,52.0,0.0,0.0
8344e5fffffffff,11.0,0.0,0.0
8344e6fffffffff,5.0,0.0,0.0
8344f0fffffffff,8.0,0.0,0.0
8344f3fffffffff,101.0,1.0,0.0
834501fffffffff,4.0,0.0,0.0
834505fffffffff,43.0,0.0,0.0
834509fffffffff,1.0,0.0,0.0
