cell_id,Larus dominicanus,Larus dominicanus dominicanus,Larus dominicanus austrinus,Larus dominicanus judithae,Larus dominicanus vetula,Larus dominicanus melisandae
821947fffffffff,17.0,0.0,0.0,0.0,9.0,0.0
821aa7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
822a87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822aaffffffffff,48.0,0.0,0.0,0.0,0.0,0.0
822ab7fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
822b0ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
823917fffffffff,9.0,0.0,0.0,0.0,6.0,0.0
823927fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
823997fffffffff,3.0,0.0,0.0,0.0,2.0,0.0
82441ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
824457fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824467fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82446ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
824477fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82450ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
824577fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
824837fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
824897fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8248b7fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
82541ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8254affffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8254c7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825517fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
826757fffffffff,45.0,0.0,0.0,0.0,0.0,0.0
826c5ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
826d67fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
826d77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828057fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
828e47fffffffff,14.0,4.0,0.0,0.0,0.0,0.0
828e67fffffffff,12.0,1.0,0.0,0.0,0.0,0.0
828e77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
828fa7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829487fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829b5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829b6ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829c27fffffffff,21.0,2.0,0.0,0.0,0.0,0.0
82a2a7fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
82a727fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82a817fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
82a837fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
82a897fffffffff,5.0,5.0,0.0,0.0,0.0,0.0
82a8a7fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
82ad37fffffffff,236.0,0.0,0.0,0.0,89.0,0.0
82adaffffffffff,6.0,0.0,0.0,0.0,6.0,0.0
82b207fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82b21ffffffffff,44.0,0.0,0.0,0.0,0.0,0.0
82b247fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,1160.0,949.0,0.0,0.0,0.0,0.0
82b2cffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82b2dffffffffff,68.0,0.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,41.0,41.0,0.0,0.0,0.0,0.0
82b307fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
82b31ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82bb0ffffffffff,9.0,3.0,0.0,0.0,0.0,0.0
82bb2ffffffffff,307.0,304.0,0.0,0.0,0.0,0.0
82bb57fffffffff,18.0,15.0,0.0,0.0,0.0,0.0
82bc1ffffffffff,4.0,0.0,0.0,0.0,4.0,0.0
82bc47fffffffff,8.0,0.0,0.0,0.0,6.0,0.0
82bc4ffffffffff,22.0,0.0,0.0,0.0,6.0,0.0
82bc6ffffffffff,6.0,0.0,0.0,0.0,2.0,0.0
82bc77fffffffff,21.0,0.0,0.0,0.0,21.0,0.0
82bc8ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,14.0,0.0,0.0,0.0,14.0,0.0
82be0ffffffffff,19.0,1.0,0.0,0.0,0.0,0.0
82be67fffffffff,10.0,3.0,0.0,0.0,0.0,0.0
82be6ffffffffff,4.0,3.0,0.0,0.0,0.0,0.0
82be77fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82be8ffffffffff,27.0,2.0,0.0,0.0,0.0,0.0
82beaffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82bf4ffffffffff,16.0,4.0,0.0,0.0,0.0,0.0
82c21ffffffffff,4.0,4.0,0.0,0.0,0.0,0.0
82c22ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,13.0,5.0,0.0,0.0,0.0,0.0
82c2effffffffff,30.0,0.0,0.0,0.0,0.0,0.0
82c2f7fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
82c307fffffffff,13.0,10.0,0.0,0.0,0.0,0.0
82c327fffffffff,25.0,5.0,0.0,0.0,0.0,0.0
82c32ffffffffff,38.0,21.0,0.0,0.0,0.0,0.0
82c34ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82c9b7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82ce87fffffffff,6.0,1.0,0.0,0.0,0.0,0.0
82ce8ffffffffff,99.0,0.0,0.0,0.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82ceaffffffffff,75.0,5.0,0.0,0.0,0.0,0.0
82cf17fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
82cf8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82cf9ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82cfa7fffffffff,15.0,14.0,0.0,0.0,0.0,0.0
82cfaffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
82d6d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82d897fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82d8b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82da07fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82da87fffffffff,81.0,3.0,0.0,0.0,0.0,0.0
82da97fffffffff,14.0,8.0,0.0,0.0,0.0,0.0
82daaffffffffff,5.0,4.0,0.0,0.0,0.0,0.0
82dab7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82db87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82de77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82de97fffffffff,3.0,0.0,3.0,0.0,0.0,0.0
82df07fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82df17fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
82df47fffffffff,17.0,14.0,0.0,0.0,0.0,0.0
82df6ffffffffff,90.0,35.0,0.0,0.0,0.0,0.0
