cell_id,Quiscalus lugubris,Quiscalus lugubris [lugubris Group],Quiscalus lugubris fortirostris
824d4ffffffffff,720.0,0.0,0.0
825e47fffffffff,1324.0,0.0,0.0
825e4ffffffffff,49.0,0.0,0.0
825e5ffffffffff,2168.0,0.0,0.0
825e67fffffffff,1325.0,0.0,0.0
825e77fffffffff,1322.0,0.0,0.0
825f07fffffffff,1.0,0.0,0.0
825f0ffffffffff,433.0,0.0,0.0
825f17fffffffff,49.0,0.0,0.0
825f1ffffffffff,27.0,0.0,0.0
825f2ffffffffff,4.0,0.0,0.0
825f47fffffffff,216.0,0.0,0.0
825f4ffffffffff,748.0,0.0,0.0
825f5ffffffffff,3363.0,0.0,0.0
825f6ffffffffff,12.0,0.0,0.0
825f77fffffffff,14.0,0.0,0.0
826607fffffffff,565.0,0.0,0.0
82660ffffffffff,2357.0,0.0,0.0
826617fffffffff,923.0,0.0,0.0
82661ffffffffff,2447.0,0.0,0.0
826627fffffffff,4861.0,0.0,0.0
82662ffffffffff,651.0,0.0,0.0
826637fffffffff,524.0,0.0,0.0
826647fffffffff,1.0,0.0,0.0
826657fffffffff,1128.0,0.0,0.0
826667fffffffff,208.0,0.0,0.0
826677fffffffff,675.0,0.0,0.0
8266a7fffffffff,3.0,0.0,0.0
8266c7fffffffff,113.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0
8266e7fffffffff,4937.0,0.0,0.0
8266effffffffff,13.0,0.0,0.0
8266f7fffffffff,205.0,0.0,0.0
826747fffffffff,2973.0,0.0,0.0
82674ffffffffff,3428.0,0.0,0.0
826757fffffffff,6867.0,0.0,0.0
82675ffffffffff,1056.0,0.0,0.0
82676ffffffffff,72.0,0.0,0.0
826777fffffffff,2076.0,0.0,0.0
