cell_id,Passer domesticus,Passer domesticus [domesticus Group],Passer domesticus [indicus Group]
820747fffffffff,17.0,0.0,0.0
820767fffffffff,6.0,0.0,0.0
820777fffffffff,5.0,0.0,0.0
82089ffffffffff,10.0,8.0,0.0
820c37fffffffff,2.0,0.0,0.0
820e4ffffffffff,10.0,0.0,0.0
820ecffffffffff,9.0,0.0,0.0
821257fffffffff,1.0,0.0,0.0
8212b7fffffffff,17.0,0.0,0.0
8212c7fffffffff,4.0,0.0,0.0
8212cffffffffff,28.0,0.0,0.0
8212dffffffffff,2.0,0.0,0.0
8212effffffffff,3.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0
821387fffffffff,261.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0
8213b7fffffffff,10.0,0.0,0.0
82184ffffffffff,104.0,0.0,0.0
82185ffffffffff,112.0,5.0,0.0
821907fffffffff,2.0,0.0,0.0
82190ffffffffff,2.0,0.0,0.0
821927fffffffff,4.0,4.0,0.0
821947fffffffff,8.0,0.0,0.0
821aa7fffffffff,12.0,0.0,0.0
821b9ffffffffff,25.0,0.0,0.0
821e07fffffffff,3.0,0.0,0.0
821e0ffffffffff,4.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e1ffffffffff,6.0,0.0,0.0
821e47fffffffff,2.0,0.0,0.0
821e5ffffffffff,7.0,0.0,0.0
821ea7fffffffff,4.0,0.0,0.0
821ec7fffffffff,5.0,0.0,0.0
821ecffffffffff,6.0,0.0,0.0
821eeffffffffff,7.0,0.0,0.0
821f0ffffffffff,2.0,0.0,0.0
821f17fffffffff,1.0,1.0,0.0
821f1ffffffffff,4.0,2.0,0.0
821f2ffffffffff,9.0,9.0,0.0
821f37fffffffff,2.0,2.0,0.0
821f57fffffffff,3.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0
821f87fffffffff,2.0,0.0,0.0
821f8ffffffffff,10.0,1.0,0.0
821f97fffffffff,3.0,0.0,0.0
821f9ffffffffff,3.0,0.0,0.0
821faffffffffff,1.0,1.0,0.0
822017fffffffff,1.0,0.0,0.0
82201ffffffffff,5.0,0.0,5.0
822037fffffffff,9.0,0.0,0.0
822087fffffffff,3.0,0.0,0.0
8220e7fffffffff,5.0,0.0,4.0
822157fffffffff,2.0,0.0,0.0
822517fffffffff,4.0,4.0,0.0
82255ffffffffff,5.0,3.0,0.0
8225affffffffff,1.0,1.0,0.0
82260ffffffffff,1.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0
822647fffffffff,34.0,0.0,0.0
82264ffffffffff,28.0,0.0,0.0
822657fffffffff,17.0,0.0,0.0
82265ffffffffff,19.0,0.0,0.0
822667fffffffff,8.0,0.0,0.0
82266ffffffffff,9.0,0.0,0.0
822677fffffffff,6.0,2.0,0.0
822687fffffffff,75.0,0.0,0.0
82268ffffffffff,103.0,0.0,0.0
822697fffffffff,22.0,0.0,0.0
82269ffffffffff,41.0,0.0,0.0
8226affffffffff,81.0,0.0,0.0
8226b7fffffffff,2.0,0.0,0.0
8226c7fffffffff,4.0,0.0,0.0
8226cffffffffff,1.0,1.0,0.0
8226d7fffffffff,11.0,0.0,0.0
8226dffffffffff,5.0,0.0,0.0
8226e7fffffffff,33.0,0.0,0.0
8226f7fffffffff,65.0,0.0,0.0
