cell_id,Rhea pennata,Rhea pennata tarapacensis/garleppi,Rhea pennata pennata
84b2097ffffffff,1.0,0.0,1.0
84b2291ffffffff,2.0,0.0,0.0
84b229dffffffff,2.0,0.0,0.0
84b22b5ffffffff,1.0,1.0,0.0
84b22b7ffffffff,1.0,0.0,0.0
84b2ee9ffffffff,3.0,3.0,0.0
84b3051ffffffff,31.0,23.0,0.0
84b3059ffffffff,1.0,0.0,0.0
84b30c5ffffffff,6.0,4.0,0.0
84b3221ffffffff,5.0,0.0,0.0
84b3223ffffffff,1.0,0.0,0.0
84b3225ffffffff,9.0,0.0,0.0
84b322dffffffff,4.0,0.0,0.0
84b3235ffffffff,1.0,0.0,0.0
84b3237ffffffff,2.0,0.0,0.0
84b3515ffffffff,4.0,4.0,0.0
84b3537ffffffff,1.0,1.0,0.0
84b3539ffffffff,2.0,2.0,0.0
84b353bffffffff,2.0,2.0,0.0
84b353dffffffff,1.0,1.0,0.0
84b3545ffffffff,4.0,0.0,0.0
84b354bffffffff,19.0,2.0,2.0
84b3555ffffffff,4.0,0.0,0.0
84b355dffffffff,5.0,0.0,0.0
84b3731ffffffff,11.0,2.0,0.0
84b3733ffffffff,3.0,0.0,0.0
84b3735ffffffff,19.0,8.0,0.0
84c3053ffffffff,1.0,0.0,1.0
84c3203ffffffff,1.0,0.0,1.0
84c3217ffffffff,3.0,0.0,3.0
84c3239ffffffff,1.0,0.0,1.0
84c32a5ffffffff,3.0,0.0,3.0
84c32a9ffffffff,7.0,0.0,7.0
84c32adffffffff,9.0,0.0,9.0
84ce80dffffffff,2.0,0.0,2.0
84cf123ffffffff,3.0,0.0,3.0
84cf16dffffffff,1.0,0.0,0.0
84cf8a3ffffffff,30.0,0.0,13.0
84cf9d3ffffffff,1.0,0.0,0.0
84cfa0dffffffff,2.0,0.0,0.0
84cfa13ffffffff,1.0,0.0,1.0
84df691ffffffff,2.0,0.0,2.0
84df699ffffffff,1.0,0.0,0.0
84df6d7ffffffff,3.0,0.0,0.0
