cell_id,Spinus pinus,Spinus pinus pinus/macropterus,Spinus pinus perplexus,Spinus pinus (green morph)
820c0ffffffffff,1.0,0.0,0.0,0.0
820c2ffffffffff,2.0,0.0,0.0,0.0
820c47fffffffff,2374.0,1.0,0.0,0.0
820c57fffffffff,988.0,0.0,0.0,0.0
820c5ffffffffff,710.0,0.0,0.0,0.0
820c67fffffffff,171.0,0.0,0.0,0.0
820c6ffffffffff,10.0,0.0,0.0,0.0
820c77fffffffff,1459.0,28.0,0.0,0.0
820ceffffffffff,4.0,0.0,0.0,0.0
820d47fffffffff,6.0,0.0,0.0,0.0
820d4ffffffffff,51.0,0.0,0.0,0.0
820d57fffffffff,3.0,0.0,0.0,0.0
820d5ffffffffff,143.0,0.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0
820d6ffffffffff,7.0,0.0,0.0,0.0
820d77fffffffff,4.0,0.0,0.0,0.0
820e47fffffffff,4.0,0.0,0.0,0.0
820e4ffffffffff,1990.0,0.0,0.0,0.0
820e57fffffffff,2.0,0.0,0.0,0.0
820e5ffffffffff,47.0,0.0,0.0,0.0
820e6ffffffffff,47.0,0.0,0.0,0.0
820e97fffffffff,2.0,0.0,0.0,0.0
820e9ffffffffff,2.0,0.0,0.0,0.0
820ec7fffffffff,19.0,0.0,0.0,0.0
820ecffffffffff,753.0,0.0,0.0,0.0
820edffffffffff,55.0,0.0,0.0,0.0
820eeffffffffff,760.0,0.0,0.0,0.0
820ef7fffffffff,1.0,0.0,0.0,0.0
82120ffffffffff,10.0,0.0,0.0,0.0
821217fffffffff,147.0,0.0,0.0,0.0
82121ffffffffff,569.0,0.0,0.0,0.0
821227fffffffff,2.0,0.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0,0.0
821237fffffffff,69.0,0.0,0.0,0.0
821247fffffffff,28.0,0.0,0.0,0.0
82124ffffffffff,19.0,0.0,0.0,0.0
821257fffffffff,766.0,0.0,0.0,0.0
82125ffffffffff,503.0,0.0,0.0,0.0
821267fffffffff,1.0,0.0,0.0,0.0
82126ffffffffff,18.0,0.0,0.0,0.0
821277fffffffff,264.0,0.0,0.0,0.0
821287fffffffff,867.0,0.0,0.0,0.0
82128ffffffffff,1833.0,0.0,0.0,0.0
821297fffffffff,207.0,0.0,0.0,0.0
82129ffffffffff,128.0,0.0,0.0,0.0
8212a7fffffffff,97.0,0.0,0.0,0.0
8212affffffffff,1827.0,0.0,0.0,0.0
8212b7fffffffff,1083.0,0.0,0.0,0.0
8212c7fffffffff,5754.0,0.0,0.0,0.0
8212cffffffffff,11690.0,2.0,0.0,0.0
8212d7fffffffff,5948.0,0.0,0.0,0.0
8212dffffffffff,12123.0,0.0,0.0,0.0
8212e7fffffffff,471.0,0.0,0.0,0.0
8212effffffffff,2308.0,0.0,0.0,0.0
8212f7fffffffff,1626.0,0.0,0.0,0.0
821317fffffffff,2.0,0.0,0.0,0.0
821357fffffffff,6.0,0.0,0.0,0.0
821387fffffffff,2327.0,0.0,0.0,0.0
82138ffffffffff,507.0,0.0,0.0,0.0
821397fffffffff,518.0,0.0,0.0,0.0
82139ffffffffff,1628.0,0.0,0.0,0.0
8213a7fffffffff,21.0,0.0,0.0,0.0
8213b7fffffffff,92.0,0.0,0.0,0.0
821aa7fffffffff,1411.0,0.0,0.0,0.0
821ab7fffffffff,17.0,0.0,0.0,0.0
821b87fffffffff,83.0,0.0,0.0,0.0
821b97fffffffff,66.0,0.0,0.0,0.0
821b9ffffffffff,364.0,0.0,0.0,0.0
821bb7fffffffff,19.0,0.0,0.0,0.0
821d27fffffffff,87.0,0.0,0.0,0.0
822607fffffffff,579.0,1.0,0.0,0.0
82260ffffffffff,481.0,2.0,0.0,0.0
822617fffffffff,429.0,1.0,0.0,0.0
82261ffffffffff,159.0,4.0,0.0,0.0
822627fffffffff,2567.0,0.0,0.0,0.0
82262ffffffffff,1124.0,0.0,0.0,0.0
822637fffffffff,701.0,0.0,0.0,0.0
822647fffffffff,744.0,0.0,0.0,0.0
82264ffffffffff,894.0,0.0,0.0,0.0
822657fffffffff,1423.0,0.0,0.0,0.0
82265ffffffffff,909.0,0.0,0.0,0.0
822667fffffffff,4597.0,0.0,0.0,0.0
82266ffffffffff,808.0,0.0,0.0,0.0
822677fffffffff,294.0,0.0,0.0,0.0
822687fffffffff,17252.0,0.0,0.0,0.0
82268ffffffffff,12552.0,0.0,0.0,0.0
822697fffffffff,8665.0,0.0,0.0,0.0
82269ffffffffff,8294.0,3.0,0.0,0.0
8226a7fffffffff,637.0,0.0,0.0,0.0
8226affffffffff,1856.0,25.0,0.0,0.0
8226b7fffffffff,2747.0,0.0,0.0,0.0
8226c7fffffffff,623.0,0.0,0.0,0.0
8226cffffffffff,2001.0,0.0,0.0,0.0
8226d7fffffffff,1360.0,0.0,0.0,0.0
8226dffffffffff,884.0,0.0,0.0,0.0
8226e7fffffffff,915.0,0.0,0.0,0.0
8226effffffffff,603.0,0.0,0.0,0.0
8226f7fffffffff,1489.0,0.0,0.0,0.0
822707fffffffff,1930.0,0.0,0.0,0.0
82270ffffffffff,3474.0,0.0,0.0,0.0
822717fffffffff,445.0,0.0,0.0,0.0
82271ffffffffff,1246.0,0.0,0.0,0.0
822727fffffffff,7.0,0.0,0.0,0.0
82272ffffffffff,53.0,0.0,0.0,0.0
822737fffffffff,2.0,0.0,0.0,0.0
822747fffffffff,4074.0,0.0,0.0,0.0
82274ffffffffff,4417.0,0.0,0.0,0.0
822757fffffffff,5409.0,0.0,0.0,0.0
82275ffffffffff,5945.0,0.0,0.0,0.0
822767fffffffff,3718.0,0.0,0.0,0.0
82276ffffffffff,2052.0,0.0,0.0,0.0
