cell_id,Turdus plumbeus,Turdus plumbeus plumbeus,Turdus plumbeus [rubripes Group],Turdus plumbeus ardosiaceus/albiventris
834416fffffffff,181.0,0.0,85.0,0.0
834430fffffffff,12.0,0.0,11.0,0.0
834432fffffffff,5.0,0.0,0.0,0.0
834480fffffffff,1.0,0.0,0.0,0.0
834484fffffffff,96.0,2.0,0.0,0.0
834486fffffffff,3.0,0.0,0.0,0.0
8344a1fffffffff,36.0,4.0,0.0,0.0
8344a3fffffffff,32.0,25.0,0.0,0.0
8344aefffffffff,12.0,2.0,0.0,0.0
834583fffffffff,2.0,0.0,0.0,0.0
834584fffffffff,2.0,0.0,0.0,0.0
83458cfffffffff,2.0,0.0,2.0,0.0
83458efffffffff,4.0,0.0,0.0,0.0
834598fffffffff,2.0,0.0,2.0,0.0
83459efffffffff,2.0,0.0,0.0,0.0
834c9afffffffff,1.0,0.0,0.0,0.0
834cc5fffffffff,7.0,0.0,0.0,2.0
834cd2fffffffff,2.0,0.0,0.0,0.0
834cd4fffffffff,5.0,0.0,0.0,0.0
834ceefffffffff,5.0,0.0,0.0,5.0
834cf2fffffffff,6.0,0.0,0.0,0.0
836725fffffffff,7.0,0.0,0.0,0.0
836726fffffffff,1.0,0.0,0.0,0.0
