cell_id,Lepidocolaptes fuscicapillus,Lepidocolaptes fuscicapillus fuscicapillus,Lepidocolaptes fuscicapillus layardi
838044fffffffff,17.0,0.0,17.0
838046fffffffff,181.0,3.0,177.0
838061fffffffff,4.0,0.0,4.0
838062fffffffff,1.0,0.0,1.0
838064fffffffff,1.0,0.0,1.0
838065fffffffff,9.0,0.0,9.0
838066fffffffff,4.0,0.0,4.0
838071fffffffff,14.0,0.0,14.0
838075fffffffff,6.0,0.0,6.0
838140fffffffff,7.0,0.0,7.0
838142fffffffff,3.0,0.0,3.0
838143fffffffff,4.0,0.0,4.0
838146fffffffff,4.0,0.0,4.0
83814afffffffff,173.0,0.0,173.0
83814dfffffffff,24.0,0.0,24.0
83814efffffffff,75.0,0.0,75.0
838158fffffffff,1.0,0.0,1.0
838159fffffffff,6.0,0.0,6.0
83815afffffffff,12.0,0.0,10.0
83815cfffffffff,1.0,0.0,0.0
83815dfffffffff,41.0,0.0,41.0
83815efffffffff,3.0,0.0,3.0
838a04fffffffff,2.0,0.0,0.0
838a05fffffffff,12.0,9.0,0.0
838a10fffffffff,29.0,16.0,0.0
838a15fffffffff,13.0,5.0,0.0
838a21fffffffff,7.0,7.0,0.0
838a23fffffffff,7.0,6.0,0.0
838a24fffffffff,6.0,1.0,0.0
838a25fffffffff,1.0,1.0,0.0
838a31fffffffff,37.0,36.0,0.0
838a33fffffffff,14.0,14.0,0.0
838a34fffffffff,1.0,0.0,0.0
838a35fffffffff,2.0,0.0,0.0
838a80fffffffff,18.0,13.0,1.0
838a81fffffffff,11.0,4.0,0.0
838a82fffffffff,6.0,0.0,6.0
838a83fffffffff,2.0,1.0,0.0
838a91fffffffff,5.0,0.0,5.0
838a92fffffffff,11.0,0.0,11.0
838a9cfffffffff,33.0,0.0,33.0
838aa8fffffffff,22.0,20.0,0.0
838aaafffffffff,41.0,36.0,0.0
838aacfffffffff,2.0,2.0,0.0
838aadfffffffff,2.0,2.0,0.0
838af4fffffffff,2.0,2.0,0.0
838b11fffffffff,4.0,2.0,0.0
838b1afffffffff,1.0,0.0,0.0
838b1efffffffff,2.0,2.0,0.0
838b53fffffffff,1.0,0.0,0.0
838b56fffffffff,6.0,5.0,0.0
838b82fffffffff,6.0,0.0,6.0
838b83fffffffff,3.0,0.0,3.0
838b84fffffffff,23.0,0.0,12.0
838b88fffffffff,10.0,0.0,2.0
838b8afffffffff,3.0,0.0,2.0
838b96fffffffff,5.0,0.0,5.0
838b99fffffffff,57.0,0.0,49.0
838b9dfffffffff,262.0,0.0,234.0
838ba4fffffffff,3.0,0.0,3.0
838ba6fffffffff,17.0,0.0,17.0
838badfffffffff,2.0,0.0,0.0
83a859fffffffff,1.0,0.0,1.0
83a8c9fffffffff,9.0,0.0,9.0
