cell_id,Piranga flava,Piranga flava [hepatica Group],Piranga flava [lutea Group],Piranga flava [flava Group]
82268ffffffffff,95.0,0.0,0.0,0.0
8226d7fffffffff,36.0,0.0,0.0,0.0
822997fffffffff,15.0,0.0,0.0,0.0
8229b7fffffffff,541.0,35.0,0.0,0.0
824507fffffffff,3.0,0.0,0.0,0.0
824527fffffffff,1515.0,0.0,0.0,0.0
82452ffffffffff,3609.0,123.0,0.0,0.0
824537fffffffff,283.0,0.0,0.0,0.0
824807fffffffff,4.0,0.0,0.0,0.0
82480ffffffffff,323.0,0.0,0.0,0.0
824817fffffffff,609.0,7.0,0.0,0.0
82481ffffffffff,114.0,0.0,0.0,0.0
824837fffffffff,1054.0,50.0,0.0,0.0
824887fffffffff,19.0,0.0,0.0,0.0
82488ffffffffff,12.0,0.0,0.0,0.0
8248a7fffffffff,907.0,23.0,0.0,0.0
8248affffffffff,909.0,59.0,0.0,0.0
8248b7fffffffff,22.0,0.0,0.0,0.0
8248c7fffffffff,6886.0,905.0,0.0,0.0
8248cffffffffff,961.0,163.0,0.0,0.0
8248d7fffffffff,361.0,22.0,0.0,0.0
8248dffffffffff,960.0,12.0,0.0,0.0
8248e7fffffffff,408.0,5.0,0.0,0.0
8248effffffffff,22126.0,2707.0,0.0,0.0
8248f7fffffffff,1293.0,78.0,0.0,0.0
824987fffffffff,977.0,60.0,0.0,0.0
82498ffffffffff,160.0,2.0,0.0,0.0
824997fffffffff,1412.0,93.0,0.0,0.0
82499ffffffffff,225.0,0.0,0.0,0.0
8249a7fffffffff,3.0,3.0,0.0,0.0
8249affffffffff,1536.0,76.0,0.0,0.0
8249b7fffffffff,316.0,13.0,0.0,0.0
825f07fffffffff,18.0,0.0,0.0,5.0
825f1ffffffffff,2.0,0.0,0.0,0.0
825f27fffffffff,16.0,0.0,0.0,16.0
825f2ffffffffff,92.0,0.0,0.0,0.0
825f47fffffffff,3.0,0.0,0.0,0.0
825f4ffffffffff,9.0,0.0,1.0,0.0
825f5ffffffffff,83.0,0.0,0.0,0.0
825f77fffffffff,15.0,0.0,7.0,0.0
826607fffffffff,76.0,0.0,20.0,0.0
82660ffffffffff,537.0,0.0,14.0,0.0
826617fffffffff,94.0,0.0,2.0,0.0
82661ffffffffff,2663.0,0.0,101.0,0.0
826627fffffffff,73.0,0.0,24.0,0.0
82662ffffffffff,109.0,0.0,9.0,0.0
826637fffffffff,2.0,0.0,0.0,0.0
826647fffffffff,2.0,0.0,0.0,0.0
826657fffffffff,1.0,0.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0,0.0
8266a7fffffffff,3460.0,0.0,428.0,0.0
8266b7fffffffff,776.0,0.0,6.0,0.0
8266c7fffffffff,747.0,0.0,15.0,0.0
8266d7fffffffff,129.0,0.0,8.0,0.0
8266dffffffffff,8.0,0.0,2.0,0.0
8266e7fffffffff,1985.0,0.0,164.0,0.0
8266f7fffffffff,1546.0,0.0,102.0,0.0
826747fffffffff,83.0,0.0,7.0,0.0
82674ffffffffff,898.0,0.0,100.0,0.0
826757fffffffff,87.0,0.0,4.0,0.0
82675ffffffffff,72.0,0.0,9.0,0.0
826797fffffffff,6.0,6.0,0.0,0.0
82679ffffffffff,56.0,0.0,0.0,0.0
8267b7fffffffff,26.0,0.0,0.0,0.0
826d07fffffffff,60.0,4.0,0.0,0.0
826d17fffffffff,89.0,0.0,0.0,0.0
826d27fffffffff,429.0,141.0,0.0,0.0
826d2ffffffffff,464.0,39.0,0.0,0.0
826d37fffffffff,1447.0,163.0,0.0,0.0
826d67fffffffff,1912.0,36.0,0.0,0.0
826d6ffffffffff,4654.0,0.0,0.0,0.0
828007fffffffff,4.0,0.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0,0.0
828017fffffffff,12.0,0.0,0.0,2.0
82801ffffffffff,1.0,0.0,0.0,0.0
828027fffffffff,1.0,0.0,0.0,1.0
82802ffffffffff,2.0,0.0,0.0,0.0
828037fffffffff,2.0,0.0,0.0,0.0
82804ffffffffff,4.0,0.0,0.0,0.0
828107fffffffff,63.0,0.0,0.0,11.0
82810ffffffffff,3.0,0.0,0.0,3.0
82811ffffffffff,3.0,0.0,0.0,0.0
828127fffffffff,70.0,0.0,0.0,11.0
82812ffffffffff,8.0,0.0,0.0,6.0
828177fffffffff,25.0,0.0,0.0,4.0
828187fffffffff,2.0,0.0,0.0,0.0
82818ffffffffff,2.0,0.0,0.0,0.0
8281affffffffff,10.0,0.0,0.0,3.0
828adffffffffff,2.0,0.0,0.0,2.0
828b07fffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,316.0,0.0,11.0,8.0
828b2ffffffffff,41.0,0.0,1.0,0.0
828b37fffffffff,2.0,0.0,0.0,0.0
828b67fffffffff,66.0,0.0,6.0,0.0
828b6ffffffffff,456.0,0.0,48.0,0.0
828b77fffffffff,68.0,0.0,0.0,0.0
828b9ffffffffff,2.0,0.0,0.0,0.0
828bb7fffffffff,76.0,0.0,0.0,32.0
828e67fffffffff,24.0,0.0,2.0,0.0
828f0ffffffffff,562.0,0.0,137.0,0.0
828f2ffffffffff,125.0,0.0,17.0,0.0
828f47fffffffff,86.0,0.0,15.0,0.0
828f4ffffffffff,9.0,0.0,0.0,0.0
828f57fffffffff,1190.0,0.0,181.0,0.0
828f5ffffffffff,90.0,0.0,0.0,0.0
828f77fffffffff,195.0,0.0,80.0,0.0
82a807fffffffff,7.0,0.0,0.0,5.0
82a80ffffffffff,3.0,0.0,0.0,0.0
82a817fffffffff,96.0,0.0,0.0,40.0
82a81ffffffffff,222.0,0.0,0.0,20.0
82a827fffffffff,13.0,0.0,0.0,0.0
82a837fffffffff,2.0,0.0,0.0,0.0
82a847fffffffff,7.0,0.0,0.0,1.0
82a84ffffffffff,3.0,0.0,0.0,0.0
82a85ffffffffff,9.0,0.0,0.0,4.0
82a867fffffffff,19.0,0.0,0.0,0.0
82a86ffffffffff,3.0,0.0,0.0,0.0
82a877fffffffff,8.0,0.0,0.0,0.0
82a887fffffffff,97.0,0.0,0.0,37.0
82a88ffffffffff,54.0,0.0,0.0,22.0
82a897fffffffff,3.0,0.0,0.0,1.0
82a8a7fffffffff,89.0,0.0,0.0,41.0
82a8affffffffff,78.0,0.0,0.0,27.0
82a8c7fffffffff,11.0,0.0,0.0,0.0
82a8d7fffffffff,74.0,0.0,0.0,22.0
82a8dffffffffff,36.0,0.0,0.0,7.0
82a8f7fffffffff,9.0,0.0,0.0,6.0
82a907fffffffff,2.0,0.0,0.0,0.0
82a90ffffffffff,9.0,0.0,0.0,5.0
82a91ffffffffff,87.0,0.0,0.0,32.0
82a92ffffffffff,124.0,0.0,0.0,10.0
82a947fffffffff,126.0,0.0,0.0,0.0
82a94ffffffffff,75.0,0.0,0.0,0.0
82a957fffffffff,60.0,0.0,0.0,0.0
82a95ffffffffff,6.0,0.0,0.0,0.0
82a967fffffffff,249.0,0.0,0.0,7.0
82a96ffffffffff,146.0,0.0,0.0,0.0
82a977fffffffff,95.0,0.0,0.0,5.0
82b20ffffffffff,10.0,0.0,0.0,0.0
82b247fffffffff,159.0,0.0,0.0,0.0
82b24ffffffffff,6.0,0.0,0.0,0.0
82b257fffffffff,49.0,0.0,0.0,0.0
82b25ffffffffff,496.0,0.0,0.0,0.0
82b267fffffffff,20.0,0.0,0.0,0.0
82b26ffffffffff,43.0,0.0,0.0,0.0
82b277fffffffff,204.0,0.0,0.0,0.0
82b327fffffffff,8.0,0.0,0.0,0.0
82b32ffffffffff,13.0,0.0,1.0,0.0
82b347fffffffff,491.0,0.0,0.0,0.0
82b34ffffffffff,205.0,0.0,0.0,0.0
82b357fffffffff,45.0,0.0,0.0,0.0
82b35ffffffffff,966.0,0.0,0.0,0.0
82b367fffffffff,69.0,0.0,0.0,6.0
82b36ffffffffff,52.0,0.0,0.0,0.0
82b377fffffffff,4.0,0.0,0.0,0.0
82c21ffffffffff,5.0,0.0,0.0,0.0
82c2c7fffffffff,369.0,0.0,0.0,1.0
82c2cffffffffff,693.0,0.0,0.0,0.0
82c2d7fffffffff,139.0,0.0,0.0,5.0
82c2dffffffffff,91.0,0.0,0.0,4.0
82c2e7fffffffff,1379.0,0.0,0.0,8.0
82c2effffffffff,41.0,0.0,0.0,0.0
82c2f7fffffffff,536.0,0.0,0.0,3.0
