cell_id,Nisaetus nipalensis,Nisaetus nipalensis nipalensis,Nisaetus nipalensis orientalis
843155bffffffff,2.0,0.0,0.0
843c0a5ffffffff,8.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0
843c19bffffffff,2.0,0.0,0.0
843c1d3ffffffff,3.0,0.0,0.0
843c369ffffffff,3.0,0.0,0.0
843c525ffffffff,5.0,0.0,0.0
843c5a1ffffffff,7.0,0.0,0.0
843cc09ffffffff,1.0,0.0,0.0
843cdcdffffffff,3.0,0.0,0.0
843cdd5ffffffff,1.0,0.0,0.0
843ce4dffffffff,17.0,0.0,0.0
843ce55ffffffff,4.0,0.0,0.0
843ce57ffffffff,7.0,0.0,0.0
843ce85ffffffff,6.0,0.0,0.0
843cec1ffffffff,6.0,0.0,0.0
843cec9ffffffff,9.0,0.0,0.0
843d04dffffffff,1.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0
843d137ffffffff,8.0,0.0,0.0
843d223ffffffff,1.0,0.0,0.0
843dad1ffffffff,9.0,0.0,0.0
843dad9ffffffff,8.0,0.0,0.0
843daddffffffff,3.0,0.0,0.0
84400a5ffffffff,6.0,0.0,0.0
844089dffffffff,2.0,0.0,0.0
8440c59ffffffff,2.0,2.0,0.0
84411b5ffffffff,2.0,2.0,0.0
844b84dffffffff,1.0,0.0,0.0
844ba01ffffffff,2.0,0.0,0.0
844ba03ffffffff,2.0,0.0,0.0
844ba07ffffffff,4.0,0.0,0.0
844ba2bffffffff,3.0,0.0,0.0
844ba39ffffffff,4.0,0.0,0.0
844bb13ffffffff,2.0,0.0,0.0
844bb1bffffffff,2.0,0.0,0.0
846426dffffffff,3.0,0.0,0.0
8464323ffffffff,6.0,0.0,0.0
8464911ffffffff,3.0,0.0,0.0
8464a35ffffffff,1.0,0.0,0.0
8465199ffffffff,1.0,0.0,0.0
846519dffffffff,5.0,0.0,0.0
84658a9ffffffff,1.0,0.0,0.0
84658e9ffffffff,1.0,0.0,0.0
8465911ffffffff,2.0,0.0,0.0
846591bffffffff,5.0,0.0,0.0
