cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
820127fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820807fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82081ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,509.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,62.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,486.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,72.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208affffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,69.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,104.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821017fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821027fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210affffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210c7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210dffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210f7fffffffff,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821107fffffffff,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821117fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821127fffffffff,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82112ffffffffff,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,92.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82118ffffffffff,147.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821197fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82119ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211a7fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,851.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211b7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82148ffffffffff,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
82149ffffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8214affffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82159ffffffffff,61.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
821807fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821827fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,346.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,190.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,3624.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,164.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,474.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,154.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,188.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,4241.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,5862.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,730.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,4282.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,2378.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,314.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,2782.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,987.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,1114.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e1ffffffffff,747.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e2ffffffffff,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,4994.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e47fffffffff,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e4ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e57fffffffff,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e67fffffffff,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e6ffffffffff,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e8ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e97fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e9ffffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,692.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821eaffffffffff,245.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821eb7fffffffff,685.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,2651.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,3400.0,49.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
821ed7fffffffff,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,1030.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
821ee7fffffffff,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,466.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ef7fffffffff,513.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,444.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f0ffffffffff,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f17fffffffff,1433.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,1926.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f27fffffffff,203.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f2ffffffffff,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f37fffffffff,112.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
