cell_id,Pterodroma leucoptera,Pterodroma leucoptera leucoptera,Pterodroma leucoptera caledonica
835ca4fffffffff,1.0,0.0,0.0
8389b4fffffffff,1.0,0.0,0.0
8393a1fffffffff,1.0,0.0,0.0
839b0cfffffffff,1.0,0.0,0.0
839b45fffffffff,1.0,0.0,0.0
839b4afffffffff,1.0,0.0,0.0
839f41fffffffff,1.0,0.0,0.0
839f4cfffffffff,1.0,0.0,0.0
839f61fffffffff,1.0,0.0,0.0
839f63fffffffff,1.0,0.0,0.0
839f64fffffffff,1.0,0.0,0.0
839f6afffffffff,1.0,0.0,0.0
839f6bfffffffff,1.0,0.0,0.0
83a069fffffffff,1.0,0.0,0.0
83a166fffffffff,1.0,0.0,1.0
83ba08fffffffff,1.0,0.0,0.0
83ba0afffffffff,2.0,0.0,0.0
83ba1afffffffff,7.0,0.0,0.0
83ba1cfffffffff,16.0,0.0,0.0
83ba1efffffffff,17.0,0.0,0.0
83ba61fffffffff,1.0,1.0,0.0
83ba69fffffffff,1.0,0.0,0.0
83bac6fffffffff,2.0,0.0,0.0
83baf4fffffffff,1.0,0.0,0.0
83baf6fffffffff,20.0,0.0,0.0
83bb53fffffffff,5.0,0.0,0.0
83bb58fffffffff,4.0,0.0,0.0
83bb59fffffffff,1.0,0.0,0.0
83be0cfffffffff,5.0,0.0,0.0
83be0efffffffff,16.0,0.0,0.0
83be14fffffffff,4.0,0.0,0.0
83be1afffffffff,6.0,0.0,0.0
83be1dfffffffff,8.0,0.0,0.0
83be63fffffffff,1.0,0.0,0.0
83be68fffffffff,6.0,0.0,0.0
83be6dfffffffff,1.0,0.0,0.0
83be76fffffffff,1.0,0.0,0.0
83bea0fffffffff,2.0,0.0,0.0
83bea1fffffffff,1.0,0.0,0.0
83beaafffffffff,5.0,0.0,0.0
83beabfffffffff,21.0,0.0,0.0
83beaefffffffff,15.0,0.0,0.0
83beb6fffffffff,1.0,0.0,0.0
83bf1bfffffffff,3.0,0.0,0.0
83bf2bfffffffff,3.0,0.0,0.0
83bf4cfffffffff,34.0,0.0,0.0
83bf6afffffffff,1.0,0.0,0.0
83bf70fffffffff,3.0,0.0,0.0
83bf71fffffffff,2.0,0.0,0.0
83bf75fffffffff,1.0,0.0,0.0
83bf76fffffffff,2.0,0.0,0.0
83bfb2fffffffff,1.0,0.0,0.0
83da8cfffffffff,1.0,0.0,0.0
