cell_id,Quiscalus mexicanus,Quiscalus mexicanus [graysoni Group],Quiscalus mexicanus [mexicanus Group]
822607fffffffff,55.0,0.0,0.0
82260ffffffffff,973.0,0.0,0.0
822617fffffffff,50.0,0.0,0.0
82261ffffffffff,439.0,0.0,7.0
822627fffffffff,6.0,0.0,0.0
82262ffffffffff,54.0,0.0,0.0
822637fffffffff,4.0,0.0,0.0
822657fffffffff,1532.0,0.0,0.0
82265ffffffffff,18.0,0.0,0.0
822677fffffffff,2.0,0.0,0.0
822687fffffffff,1470.0,0.0,0.0
82268ffffffffff,6044.0,0.0,0.0
822697fffffffff,3469.0,0.0,0.0
82269ffffffffff,638.0,0.0,0.0
8226a7fffffffff,39.0,0.0,0.0
8226affffffffff,4752.0,0.0,1.0
8226b7fffffffff,4.0,0.0,0.0
8226c7fffffffff,3321.0,0.0,0.0
8226cffffffffff,14195.0,0.0,87.0
8226d7fffffffff,4278.0,0.0,41.0
8226dffffffffff,8488.0,0.0,304.0
8226e7fffffffff,2913.0,0.0,0.0
8226effffffffff,632.0,0.0,0.0
8226f7fffffffff,4996.0,0.0,0.0
822807fffffffff,20.0,0.0,0.0
822817fffffffff,412.0,0.0,0.0
82281ffffffffff,99.0,0.0,0.0
822837fffffffff,15424.0,120.0,0.0
822887fffffffff,25.0,0.0,0.0
822897fffffffff,52.0,0.0,0.0
8228a7fffffffff,115.0,0.0,0.0
8228b7fffffffff,915.0,0.0,0.0
822917fffffffff,4257.0,0.0,0.0
82291ffffffffff,950.0,437.0,0.0
822987fffffffff,9360.0,0.0,0.0
82298ffffffffff,1279.0,0.0,0.0
822997fffffffff,2898.0,0.0,0.0
82299ffffffffff,225.0,0.0,0.0
8229a7fffffffff,37846.0,0.0,0.0
8229affffffffff,5769.0,21.0,0.0
8229b7fffffffff,15856.0,0.0,0.0
824427fffffffff,116.0,0.0,0.0
824447fffffffff,3162.0,0.0,0.0
82444ffffffffff,524.0,0.0,2.0
824467fffffffff,1963.0,0.0,0.0
82446ffffffffff,55481.0,0.0,1457.0
824507fffffffff,6682.0,0.0,459.0
82450ffffffffff,21398.0,0.0,0.0
82451ffffffffff,1008.0,0.0,0.0
824527fffffffff,24548.0,0.0,596.0
82452ffffffffff,24562.0,0.0,1125.0
824537fffffffff,5445.0,0.0,0.0
824557fffffffff,4.0,0.0,0.0
82456ffffffffff,11.0,0.0,0.0
824577fffffffff,2012.0,0.0,54.0
824807fffffffff,823.0,0.0,0.0
82480ffffffffff,1292.0,9.0,0.0
824817fffffffff,857.0,0.0,0.0
82481ffffffffff,380.0,0.0,0.0
824837fffffffff,11042.0,278.0,0.0
824847fffffffff,67.0,0.0,0.0
82484ffffffffff,60.0,0.0,0.0
824857fffffffff,1689.0,14.0,0.0
82485ffffffffff,9089.0,12.0,0.0
824877fffffffff,21.0,0.0,0.0
824887fffffffff,13878.0,0.0,185.0
82488ffffffffff,8219.0,0.0,102.0
824897fffffffff,46008.0,0.0,439.0
82489ffffffffff,40472.0,0.0,328.0
8248a7fffffffff,5002.0,0.0,0.0
8248affffffffff,544.0,0.0,10.0
8248b7fffffffff,91599.0,0.0,1291.0
8248c7fffffffff,9456.0,0.0,25.0
8248cffffffffff,1776.0,0.0,1.0
8248d7fffffffff,4875.0,0.0,14.0
8248dffffffffff,7317.0,0.0,0.0
8248e7fffffffff,554.0,12.0,0.0
8248effffffffff,70451.0,0.0,0.0
8248f7fffffffff,1267.0,0.0,53.0
824987fffffffff,2928.0,0.0,20.0
82498ffffffffff,499.0,0.0,14.0
824997fffffffff,23359.0,0.0,2680.0
82499ffffffffff,1254.0,0.0,45.0
8249a7fffffffff,332.0,0.0,0.0
8249affffffffff,5812.0,93.0,20.0
8249b7fffffffff,2446.0,0.0,6.0
826607fffffffff,432.0,0.0,6.0
82660ffffffffff,22.0,0.0,0.0
826617fffffffff,3948.0,0.0,0.0
82661ffffffffff,925.0,0.0,6.0
826627fffffffff,4550.0,0.0,350.0
82662ffffffffff,5.0,0.0,0.0
826637fffffffff,1378.0,0.0,42.0
826687fffffffff,30.0,0.0,0.0
8266a7fffffffff,19945.0,0.0,0.0
8266affffffffff,11.0,0.0,0.0
8266b7fffffffff,25195.0,0.0,0.0
8266c7fffffffff,3.0,0.0,0.0
8266d7fffffffff,668.0,0.0,5.0
8266e7fffffffff,111.0,0.0,0.0
8266f7fffffffff,484.0,0.0,0.0
826737fffffffff,91.0,0.0,4.0
826747fffffffff,42.0,0.0,0.0
826757fffffffff,399.0,0.0,1.0
826777fffffffff,76.0,0.0,0.0
826787fffffffff,576.0,0.0,0.0
82678ffffffffff,7.0,0.0,0.0
826797fffffffff,633.0,0.0,0.0
82679ffffffffff,4608.0,0.0,0.0
8267b7fffffffff,76.0,0.0,0.0
826d07fffffffff,1947.0,0.0,377.0
826d17fffffffff,1268.0,0.0,176.0
826d27fffffffff,5725.0,0.0,653.0
826d2ffffffffff,24181.0,0.0,5922.0
826d37fffffffff,11578.0,0.0,964.0
826d67fffffffff,17973.0,0.0,193.0
826d6ffffffffff,54160.0,0.0,280.0
826d77fffffffff,6328.0,0.0,72.0
828e67fffffffff,8.0,0.0,0.0
828f0ffffffffff,314.0,0.0,0.0
828f27fffffffff,27.0,0.0,0.0
828f2ffffffffff,1215.0,0.0,109.0
