cell_id,Setophaga pitiayumi,Setophaga pitiayumi nigrilora,Setophaga pitiayumi pulchra,Setophaga pitiayumi insularis,Setophaga pitiayumi graysoni,Setophaga pitiayumi inornata,Setophaga pitiayumi cirrha,Setophaga pitiayumi [pitiayumi Group]
8326aafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8329a5fffffffff,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834445fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83444cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834463fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83446cfffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83446efffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452dfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83482efffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
834833fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
834836fffffffff,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
834880fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834883fffffffff,262.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
834888fffffffff,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83488dfffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83488efffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834890fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834891fffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834892fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834893fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834895fffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834898fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83489cfffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83489dfffffffff,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83489efffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348abfffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348b1fffffffff,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8348b2fffffffff,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348b3fffffffff,1446.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8348c5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348d4fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8348defffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
