cell_id,Larus californicus,Larus californicus californicus,Larus californicus albertaensis
84120b7ffffffff,4.0,0.0,0.0
841215dffffffff,1.0,0.0,0.0
8412181ffffffff,4.0,0.0,0.0
8412187ffffffff,8.0,0.0,0.0
8412199ffffffff,4.0,0.0,0.0
84121b1ffffffff,2.0,0.0,0.0
84121bbffffffff,48.0,0.0,0.0
84121e3ffffffff,26.0,0.0,0.0
8412299ffffffff,2.0,0.0,0.0
8412433ffffffff,2.0,0.0,0.0
841243dffffffff,2.0,0.0,0.0
8412453ffffffff,2.0,0.0,0.0
84124a7ffffffff,2.0,0.0,0.0
84124b5ffffffff,6.0,0.0,0.0
84124b7ffffffff,14.0,0.0,0.0
84124bdffffffff,2.0,0.0,0.0
84124e5ffffffff,2.0,0.0,0.0
8412501ffffffff,4.0,0.0,0.0
8412505ffffffff,137.0,0.0,8.0
8412507ffffffff,7.0,0.0,0.0
8412511ffffffff,5.0,0.0,0.0
8412515ffffffff,240.0,0.0,62.0
841251dffffffff,14.0,0.0,3.0
8412521ffffffff,15.0,0.0,0.0
8412523ffffffff,9.0,0.0,0.0
8412525ffffffff,2.0,0.0,0.0
8412527ffffffff,3.0,0.0,0.0
841252bffffffff,6.0,0.0,0.0
8412531ffffffff,4.0,0.0,0.0
8412535ffffffff,25.0,0.0,7.0
8412539ffffffff,56.0,0.0,19.0
841253bffffffff,1.0,0.0,0.0
841253dffffffff,6.0,0.0,0.0
8412543ffffffff,4.0,0.0,0.0
8412549ffffffff,68.0,0.0,0.0
841254bffffffff,3.0,0.0,0.0
8412569ffffffff,2.0,0.0,0.0
8412581ffffffff,2.0,0.0,0.0
8412583ffffffff,2.0,0.0,0.0
841258dffffffff,3.0,0.0,0.0
8412591ffffffff,219.0,0.0,0.0
8412593ffffffff,9.0,0.0,0.0
8412595ffffffff,3.0,0.0,0.0
8412597ffffffff,75.0,0.0,0.0
841259dffffffff,16.0,0.0,0.0
84125adffffffff,28.0,0.0,0.0
84125b9ffffffff,1.0,0.0,0.0
84125bbffffffff,7.0,0.0,0.0
84125c7ffffffff,2.0,0.0,0.0
84125d3ffffffff,2.0,0.0,0.0
84125d5ffffffff,1.0,0.0,0.0
84125d7ffffffff,4.0,0.0,0.0
84125d9ffffffff,53.0,0.0,0.0
84125dbffffffff,4.0,0.0,0.0
84125e1ffffffff,1.0,0.0,0.0
84125e5ffffffff,9.0,0.0,0.0
84125e7ffffffff,2.0,0.0,0.0
84125edffffffff,2.0,0.0,0.0
841261dffffffff,2.0,0.0,0.0
8412639ffffffff,4.0,0.0,0.0
841263dffffffff,10.0,0.0,0.0
8412721ffffffff,12.0,0.0,0.0
8412723ffffffff,37.0,0.0,0.0
8412805ffffffff,66.0,0.0,0.0
841280dffffffff,1.0,0.0,0.0
8412823ffffffff,2.0,0.0,0.0
8412825ffffffff,2.0,0.0,0.0
841282bffffffff,7.0,0.0,0.0
841282dffffffff,1.0,0.0,0.0
8412835ffffffff,2.0,0.0,0.0
8412861ffffffff,3.0,0.0,0.0
8412865ffffffff,25.0,0.0,0.0
8412867ffffffff,1.0,0.0,0.0
841286dffffffff,19.0,0.0,0.0
8412887ffffffff,4.0,0.0,0.0
8412891ffffffff,7.0,0.0,0.0
841289bffffffff,9.0,0.0,0.0
84128bdffffffff,68.0,0.0,0.0
84128d1ffffffff,2.0,0.0,0.0
84128d3ffffffff,6.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0
84128e7ffffffff,10.0,0.0,0.0
8412901ffffffff,6.0,0.0,0.0
8412907ffffffff,2.0,0.0,0.0
8412909ffffffff,88.0,0.0,0.0
8412913ffffffff,1.0,0.0,0.0
841291bffffffff,1.0,0.0,0.0
8412939ffffffff,3.0,0.0,0.0
8412941ffffffff,2.0,0.0,0.0
8412947ffffffff,42.0,0.0,0.0
8412949ffffffff,6.0,0.0,0.0
841294bffffffff,1.0,0.0,0.0
841294dffffffff,2.0,0.0,0.0
8412959ffffffff,4.0,0.0,0.0
841295dffffffff,9.0,0.0,0.0
841296bffffffff,3.0,0.0,0.0
8412981ffffffff,5.0,0.0,0.0
8412987ffffffff,29.0,0.0,0.0
8412989ffffffff,7.0,0.0,0.0
841298dffffffff,5.0,0.0,0.0
8412991ffffffff,6.0,0.0,0.0
