cell_id,Platysteira concreta,Platysteira concreta concreta,Platysteira concreta ansorgei,Platysteira concreta graueri,Platysteira concreta kungwensis
8458d23ffffffff,5.0,0.0,0.0,0.0,0.0
8458d33ffffffff,12.0,0.0,0.0,8.0,0.0
8458d35ffffffff,14.0,0.0,0.0,12.0,0.0
8458d37ffffffff,1.0,0.0,0.0,0.0,0.0
8458de5ffffffff,5.0,0.0,0.0,5.0,0.0
846ac03ffffffff,1.0,0.0,0.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0,0.0,0.0
846ac31ffffffff,1.0,0.0,0.0,0.0,0.0
846ac3dffffffff,1.0,0.0,0.0,0.0,0.0
846adc1ffffffff,1.0,0.0,0.0,0.0,0.0
846ade7ffffffff,15.0,0.0,0.0,0.0,0.0
846aea9ffffffff,1.0,0.0,0.0,0.0,0.0
84758c9ffffffff,1.0,0.0,0.0,0.0,0.0
84758cdffffffff,1.0,0.0,0.0,0.0,0.0
8475a07ffffffff,5.0,0.0,0.0,0.0,0.0
8475a81ffffffff,3.0,0.0,0.0,0.0,0.0
8475a83ffffffff,2.0,0.0,0.0,0.0,0.0
8475aa7ffffffff,1.0,0.0,0.0,0.0,0.0
8475b01ffffffff,4.0,0.0,0.0,0.0,0.0
8475b07ffffffff,1.0,0.0,0.0,0.0,0.0
8475b39ffffffff,1.0,0.0,0.0,0.0,0.0
8475b51ffffffff,1.0,0.0,0.0,0.0,0.0
8475b5dffffffff,1.0,0.0,0.0,0.0,0.0
847a4cbffffffff,38.0,0.0,0.0,0.0,0.0
847a4ddffffffff,35.0,0.0,0.0,0.0,0.0
8482125ffffffff,12.0,0.0,0.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0,0.0,0.0
84828d1ffffffff,96.0,0.0,0.0,46.0,0.0
8482a81ffffffff,9.0,0.0,0.0,3.0,0.0
8482aadffffffff,3.0,0.0,0.0,0.0,0.0
8482ab3ffffffff,2.0,0.0,0.0,2.0,0.0
8482d27ffffffff,19.0,0.0,0.0,2.0,0.0
8482d3dffffffff,16.0,0.0,0.0,16.0,0.0
8482f27ffffffff,1.0,0.0,0.0,0.0,0.0
8482f4bffffffff,1.0,0.0,0.0,0.0,0.0
8483151ffffffff,34.0,0.0,16.0,0.0,0.0
8483157ffffffff,1.0,0.0,1.0,0.0,0.0
848315bffffffff,1.0,0.0,0.0,0.0,0.0
848320dffffffff,3.0,0.0,0.0,0.0,0.0
