cell_id,Zonotrichia capensis,Zonotrichia capensis [capensis Group],Zonotrichia capensis australis
832681fffffffff,8.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0
834524fffffffff,1.0,0.0,0.0
834c89fffffffff,4.0,0.0,0.0
834cd4fffffffff,3.0,0.0,0.0
834cd6fffffffff,2.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f48fffffffff,1.0,0.0,0.0
835f49fffffffff,5.0,0.0,0.0
83660bfffffffff,6.0,0.0,0.0
83660dfffffffff,4.0,0.0,0.0
83661bfffffffff,42.0,0.0,0.0
836620fffffffff,1.0,1.0,0.0
836629fffffffff,2.0,2.0,0.0
8366a5fffffffff,1.0,0.0,0.0
8366b4fffffffff,12.0,2.0,0.0
8366b5fffffffff,5.0,0.0,0.0
8366c4fffffffff,158.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0
8366d3fffffffff,31.0,22.0,0.0
8366dafffffffff,3.0,0.0,0.0
8366defffffffff,182.0,67.0,0.0
8366e4fffffffff,2.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0
8366e6fffffffff,25.0,0.0,0.0
8366f1fffffffff,4.0,0.0,0.0
836741fffffffff,47.0,2.0,0.0
836744fffffffff,2.0,0.0,0.0
836746fffffffff,3.0,0.0,0.0
83674efffffffff,3.0,3.0,0.0
836751fffffffff,1.0,0.0,0.0
83675afffffffff,2.0,2.0,0.0
83675cfffffffff,2.0,0.0,0.0
83675efffffffff,1.0,1.0,0.0
83679afffffffff,43.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0
836d23fffffffff,4.0,0.0,0.0
836d28fffffffff,7.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0
836d69fffffffff,49.0,19.0,0.0
836d6dfffffffff,6.0,0.0,0.0
838109fffffffff,1.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b20fffffffff,7.0,7.0,0.0
838b21fffffffff,13.0,13.0,0.0
838b25fffffffff,26.0,26.0,0.0
838e62fffffffff,1.0,1.0,0.0
838e64fffffffff,1.0,1.0,0.0
838e75fffffffff,4.0,1.0,0.0
838f29fffffffff,2.0,0.0,0.0
838f2dfffffffff,1.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0
838f44fffffffff,2.0,0.0,0.0
838f4afffffffff,2.0,2.0,0.0
838f4bfffffffff,35.0,0.0,0.0
838f55fffffffff,4.0,3.0,0.0
838f59fffffffff,2.0,2.0,0.0
838f5cfffffffff,1.0,1.0,0.0
838f70fffffffff,2.0,2.0,0.0
838f74fffffffff,3.0,0.0,0.0
83a812fffffffff,2.0,2.0,0.0
83a92cfffffffff,4.0,0.0,0.0
83a961fffffffff,114.0,0.0,0.0
83a965fffffffff,34.0,0.0,0.0
83a96cfffffffff,20.0,0.0,0.0
83a96dfffffffff,3.0,0.0,0.0
83a96efffffffff,5.0,0.0,0.0
83b21dfffffffff,2.0,2.0,0.0
83b22dfffffffff,1.0,0.0,1.0
83b248fffffffff,64.0,0.0,0.0
83b249fffffffff,160.0,0.0,0.0
83b24bfffffffff,21.0,0.0,0.0
83b24cfffffffff,4.0,0.0,0.0
83b24dfffffffff,1515.0,0.0,0.0
83b259fffffffff,9.0,0.0,9.0
83b25dfffffffff,6.0,0.0,6.0
83b25efffffffff,3.0,0.0,0.0
83b261fffffffff,16.0,0.0,0.0
83b268fffffffff,48.0,0.0,0.0
83b269fffffffff,95.0,0.0,0.0
83b26afffffffff,4.0,0.0,0.0
83b26bfffffffff,152.0,0.0,0.0
83b26cfffffffff,5.0,0.0,0.0
83b26dfffffffff,61.0,0.0,0.0
83b26efffffffff,3.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b274fffffffff,2.0,2.0,0.0
83b2c0fffffffff,74.0,74.0,0.0
83b2c1fffffffff,1.0,0.0,0.0
83b2c4fffffffff,164.0,155.0,0.0
