cell_id,Parabuteo unicinctus,Parabuteo unicinctus harrisi,Parabuteo unicinctus unicinctus
8226dffffffffff,28.0,0.0,0.0
8229b7fffffffff,407.0,0.0,0.0
824527fffffffff,4.0,0.0,0.0
82454ffffffffff,2.0,0.0,0.0
824807fffffffff,79.0,0.0,0.0
82480ffffffffff,201.0,0.0,0.0
824817fffffffff,209.0,0.0,0.0
82481ffffffffff,41.0,0.0,0.0
824827fffffffff,31.0,0.0,0.0
82482ffffffffff,168.0,0.0,0.0
824837fffffffff,613.0,0.0,0.0
824847fffffffff,102.0,0.0,0.0
824857fffffffff,237.0,0.0,0.0
82485ffffffffff,15.0,0.0,0.0
824877fffffffff,128.0,0.0,0.0
824887fffffffff,6233.0,0.0,0.0
82488ffffffffff,205.0,0.0,0.0
824897fffffffff,2811.0,17.0,0.0
82489ffffffffff,264.0,0.0,0.0
8248a7fffffffff,397.0,0.0,0.0
8248affffffffff,12.0,0.0,0.0
8248b7fffffffff,31127.0,1.0,0.0
8248c7fffffffff,577.0,0.0,0.0
8248d7fffffffff,203.0,0.0,0.0
8248e7fffffffff,45.0,0.0,0.0
8248effffffffff,8733.0,0.0,0.0
8248f7fffffffff,61.0,0.0,0.0
824987fffffffff,26.0,0.0,0.0
82498ffffffffff,63.0,5.0,0.0
824997fffffffff,1164.0,1.0,0.0
82499ffffffffff,83.0,0.0,0.0
8249affffffffff,71.0,0.0,0.0
8249b7fffffffff,35.0,0.0,0.0
825f4ffffffffff,87.0,0.0,4.0
825f77fffffffff,2.0,0.0,0.0
826607fffffffff,23.0,0.0,0.0
82661ffffffffff,8.0,0.0,0.0
826627fffffffff,406.0,0.0,0.0
82662ffffffffff,16.0,0.0,0.0
826637fffffffff,3.0,0.0,0.0
826667fffffffff,31.0,0.0,0.0
826677fffffffff,54.0,0.0,0.0
8266b7fffffffff,51.0,0.0,0.0
8266d7fffffffff,1065.0,10.0,0.0
8266e7fffffffff,1.0,0.0,0.0
8266f7fffffffff,5.0,0.0,0.0
826747fffffffff,27.0,0.0,2.0
82674ffffffffff,72.0,0.0,7.0
826757fffffffff,1228.0,0.0,2.0
82675ffffffffff,53.0,0.0,0.0
82676ffffffffff,24.0,0.0,0.0
82679ffffffffff,2.0,0.0,0.0
826d07fffffffff,16.0,2.0,0.0
826d2ffffffffff,5.0,0.0,0.0
826d37fffffffff,62.0,4.0,0.0
826d67fffffffff,679.0,2.0,0.0
826d6ffffffffff,2064.0,0.0,0.0
826d77fffffffff,152.0,0.0,0.0
828017fffffffff,21.0,0.0,0.0
828037fffffffff,28.0,0.0,0.0
828107fffffffff,2.0,0.0,0.0
828117fffffffff,4.0,0.0,0.0
82811ffffffffff,2.0,0.0,0.0
828127fffffffff,3.0,0.0,0.0
82812ffffffffff,2.0,0.0,0.0
828137fffffffff,5.0,0.0,1.0
828187fffffffff,4.0,0.0,0.0
82818ffffffffff,12.0,0.0,2.0
82819ffffffffff,3.0,0.0,0.0
8281affffffffff,10.0,0.0,0.0
828b07fffffffff,1.0,0.0,0.0
828b27fffffffff,44.0,0.0,3.0
828b2ffffffffff,26.0,0.0,0.0
828b37fffffffff,3.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828e27fffffffff,2.0,0.0,0.0
828e47fffffffff,57.0,0.0,0.0
828e67fffffffff,3618.0,93.0,0.0
828e6ffffffffff,27.0,0.0,0.0
828e77fffffffff,15.0,0.0,0.0
828f0ffffffffff,613.0,47.0,0.0
828f2ffffffffff,878.0,96.0,0.0
828f47fffffffff,2.0,0.0,0.0
828f57fffffffff,897.0,0.0,15.0
828f5ffffffffff,46.0,2.0,0.0
828f77fffffffff,66.0,11.0,0.0
82a597fffffffff,2.0,0.0,0.0
82a817fffffffff,293.0,0.0,25.0
82a81ffffffffff,2.0,0.0,0.0
82a847fffffffff,78.0,0.0,0.0
82a85ffffffffff,52.0,0.0,1.0
82a867fffffffff,4.0,0.0,0.0
82a86ffffffffff,22.0,0.0,0.0
82a887fffffffff,6.0,0.0,0.0
82a897fffffffff,7.0,0.0,2.0
82a89ffffffffff,4.0,0.0,0.0
82a8a7fffffffff,204.0,0.0,5.0
82a8affffffffff,2.0,0.0,1.0
82a8b7fffffffff,3.0,0.0,0.0
82a8effffffffff,1.0,0.0,0.0
82a907fffffffff,1.0,0.0,0.0
82a92ffffffffff,4.0,0.0,0.0
82a947fffffffff,11.0,0.0,0.0
82a94ffffffffff,231.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a95ffffffffff,7.0,0.0,0.0
82a967fffffffff,47.0,0.0,0.0
82a96ffffffffff,12.0,0.0,0.0
82a977fffffffff,1.0,0.0,0.0
82b207fffffffff,244.0,0.0,0.0
82b20ffffffffff,18.0,0.0,0.0
82b21ffffffffff,823.0,0.0,0.0
82b227fffffffff,1.0,0.0,0.0
82b22ffffffffff,2.0,0.0,0.0
82b247fffffffff,43.0,0.0,0.0
82b24ffffffffff,112.0,0.0,0.0
82b257fffffffff,12.0,0.0,0.0
82b25ffffffffff,78.0,0.0,0.0
82b267fffffffff,34.0,0.0,0.0
82b26ffffffffff,17.0,0.0,0.0
82b277fffffffff,19.0,0.0,0.0
82b2c7fffffffff,6525.0,0.0,755.0
82b2cffffffffff,80.0,0.0,9.0
82b2dffffffffff,462.0,0.0,3.0
82b2e7fffffffff,496.0,0.0,8.0
82b2effffffffff,336.0,0.0,0.0
82b307fffffffff,862.0,0.0,0.0
82b30ffffffffff,31.0,0.0,0.0
82b32ffffffffff,3.0,0.0,0.0
82b337fffffffff,80.0,0.0,0.0
82b347fffffffff,79.0,0.0,0.0
82b34ffffffffff,57.0,0.0,0.0
82b357fffffffff,5.0,0.0,0.0
82b35ffffffffff,179.0,0.0,0.0
82b367fffffffff,78.0,0.0,0.0
82b36ffffffffff,72.0,0.0,0.0
82c207fffffffff,60.0,0.0,0.0
82c21ffffffffff,122.0,0.0,3.0
82c227fffffffff,3.0,0.0,0.0
82c22ffffffffff,154.0,0.0,4.0
82c2c7fffffffff,494.0,0.0,11.0
82c2cffffffffff,382.0,0.0,0.0
82c2d7fffffffff,24.0,0.0,2.0
82c2dffffffffff,5.0,0.0,1.0
82c2e7fffffffff,7478.0,0.0,105.0
82c2effffffffff,139.0,0.0,0.0
82c2f7fffffffff,1478.0,0.0,45.0
82c307fffffffff,3.0,0.0,0.0
82c30ffffffffff,8.0,0.0,0.0
82c327fffffffff,36.0,0.0,0.0
82c32ffffffffff,78.0,0.0,0.0
82c347fffffffff,31.0,0.0,0.0
82c34ffffffffff,7.0,0.0,0.0
82c357fffffffff,63.0,0.0,2.0
82c35ffffffffff,5.0,0.0,0.0
82c367fffffffff,85.0,0.0,0.0
82c36ffffffffff,7.0,0.0,0.0
82c377fffffffff,134.0,0.0,0.0
82ce87fffffffff,145.0,0.0,0.0
82ce8ffffffffff,373.0,0.0,0.0
82ce97fffffffff,738.0,0.0,0.0
82ce9ffffffffff,316.0,0.0,0.0
82cea7fffffffff,30.0,0.0,0.0
82ceaffffffffff,162.0,0.0,0.0
82cf87fffffffff,5.0,0.0,0.0
82cf8ffffffffff,13.0,0.0,0.0
82cf9ffffffffff,50.0,0.0,0.0
82cfa7fffffffff,9.0,0.0,0.0
82cfaffffffffff,2.0,0.0,0.0
