cell_id,Hylocitrea bonensis,Hylocitrea bonensis bonensis,Hylocitrea bonensis bonthaina
8368cafffffffff,1.0,0.0,0.0
8368d0fffffffff,1.0,0.0,0.0
8368d2fffffffff,163.0,37.0,0.0
839500fffffffff,3.0,0.0,2.0
839528fffffffff,1.0,0.0,0.0
