cell_id,Cinnyris shelleyi,Cinnyris shelleyi shelleyi,Cinnyris shelleyi hofmanni
847b4dbffffffff,2.0,0.0,0.0
8496009ffffffff,2.0,0.0,0.0
849601dffffffff,1.0,0.0,0.0
849604bffffffff,1.0,0.0,0.0
8496065ffffffff,2.0,0.0,0.0
849606dffffffff,1.0,0.0,0.0
84960edffffffff,2.0,1.0,0.0
8496141ffffffff,2.0,0.0,0.0
8496207ffffffff,1.0,0.0,0.0
8496215ffffffff,1.0,1.0,0.0
8496233ffffffff,1.0,0.0,0.0
849623bffffffff,1.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0
84962c9ffffffff,35.0,12.0,0.0
84962d5ffffffff,1.0,0.0,0.0
84962e5ffffffff,5.0,0.0,0.0
8496335ffffffff,1.0,0.0,0.0
8496365ffffffff,14.0,6.0,0.0
8496a53ffffffff,1.0,0.0,0.0
8496a59ffffffff,5.0,0.0,0.0
8496a5dffffffff,1.0,0.0,0.0
8496aebffffffff,2.0,2.0,0.0
8496b0dffffffff,1.0,0.0,0.0
8496b2dffffffff,4.0,0.0,4.0
8496b53ffffffff,3.0,0.0,3.0
8496b63ffffffff,43.0,4.0,20.0
84974b9ffffffff,1.0,0.0,0.0
8497515ffffffff,2.0,1.0,0.0
8497517ffffffff,1.0,1.0,0.0
8497535ffffffff,4.0,3.0,0.0
849753bffffffff,1.0,1.0,0.0
84975e1ffffffff,1.0,0.0,0.0
8497885ffffffff,7.0,6.0,0.0
8497913ffffffff,2.0,0.0,0.0
8497983ffffffff,1.0,0.0,0.0
8497a85ffffffff,1.0,1.0,0.0
8497aa3ffffffff,1.0,0.0,0.0
