cell_id,Agelasticus cyanopus,Agelasticus cyanopus atroolivaceus/unicolor,Agelasticus cyanopus cyanopus
82806ffffffffff,14.0,0.0,0.0
828107fffffffff,6.0,0.0,0.0
828117fffffffff,2.0,0.0,0.0
82812ffffffffff,2.0,0.0,0.0
828167fffffffff,9.0,0.0,0.0
828b07fffffffff,12.0,0.0,0.0
828b0ffffffffff,174.0,0.0,0.0
828b17fffffffff,13.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,26.0,0.0,0.0
828b2ffffffffff,121.0,0.0,0.0
828b37fffffffff,31.0,0.0,0.0
828b77fffffffff,20.0,0.0,0.0
828b9ffffffffff,2.0,0.0,0.0
828ba7fffffffff,7.0,0.0,0.0
828bb7fffffffff,4.0,0.0,0.0
82a807fffffffff,11.0,0.0,0.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,327.0,0.0,0.0
82a81ffffffffff,117.0,0.0,0.0
82a82ffffffffff,1.0,0.0,0.0
82a837fffffffff,23.0,0.0,0.0
82a847fffffffff,367.0,0.0,24.0
82a84ffffffffff,14.0,0.0,0.0
82a85ffffffffff,2367.0,0.0,93.0
82a867fffffffff,20.0,0.0,0.0
82a86ffffffffff,20.0,0.0,0.0
82a877fffffffff,28.0,0.0,2.0
82a887fffffffff,2.0,0.0,0.0
82a897fffffffff,13.0,0.0,0.0
82a8a7fffffffff,154.0,0.0,0.0
82a8affffffffff,12.0,0.0,0.0
82a8b7fffffffff,5.0,0.0,0.0
82a8d7fffffffff,3.0,0.0,0.0
82a947fffffffff,1843.0,0.0,0.0
82a94ffffffffff,1641.0,0.0,0.0
82a957fffffffff,13.0,0.0,0.0
82a95ffffffffff,235.0,0.0,0.0
82a967fffffffff,774.0,0.0,0.0
82a96ffffffffff,837.0,0.0,0.0
82a977fffffffff,148.0,0.0,0.0
82b24ffffffffff,117.0,0.0,0.0
82b267fffffffff,17.0,0.0,0.0
82b26ffffffffff,160.0,0.0,0.0
82b277fffffffff,6.0,0.0,0.0
82b327fffffffff,1.0,0.0,0.0
82b347fffffffff,118.0,0.0,0.0
82b34ffffffffff,60.0,0.0,0.0
82b357fffffffff,16.0,0.0,0.0
82b35ffffffffff,44.0,0.0,0.0
82b367fffffffff,11.0,0.0,0.0
82b36ffffffffff,27.0,0.0,0.0
82c207fffffffff,2.0,0.0,0.0
82c21ffffffffff,13.0,0.0,0.0
82c2c7fffffffff,281.0,0.0,0.0
82c2cffffffffff,314.0,0.0,0.0
82c2e7fffffffff,251.0,0.0,0.0
82c2effffffffff,192.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0
82c35ffffffffff,2.0,0.0,0.0
