cell_id,Campethera abingoni,Campethera abingoni chrysura,Campethera abingoni [abingoni Group]
84541a3ffffffff,4.0,0.0,0.0
8454a93ffffffff,3.0,0.0,0.0
8454a9bffffffff,16.0,0.0,0.0
8454f4dffffffff,3.0,0.0,0.0
8458969ffffffff,2.0,0.0,0.0
8458cd9ffffffff,1.0,0.0,0.0
846ac35ffffffff,2.0,0.0,0.0
846ace5ffffffff,7.0,0.0,0.0
846ad81ffffffff,1.0,0.0,0.0
846ad8bffffffff,4.0,0.0,0.0
846ad8dffffffff,2.0,0.0,0.0
846adc1ffffffff,3.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846add7ffffffff,4.0,0.0,0.0
8475201ffffffff,19.0,0.0,0.0
8475207ffffffff,22.0,2.0,0.0
847520bffffffff,1.0,0.0,0.0
847a653ffffffff,3.0,0.0,0.0
847a681ffffffff,1.0,0.0,0.0
847a683ffffffff,22.0,0.0,0.0
847a689ffffffff,1.0,0.0,0.0
847a68bffffffff,5.0,0.0,0.0
847a695ffffffff,2.0,0.0,0.0
847a69dffffffff,4.0,0.0,0.0
847a6d1ffffffff,10.0,0.0,0.0
847a6d9ffffffff,2.0,0.0,0.0
847b487ffffffff,7.0,0.0,0.0
847b489ffffffff,1.0,0.0,0.0
847b49bffffffff,2.0,0.0,0.0
847b4b9ffffffff,2.0,0.0,0.0
847b4cbffffffff,2.0,0.0,0.0
847b4dbffffffff,3.0,0.0,0.0
847b689ffffffff,2.0,0.0,0.0
847b6bbffffffff,6.0,0.0,0.0
848304dffffffff,4.0,0.0,1.0
8483117ffffffff,2.0,0.0,1.0
8483125ffffffff,3.0,0.0,3.0
84831e5ffffffff,2.0,0.0,0.0
84831e7ffffffff,3.0,0.0,0.0
84831ebffffffff,1.0,0.0,0.0
848320dffffffff,2.0,0.0,0.0
8496003ffffffff,1.0,0.0,0.0
8496009ffffffff,5.0,0.0,0.0
8496015ffffffff,4.0,0.0,0.0
849602dffffffff,2.0,0.0,0.0
8496039ffffffff,2.0,0.0,1.0
8496047ffffffff,4.0,0.0,0.0
8496093ffffffff,1.0,0.0,0.0
84960e7ffffffff,2.0,0.0,0.0
8496149ffffffff,2.0,0.0,0.0
849615dffffffff,2.0,0.0,0.0
84961c7ffffffff,1.0,0.0,0.0
8496201ffffffff,8.0,0.0,0.0
8496207ffffffff,14.0,0.0,3.0
8496215ffffffff,2.0,0.0,0.0
8496219ffffffff,2.0,0.0,0.0
849622bffffffff,4.0,0.0,0.0
849622dffffffff,2.0,0.0,0.0
8496233ffffffff,3.0,0.0,0.0
8496239ffffffff,3.0,0.0,0.0
849623bffffffff,6.0,0.0,0.0
8496263ffffffff,12.0,0.0,0.0
8496283ffffffff,6.0,0.0,0.0
849628bffffffff,6.0,0.0,0.0
84962b9ffffffff,6.0,0.0,0.0
84962c9ffffffff,23.0,0.0,3.0
84962d7ffffffff,4.0,0.0,4.0
84962d9ffffffff,1.0,0.0,1.0
84962e5ffffffff,9.0,0.0,5.0
8496331ffffffff,1.0,0.0,0.0
8496335ffffffff,25.0,0.0,3.0
8496365ffffffff,9.0,0.0,0.0
8496727ffffffff,2.0,0.0,1.0
849673bffffffff,1.0,0.0,0.0
8496757ffffffff,2.0,0.0,0.0
8496849ffffffff,1.0,0.0,0.0
84968c9ffffffff,1.0,0.0,0.0
8496907ffffffff,15.0,0.0,0.0
8496921ffffffff,13.0,0.0,0.0
8496925ffffffff,68.0,0.0,0.0
849692bffffffff,3.0,0.0,0.0
8496933ffffffff,2.0,0.0,0.0
8496935ffffffff,7.0,0.0,0.0
849693dffffffff,6.0,0.0,0.0
84969a5ffffffff,2.0,0.0,0.0
8496a01ffffffff,2.0,0.0,0.0
8496a27ffffffff,2.0,0.0,0.0
8496a59ffffffff,9.0,0.0,0.0
8496a5dffffffff,1.0,0.0,0.0
8496b09ffffffff,2.0,0.0,0.0
8496b0dffffffff,3.0,0.0,0.0
8496b13ffffffff,2.0,0.0,0.0
8496b19ffffffff,2.0,0.0,0.0
8496b1bffffffff,1.0,0.0,0.0
8496b2bffffffff,1.0,0.0,0.0
8496b47ffffffff,8.0,0.0,0.0
8496b63ffffffff,6.0,0.0,0.0
8496b69ffffffff,3.0,0.0,0.0
8496b6dffffffff,6.0,0.0,0.0
8497015ffffffff,1.0,0.0,0.0
849702bffffffff,13.0,0.0,0.0
8497035ffffffff,24.0,0.0,5.0
849703dffffffff,15.0,0.0,0.0
8497051ffffffff,4.0,0.0,0.0
8497069ffffffff,2.0,0.0,0.0
8497081ffffffff,2.0,0.0,0.0
84970a7ffffffff,2.0,0.0,0.0
84970abffffffff,2.0,0.0,0.0
84970c5ffffffff,2.0,0.0,0.0
8497101ffffffff,4.0,0.0,0.0
8497103ffffffff,33.0,0.0,0.0
8497107ffffffff,21.0,0.0,0.0
8497113ffffffff,2.0,0.0,0.0
8497119ffffffff,114.0,0.0,0.0
849711bffffffff,2.0,0.0,0.0
849711dffffffff,14.0,0.0,0.0
8497131ffffffff,1.0,0.0,0.0
8497139ffffffff,5.0,0.0,0.0
8497153ffffffff,3.0,0.0,0.0
8497199ffffffff,37.0,0.0,0.0
849719bffffffff,3.0,0.0,0.0
84971b9ffffffff,2.0,0.0,0.0
84971c1ffffffff,14.0,0.0,2.0
84971cbffffffff,5.0,0.0,3.0
84971d7ffffffff,3.0,0.0,0.0
849721bffffffff,2.0,0.0,0.0
8497245ffffffff,5.0,0.0,0.0
8497253ffffffff,2.0,0.0,0.0
8497289ffffffff,3.0,0.0,2.0
849728bffffffff,2.0,0.0,0.0
849728dffffffff,33.0,0.0,8.0
8497291ffffffff,22.0,0.0,0.0
8497295ffffffff,1.0,0.0,0.0
8497297ffffffff,1.0,0.0,0.0
849729bffffffff,1.0,0.0,0.0
84972a5ffffffff,2.0,0.0,0.0
84972c5ffffffff,25.0,0.0,8.0
84972c9ffffffff,11.0,0.0,0.0
84972cbffffffff,2.0,0.0,0.0
84972cdffffffff,25.0,0.0,7.0
84972d5ffffffff,6.0,0.0,2.0
84972d7ffffffff,2.0,0.0,0.0
84972d9ffffffff,8.0,0.0,0.0
84972dbffffffff,2.0,0.0,0.0
84972e3ffffffff,103.0,0.0,24.0
84972ebffffffff,9.0,0.0,0.0
8497311ffffffff,2.0,0.0,0.0
8497313ffffffff,2.0,0.0,0.0
8497357ffffffff,3.0,0.0,0.0
