cell_id,Icterus graduacauda,Icterus graduacauda graduacauda/audubonii,Icterus graduacauda dickeyae/nayaritensis
84456dbffffffff,2.0,0.0,0.0
8448361ffffffff,211.0,0.0,76.0
8448365ffffffff,3.0,0.0,0.0
8448367ffffffff,10.0,0.0,0.0
844836dffffffff,87.0,0.0,31.0
8448803ffffffff,13.0,0.0,0.0
8448805ffffffff,49.0,0.0,0.0
8448807ffffffff,2.0,0.0,0.0
844880dffffffff,767.0,0.0,0.0
8448821ffffffff,4.0,0.0,0.0
8448823ffffffff,15.0,0.0,0.0
8448825ffffffff,391.0,0.0,0.0
8448827ffffffff,27.0,0.0,0.0
8448829ffffffff,13.0,0.0,0.0
844882bffffffff,73.0,0.0,0.0
844882dffffffff,227.0,0.0,0.0
8448831ffffffff,105.0,0.0,0.0
8448833ffffffff,9.0,0.0,0.0
8448835ffffffff,10.0,0.0,0.0
8448837ffffffff,13.0,0.0,0.0
8448839ffffffff,5.0,0.0,0.0
844883dffffffff,8.0,0.0,0.0
8448849ffffffff,8.0,0.0,0.0
844884bffffffff,10.0,0.0,0.0
844884dffffffff,34.0,4.0,0.0
8448855ffffffff,5.0,0.0,0.0
8448861ffffffff,24.0,0.0,0.0
8448863ffffffff,19.0,0.0,0.0
8448865ffffffff,2.0,0.0,0.0
8448867ffffffff,17.0,0.0,0.0
8448869ffffffff,45.0,0.0,0.0
844886bffffffff,326.0,0.0,0.0
844886dffffffff,4.0,0.0,0.0
8448911ffffffff,33.0,0.0,0.0
8448919ffffffff,47.0,0.0,0.0
844891bffffffff,41.0,0.0,0.0
844891dffffffff,32.0,0.0,0.0
8448951ffffffff,4.0,0.0,0.0
8448953ffffffff,71.0,0.0,0.0
8448957ffffffff,27.0,0.0,0.0
8448959ffffffff,267.0,0.0,0.0
844895bffffffff,52.0,0.0,0.0
84489c1ffffffff,181.0,0.0,0.0
84489c3ffffffff,8.0,0.0,0.0
84489c9ffffffff,77.0,0.0,0.0
84489cbffffffff,48.0,0.0,0.0
84489cdffffffff,4.0,0.0,0.0
84489d9ffffffff,70.0,0.0,0.0
84489ddffffffff,33.0,0.0,0.0
8448a05ffffffff,1.0,0.0,0.0
8448a21ffffffff,1236.0,31.0,0.0
8448a23ffffffff,1.0,0.0,0.0
8448a25ffffffff,2.0,0.0,0.0
8448a27ffffffff,31.0,0.0,0.0
8448a29ffffffff,199.0,3.0,0.0
8448a2bffffffff,45.0,0.0,0.0
8448a2dffffffff,95.0,5.0,0.0
8448a39ffffffff,2.0,0.0,0.0
8448a67ffffffff,14.0,0.0,0.0
8448a6dffffffff,6.0,0.0,0.0
8448ab5ffffffff,2.0,0.0,0.0
8448b13ffffffff,3174.0,128.0,0.0
8448b15ffffffff,5.0,5.0,0.0
8448b17ffffffff,234.0,18.0,0.0
8448b1dffffffff,10.0,8.0,0.0
8448b31ffffffff,15.0,0.0,0.0
8448b33ffffffff,7.0,0.0,0.0
8448b37ffffffff,691.0,0.0,0.0
8448b3bffffffff,20.0,0.0,0.0
8448b51ffffffff,5.0,0.0,0.0
8448b5bffffffff,117.0,4.0,0.0
8449827ffffffff,7.0,0.0,0.0
8449829ffffffff,1.0,0.0,0.0
8449835ffffffff,10.0,0.0,0.0
844983dffffffff,2.0,0.0,0.0
84498d9ffffffff,1.0,0.0,0.0
84498dbffffffff,4.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0
8449903ffffffff,22.0,0.0,0.0
8449905ffffffff,2.0,0.0,0.0
8449907ffffffff,6.0,0.0,0.0
8449909ffffffff,3.0,0.0,0.0
8449911ffffffff,7.0,0.0,0.0
8449913ffffffff,12.0,0.0,0.0
8449917ffffffff,10.0,0.0,0.0
844991dffffffff,21.0,0.0,0.0
8449929ffffffff,3.0,0.0,0.0
844992bffffffff,3.0,0.0,0.0
844993bffffffff,7.0,7.0,0.0
8449945ffffffff,5.0,0.0,0.0
8449957ffffffff,1.0,0.0,0.0
8449961ffffffff,254.0,49.0,0.0
8449963ffffffff,896.0,548.0,0.0
8449965ffffffff,17.0,3.0,0.0
8449967ffffffff,105.0,4.0,0.0
8449969ffffffff,193.0,0.0,0.0
844996bffffffff,12.0,0.0,0.0
844996dffffffff,5.0,0.0,0.0
8449981ffffffff,57.0,10.0,0.0
8449983ffffffff,2.0,0.0,0.0
8449985ffffffff,2.0,0.0,0.0
8449987ffffffff,320.0,32.0,0.0
844998dffffffff,5.0,2.0,0.0
84499a3ffffffff,2.0,2.0,0.0
84499b1ffffffff,26.0,2.0,0.0
84499b3ffffffff,6.0,0.0,0.0
84499b5ffffffff,5.0,1.0,0.0
84499b7ffffffff,4.0,0.0,0.0
84499b9ffffffff,1.0,1.0,0.0
84499bbffffffff,9.0,0.0,0.0
84499bdffffffff,3.0,1.0,0.0
84499c1ffffffff,6.0,0.0,0.0
84499c5ffffffff,60.0,10.0,0.0
84499c7ffffffff,5.0,0.0,0.0
84499c9ffffffff,15.0,0.0,0.0
84499cdffffffff,61.0,3.0,0.0
84499d1ffffffff,8.0,0.0,0.0
84499d5ffffffff,8.0,0.0,0.0
84499ddffffffff,4.0,2.0,0.0
84499e3ffffffff,57.0,0.0,0.0
84499e9ffffffff,1.0,0.0,0.0
84499ebffffffff,11.0,2.0,0.0
84499edffffffff,1.0,0.0,0.0
8449a81ffffffff,84.0,0.0,2.0
8449a83ffffffff,4.0,0.0,0.0
8449a85ffffffff,37.0,0.0,19.0
8449a8dffffffff,1.0,0.0,0.0
8449a91ffffffff,15.0,0.0,0.0
8449a95ffffffff,3.0,0.0,0.0
8449a97ffffffff,13.0,0.0,11.0
8449aa9ffffffff,5.0,0.0,5.0
8449aabffffffff,2.0,0.0,0.0
8449b03ffffffff,3.0,0.0,3.0
8449b0bffffffff,2.0,0.0,0.0
8449b19ffffffff,37.0,0.0,24.0
8449b1dffffffff,9.0,0.0,6.0
8449b2dffffffff,2.0,0.0,0.0
8449b3dffffffff,1.0,0.0,0.0
8449b53ffffffff,27.0,0.0,16.0
8449b57ffffffff,53.0,0.0,26.0
8449b65ffffffff,2.0,0.0,0.0
8449b67ffffffff,4.0,0.0,0.0
846d141ffffffff,2.0,0.0,0.0
846d14bffffffff,3.0,0.0,0.0
846d159ffffffff,2.0,0.0,0.0
846d303ffffffff,13.0,0.0,0.0
846d305ffffffff,126.0,0.0,18.0
846d307ffffffff,8.0,0.0,0.0
846d30dffffffff,2.0,0.0,0.0
846d321ffffffff,1.0,0.0,0.0
846d325ffffffff,3.0,0.0,0.0
846d32bffffffff,358.0,0.0,171.0
846d333ffffffff,4.0,0.0,3.0
846d335ffffffff,49.0,0.0,35.0
846d337ffffffff,535.0,0.0,325.0
846d339ffffffff,2.0,0.0,0.0
846d33dffffffff,9.0,0.0,8.0
846d361ffffffff,4.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0
846d369ffffffff,1.0,0.0,0.0
846d36dffffffff,33.0,1.0,0.0
