cell_id,Tauraco persa,Tauraco persa buffoni,Tauraco persa persa/zenkeri
8454195ffffffff,2.0,0.0,0.0
84541b5ffffffff,1.0,0.0,0.0
8454a93ffffffff,79.0,1.0,0.0
8454a9bffffffff,88.0,6.0,0.0
8454cc3ffffffff,1.0,0.0,0.0
8454e05ffffffff,1.0,0.0,0.0
8454e21ffffffff,7.0,0.0,0.0
8454e25ffffffff,9.0,0.0,0.0
8454e27ffffffff,1.0,0.0,0.0
8454e51ffffffff,26.0,2.0,0.0
8454e5dffffffff,2.0,0.0,0.0
8454e8bffffffff,12.0,0.0,0.0
8454e9bffffffff,1.0,0.0,0.0
8454eb7ffffffff,1.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f19ffffffff,2.0,0.0,0.0
8454f1bffffffff,26.0,0.0,0.0
8454f43ffffffff,2.0,0.0,0.0
8454f45ffffffff,1.0,0.0,0.0
8454f47ffffffff,15.0,8.0,0.0
8454f4dffffffff,30.0,2.0,0.0
8454f51ffffffff,17.0,0.0,0.0
8454f57ffffffff,1.0,0.0,0.0
8458839ffffffff,4.0,0.0,0.0
8458861ffffffff,1.0,0.0,0.0
8458883ffffffff,3.0,0.0,0.0
845889dffffffff,1.0,0.0,0.0
8458909ffffffff,2.0,0.0,0.0
8458949ffffffff,2.0,0.0,0.0
845894bffffffff,3.0,0.0,0.0
845894dffffffff,3.0,0.0,0.0
8458957ffffffff,1.0,0.0,0.0
845895bffffffff,1.0,0.0,0.0
8458969ffffffff,45.0,0.0,4.0
84589c9ffffffff,1.0,0.0,0.0
8458b1dffffffff,2.0,0.0,0.0
8458b27ffffffff,2.0,0.0,0.0
8458b35ffffffff,1.0,0.0,0.0
8458b57ffffffff,2.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0
8458d13ffffffff,5.0,0.0,0.0
8458d1dffffffff,5.0,0.0,0.0
8458d23ffffffff,2.0,0.0,0.0
8458d33ffffffff,1.0,0.0,0.0
8458db5ffffffff,2.0,0.0,0.0
8458dcdffffffff,1.0,0.0,0.0
8458de3ffffffff,3.0,0.0,0.0
8458debffffffff,13.0,0.0,0.0
8458e2dffffffff,6.0,0.0,0.0
8475069ffffffff,2.0,0.0,0.0
8475085ffffffff,2.0,0.0,0.0
84750d1ffffffff,134.0,0.0,22.0
84750d3ffffffff,44.0,0.0,13.0
84750d7ffffffff,1.0,0.0,0.0
84750dbffffffff,10.0,0.0,2.0
84750ddffffffff,1.0,0.0,0.0
8475131ffffffff,1.0,0.0,0.0
8475195ffffffff,2.0,0.0,0.0
847520bffffffff,1.0,0.0,0.0
8475233ffffffff,1.0,0.0,0.0
8475293ffffffff,36.0,0.0,5.0
8475295ffffffff,5.0,0.0,2.0
8475299ffffffff,9.0,0.0,5.0
847529bffffffff,72.0,0.0,16.0
84752abffffffff,4.0,0.0,1.0
84752adffffffff,24.0,0.0,2.0
84752b5ffffffff,1.0,0.0,0.0
84752d3ffffffff,39.0,0.0,4.0
84752dbffffffff,14.0,0.0,0.0
84752e9ffffffff,2.0,0.0,0.0
8475313ffffffff,1.0,0.0,0.0
8475761ffffffff,40.0,0.0,11.0
8475765ffffffff,1.0,0.0,1.0
8475769ffffffff,16.0,0.0,2.0
8475861ffffffff,1.0,0.0,0.0
8475a07ffffffff,12.0,0.0,0.0
8475a57ffffffff,2.0,0.0,0.0
8475b07ffffffff,1.0,0.0,0.0
8482125ffffffff,11.0,0.0,0.0
8482823ffffffff,1.0,0.0,0.0
8482841ffffffff,1.0,0.0,1.0
848284dffffffff,2.0,0.0,0.0
8482853ffffffff,2.0,0.0,2.0
8482883ffffffff,2.0,0.0,0.0
84828b5ffffffff,6.0,0.0,0.0
84828d1ffffffff,12.0,0.0,3.0
84828e5ffffffff,1.0,0.0,0.0
848290bffffffff,7.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8482a1dffffffff,1.0,0.0,1.0
8482a31ffffffff,3.0,0.0,0.0
8482a37ffffffff,9.0,0.0,0.0
8482a55ffffffff,3.0,0.0,2.0
8482a81ffffffff,16.0,0.0,4.0
8482a9bffffffff,1.0,0.0,0.0
8482aadffffffff,1.0,0.0,1.0
8482ab3ffffffff,13.0,0.0,2.0
8482ab7ffffffff,19.0,0.0,0.0
8482b0bffffffff,1.0,0.0,0.0
8482d07ffffffff,3.0,0.0,0.0
8482d27ffffffff,9.0,0.0,0.0
8482d3dffffffff,2.0,0.0,0.0
8482d61ffffffff,1.0,0.0,0.0
848313dffffffff,3.0,0.0,1.0
84838a5ffffffff,1.0,0.0,1.0
8483a89ffffffff,6.0,0.0,0.0
8483ac3ffffffff,7.0,0.0,0.0
8483ac7ffffffff,1.0,0.0,0.0
