cell_id,Cinnyris oustaleti,Cinnyris oustaleti oustaleti,Cinnyris oustaleti rhodesiae
838315fffffffff,1.0,1.0,0.0
838320fffffffff,1.0,0.0,0.0
838326fffffffff,30.0,15.0,0.0
838330fffffffff,5.0,4.0,0.0
838332fffffffff,6.0,5.0,0.0
838333fffffffff,46.0,24.0,0.0
839612fffffffff,3.0,0.0,0.0
839613fffffffff,4.0,0.0,0.0
8396a8fffffffff,2.0,0.0,0.0
8396acfffffffff,7.0,0.0,3.0
83ac99fffffffff,1.0,1.0,0.0
