cell_id,Anser albifrons,Anser albifrons flavirostris,Anser albifrons albifrons,Anser albifrons gambelli/sponsa,Anser albifrons elgasi
840130bffffffff,5.0,0.0,5.0,0.0,0.0
8402cadffffffff,5.0,0.0,0.0,0.0,0.0
8407419ffffffff,8.0,0.0,0.0,0.0,0.0
8407431ffffffff,1.0,1.0,0.0,0.0,0.0
8407457ffffffff,4.0,2.0,0.0,0.0,0.0
84074edffffffff,1.0,1.0,0.0,0.0,0.0
8407519ffffffff,2.0,0.0,2.0,0.0,0.0
84075cbffffffff,4.0,2.0,0.0,0.0,0.0
8407715ffffffff,4.0,0.0,4.0,0.0,0.0
8407733ffffffff,2.0,0.0,2.0,0.0,0.0
84088a9ffffffff,2.0,0.0,2.0,0.0,0.0
8408985ffffffff,1.0,0.0,0.0,0.0,0.0
84089a1ffffffff,1.0,0.0,0.0,0.0,0.0
84089a9ffffffff,7.0,0.0,4.0,0.0,0.0
84089e3ffffffff,11.0,0.0,0.0,0.0,0.0
84089ebffffffff,2.0,0.0,0.0,0.0,0.0
8409821ffffffff,2.0,0.0,0.0,0.0,0.0
840c033ffffffff,2.0,0.0,0.0,0.0,0.0
840c03bffffffff,4.0,0.0,0.0,0.0,0.0
840c141ffffffff,2.0,0.0,0.0,0.0,0.0
840c143ffffffff,5.0,0.0,0.0,0.0,0.0
840c147ffffffff,1.0,0.0,0.0,0.0,0.0
840c149ffffffff,2.0,0.0,0.0,2.0,0.0
840c415ffffffff,11.0,0.0,0.0,0.0,0.0
840c42dffffffff,3.0,0.0,0.0,0.0,3.0
840c447ffffffff,2.0,0.0,0.0,0.0,0.0
840c455ffffffff,1.0,0.0,0.0,0.0,0.0
840c461ffffffff,4.0,0.0,0.0,0.0,0.0
840c465ffffffff,15.0,0.0,0.0,0.0,0.0
840c46dffffffff,2.0,0.0,0.0,0.0,0.0
840c503ffffffff,7.0,0.0,0.0,0.0,0.0
840c515ffffffff,2.0,0.0,0.0,0.0,0.0
840c51dffffffff,13.0,0.0,0.0,0.0,0.0
840c527ffffffff,4.0,0.0,0.0,0.0,0.0
840c54bffffffff,12.0,0.0,0.0,0.0,2.0
840c551ffffffff,1.0,0.0,0.0,0.0,1.0
840c555ffffffff,32.0,0.0,0.0,2.0,1.0
840c55dffffffff,1.0,0.0,0.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,38.0,0.0,0.0,0.0,0.0
840c5a7ffffffff,9.0,0.0,0.0,0.0,0.0
840c5adffffffff,3.0,0.0,0.0,0.0,0.0
840c707ffffffff,1.0,0.0,0.0,0.0,0.0
840c71bffffffff,2.0,0.0,0.0,0.0,0.0
840c731ffffffff,5.0,0.0,0.0,0.0,0.0
840c733ffffffff,53.0,0.0,0.0,0.0,0.0
840c735ffffffff,30.0,0.0,0.0,0.0,2.0
840c73bffffffff,9.0,0.0,0.0,0.0,2.0
840ca43ffffffff,30.0,0.0,0.0,0.0,0.0
840ca55ffffffff,1.0,0.0,0.0,0.0,0.0
840ca99ffffffff,1.0,0.0,0.0,0.0,0.0
840cd8dffffffff,4.0,0.0,0.0,0.0,0.0
840ce3dffffffff,3.0,0.0,0.0,0.0,0.0
840ce97ffffffff,2.0,0.0,0.0,0.0,0.0
840cee5ffffffff,6.0,0.0,0.0,0.0,0.0
840cf45ffffffff,2.0,0.0,0.0,0.0,0.0
840d039ffffffff,16.0,0.0,0.0,0.0,0.0
840d093ffffffff,5.0,0.0,0.0,5.0,0.0
840d099ffffffff,2.0,0.0,0.0,2.0,0.0
840d0c3ffffffff,2.0,0.0,0.0,0.0,0.0
840d0d1ffffffff,1.0,0.0,0.0,0.0,0.0
