cell_id,Myrmotherula iheringi,Myrmotherula iheringi heteroptera,Myrmotherula iheringi iheringi,Myrmotherula iheringi oreni
848a00bffffffff,3.0,3.0,0.0,0.0
848a01dffffffff,1.0,1.0,0.0,0.0
848a1a7ffffffff,2.0,2.0,0.0,0.0
848a809ffffffff,1.0,0.0,1.0,0.0
848b401ffffffff,1.0,0.0,0.0,1.0
848b405ffffffff,1.0,0.0,0.0,0.0
848b46bffffffff,1.0,0.0,0.0,0.0
848b51dffffffff,1.0,0.0,0.0,1.0
848b5cdffffffff,8.0,0.0,0.0,8.0
848b617ffffffff,1.0,0.0,0.0,0.0
848b6d5ffffffff,1.0,0.0,0.0,0.0
848f6b5ffffffff,3.0,3.0,0.0,0.0
