cell_id,Pteruthius aeralatus,Pteruthius aeralatus ripleyi,Pteruthius aeralatus validirostris,Pteruthius aeralatus ricketti,Pteruthius aeralatus [aeralatus Group],Pteruthius aeralatus annamensis
823c07fffffffff,16.0,16.0,0.0,0.0,0.0,0.0
823c0ffffffffff,29.0,25.0,0.0,0.0,0.0,0.0
823c1ffffffffff,47.0,34.0,3.0,0.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,17.0,0.0,17.0,0.0,0.0,0.0
823ce7fffffffff,14.0,0.0,2.0,0.0,0.0,0.0
823ceffffffffff,3.0,0.0,1.0,0.0,0.0,0.0
823d17fffffffff,2.0,1.0,0.0,0.0,0.0,0.0
823d37fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
823daffffffffff,26.0,21.0,0.0,0.0,0.0,0.0
82404ffffffffff,10.0,0.0,0.0,0.0,10.0,0.0
824057fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8240effffffffff,2.0,0.0,0.0,2.0,0.0,0.0
82415ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0
824167fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
824177fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
8241b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826417fffffffff,3.0,0.0,0.0,0.0,3.0,0.0
826437fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
826497fffffffff,4.0,0.0,0.0,0.0,3.0,0.0
826507fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82651ffffffffff,16.0,0.0,0.0,0.0,12.0,0.0
826587fffffffff,5.0,0.0,0.0,0.0,5.0,0.0
8265b7fffffffff,5.0,0.0,0.0,0.0,0.0,2.0
