cell_id,Campylopterus largipennis,Campylopterus largipennis largipennis,Campylopterus largipennis obscurus
835f00fffffffff,3.0,0.0,0.0
835f01fffffffff,5.0,0.0,0.0
835f02fffffffff,3.0,0.0,0.0
835f03fffffffff,156.0,0.0,0.0
835f08fffffffff,3.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0
835f0dfffffffff,5.0,0.0,0.0
835f10fffffffff,24.0,0.0,0.0
835f11fffffffff,4.0,0.0,0.0
835f12fffffffff,36.0,0.0,0.0
835f13fffffffff,10.0,0.0,0.0
835f14fffffffff,30.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f16fffffffff,3.0,0.0,0.0
835f1cfffffffff,11.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0
835f2bfffffffff,318.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,12.0,0.0,0.0
835f41fffffffff,3.0,0.0,0.0
835f42fffffffff,20.0,0.0,0.0
835f54fffffffff,14.0,0.0,0.0
835f68fffffffff,4.0,0.0,0.0
835f71fffffffff,42.0,0.0,0.0
835f75fffffffff,30.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0
836641fffffffff,34.0,0.0,2.0
836648fffffffff,5.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
836650fffffffff,1.0,0.0,0.0
836652fffffffff,5.0,0.0,0.0
836656fffffffff,7.0,0.0,0.0
83665afffffffff,161.0,0.0,0.0
83665bfffffffff,74.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
83666efffffffff,1.0,0.0,0.0
8366c0fffffffff,20.0,0.0,0.0
8366c2fffffffff,44.0,0.0,0.0
8366c5fffffffff,26.0,0.0,0.0
8366c6fffffffff,4.0,0.0,0.0
8366cefffffffff,11.0,0.0,0.0
8366d1fffffffff,373.0,0.0,0.0
8366d8fffffffff,31.0,0.0,0.0
8366dafffffffff,60.0,0.0,0.0
8366dbfffffffff,1.0,0.0,0.0
8366dcfffffffff,61.0,0.0,0.0
8366ddfffffffff,35.0,0.0,3.0
8366defffffffff,260.0,0.0,5.0
8366e0fffffffff,5.0,0.0,0.0
8366e1fffffffff,3.0,0.0,0.0
8366e3fffffffff,19.0,0.0,0.0
8366e5fffffffff,11.0,0.0,0.0
8366eafffffffff,9.0,0.0,0.0
8366ecfffffffff,22.0,0.0,0.0
8366eefffffffff,19.0,0.0,0.0
838044fffffffff,3.0,0.0,0.0
838046fffffffff,208.0,0.0,81.0
838061fffffffff,1.0,0.0,1.0
838062fffffffff,2.0,0.0,2.0
838065fffffffff,8.0,0.0,0.0
838066fffffffff,5.0,0.0,2.0
838068fffffffff,1.0,0.0,0.0
83806bfffffffff,24.0,0.0,0.0
838071fffffffff,1.0,0.0,0.0
838073fffffffff,3.0,0.0,0.0
838074fffffffff,8.0,0.0,0.0
