cell_id,Sturnella magna,Sturnella magna hippocrepis,Sturnella magna [magna Group]
830e49fffffffff,6.0,0.0,0.0
830e4dfffffffff,2.0,0.0,0.0
830ec9fffffffff,2.0,0.0,0.0
830ecafffffffff,2.0,0.0,0.0
831aa0fffffffff,4.0,0.0,0.0
831aa3fffffffff,4.0,0.0,0.0
832601fffffffff,17.0,0.0,0.0
832608fffffffff,2.0,0.0,0.0
832609fffffffff,15.0,0.0,0.0
83260afffffffff,46.0,0.0,28.0
83260bfffffffff,9.0,0.0,2.0
83260cfffffffff,6.0,0.0,0.0
83260dfffffffff,15.0,0.0,0.0
83260efffffffff,5.0,0.0,0.0
832610fffffffff,26.0,0.0,0.0
832611fffffffff,15.0,0.0,0.0
832612fffffffff,15.0,0.0,0.0
832618fffffffff,20.0,0.0,0.0
83261bfffffffff,9.0,0.0,0.0
832624fffffffff,5.0,0.0,0.0
832625fffffffff,1.0,0.0,0.0
832626fffffffff,6.0,0.0,0.0
832628fffffffff,2.0,0.0,0.0
83262bfffffffff,41.0,0.0,0.0
83262cfffffffff,5.0,0.0,0.0
83262dfffffffff,1.0,0.0,0.0
832640fffffffff,3.0,0.0,0.0
832641fffffffff,4.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0
832644fffffffff,4.0,0.0,0.0
832645fffffffff,9.0,0.0,0.0
832646fffffffff,38.0,0.0,0.0
832648fffffffff,29.0,0.0,15.0
832649fffffffff,12.0,0.0,3.0
83264afffffffff,35.0,0.0,15.0
83264bfffffffff,10.0,0.0,2.0
83264cfffffffff,22.0,0.0,20.0
83264dfffffffff,33.0,0.0,10.0
83264efffffffff,32.0,0.0,8.0
832651fffffffff,2.0,0.0,0.0
832652fffffffff,12.0,0.0,0.0
832653fffffffff,1.0,0.0,0.0
832654fffffffff,4.0,0.0,0.0
832655fffffffff,9.0,0.0,0.0
832656fffffffff,5.0,0.0,1.0
832658fffffffff,2.0,0.0,0.0
832659fffffffff,72.0,0.0,60.0
83265afffffffff,5.0,0.0,5.0
83265bfffffffff,9.0,0.0,0.0
83265dfffffffff,7.0,0.0,3.0
83265efffffffff,2.0,0.0,0.0
832660fffffffff,1.0,0.0,0.0
832662fffffffff,6.0,0.0,3.0
832663fffffffff,2.0,0.0,0.0
832664fffffffff,28.0,0.0,4.0
832665fffffffff,2.0,0.0,0.0
832666fffffffff,8.0,0.0,2.0
832668fffffffff,2.0,0.0,0.0
832669fffffffff,7.0,0.0,0.0
83266afffffffff,1.0,0.0,0.0
83266bfffffffff,1.0,0.0,0.0
83266cfffffffff,2.0,0.0,0.0
83266dfffffffff,1.0,0.0,0.0
83266efffffffff,9.0,0.0,5.0
832670fffffffff,21.0,0.0,0.0
832672fffffffff,2.0,0.0,2.0
832674fffffffff,23.0,0.0,0.0
832675fffffffff,2.0,0.0,0.0
832676fffffffff,5.0,0.0,0.0
832681fffffffff,46.0,0.0,44.0
832685fffffffff,21.0,0.0,21.0
832688fffffffff,11.0,0.0,11.0
83268cfffffffff,3.0,0.0,3.0
83268efffffffff,2.0,0.0,2.0
8326a9fffffffff,6.0,0.0,2.0
8326acfffffffff,9.0,0.0,0.0
8326c3fffffffff,13.0,0.0,13.0
8326c4fffffffff,3.0,0.0,1.0
8326c5fffffffff,2.0,0.0,0.0
8326c6fffffffff,1.0,0.0,0.0
8326ccfffffffff,2.0,0.0,2.0
8326d0fffffffff,1.0,0.0,0.0
8326d1fffffffff,3.0,0.0,0.0
8326d5fffffffff,8.0,0.0,0.0
8326dcfffffffff,2.0,0.0,0.0
8326ddfffffffff,2.0,0.0,0.0
8326defffffffff,10.0,0.0,1.0
8326e0fffffffff,7.0,0.0,0.0
8326e1fffffffff,3.0,0.0,0.0
8326e2fffffffff,32.0,0.0,0.0
8326e3fffffffff,4.0,0.0,0.0
8326e4fffffffff,10.0,0.0,0.0
8326e5fffffffff,39.0,0.0,0.0
8326e9fffffffff,6.0,0.0,2.0
8326ecfffffffff,6.0,0.0,0.0
8326edfffffffff,1.0,0.0,0.0
8326eefffffffff,6.0,0.0,0.0
8326f0fffffffff,8.0,0.0,0.0
8326f1fffffffff,5.0,0.0,0.0
8326f3fffffffff,7.0,0.0,0.0
8326f5fffffffff,1.0,0.0,0.0
832702fffffffff,3.0,0.0,0.0
832703fffffffff,3.0,0.0,0.0
832709fffffffff,2.0,0.0,0.0
83270efffffffff,11.0,0.0,2.0
832719fffffffff,2.0,0.0,0.0
83271dfffffffff,2.0,0.0,0.0
832740fffffffff,13.0,0.0,0.0
832741fffffffff,106.0,0.0,0.0
832743fffffffff,3.0,0.0,0.0
832744fffffffff,4.0,0.0,0.0
832745fffffffff,17.0,0.0,1.0
832746fffffffff,6.0,0.0,0.0
832748fffffffff,87.0,0.0,0.0
832749fffffffff,101.0,0.0,2.0
83274afffffffff,18.0,0.0,0.0
83274bfffffffff,27.0,0.0,0.0
83274cfffffffff,19.0,0.0,0.0
83274dfffffffff,66.0,0.0,0.0
83274efffffffff,154.0,0.0,1.0
832752fffffffff,4.0,0.0,0.0
832754fffffffff,3.0,0.0,0.0
832756fffffffff,5.0,0.0,0.0
832758fffffffff,101.0,0.0,2.0
832759fffffffff,50.0,0.0,30.0
83275afffffffff,3.0,0.0,0.0
83275bfffffffff,13.0,0.0,0.0
83275cfffffffff,4.0,0.0,0.0
83275dfffffffff,44.0,0.0,0.0
83275efffffffff,8.0,0.0,0.0
832763fffffffff,6.0,0.0,0.0
832768fffffffff,11.0,0.0,0.0
832769fffffffff,25.0,0.0,2.0
83276afffffffff,8.0,0.0,0.0
83276bfffffffff,17.0,0.0,0.0
83276cfffffffff,4.0,0.0,0.0
83276dfffffffff,58.0,0.0,27.0
83276efffffffff,10.0,0.0,0.0
832770fffffffff,2.0,0.0,0.0
832771fffffffff,12.0,0.0,0.0
83278dfffffffff,2.0,0.0,0.0
8327acfffffffff,2.0,0.0,0.0
832810fffffffff,39.0,0.0,4.0
8328d0fffffffff,7.0,0.0,4.0
832a06fffffffff,8.0,0.0,2.0
832a10fffffffff,324.0,0.0,20.0
832a12fffffffff,255.0,0.0,7.0
832a13fffffffff,155.0,0.0,3.0
832a14fffffffff,99.0,0.0,12.0
832a15fffffffff,40.0,0.0,6.0
832a16fffffffff,28.0,0.0,0.0
832a1efffffffff,4.0,0.0,0.0
832a30fffffffff,511.0,0.0,4.0
832a31fffffffff,301.0,0.0,51.0
832a32fffffffff,185.0,0.0,10.0
832a33fffffffff,283.0,0.0,33.0
832a34fffffffff,10.0,0.0,5.0
832a36fffffffff,60.0,0.0,0.0
832a80fffffffff,3.0,0.0,0.0
832a81fffffffff,7.0,0.0,0.0
832a82fffffffff,8.0,0.0,0.0
832a84fffffffff,21.0,0.0,4.0
832a85fffffffff,16.0,0.0,0.0
832a86fffffffff,7.0,0.0,0.0
832a88fffffffff,10.0,0.0,0.0
832a89fffffffff,1.0,0.0,0.0
832a8afffffffff,2.0,0.0,0.0
832a8bfffffffff,12.0,0.0,0.0
832a8cfffffffff,51.0,0.0,4.0
832a8dfffffffff,1.0,0.0,0.0
832a90fffffffff,3.0,0.0,0.0
832a91fffffffff,2.0,0.0,0.0
832a92fffffffff,2.0,0.0,0.0
832a94fffffffff,9.0,0.0,2.0
832a95fffffffff,2.0,0.0,1.0
832a96fffffffff,2.0,0.0,0.0
832aa1fffffffff,34.0,0.0,2.0
832aa2fffffffff,3.0,0.0,0.0
832aa3fffffffff,43.0,0.0,0.0
832aa4fffffffff,29.0,0.0,20.0
832aa5fffffffff,7.0,0.0,4.0
832aa6fffffffff,20.0,0.0,0.0
832aa8fffffffff,315.0,0.0,10.0
832aa9fffffffff,166.0,0.0,42.0
832aaafffffffff,84.0,0.0,49.0
832aabfffffffff,7.0,0.0,0.0
832aacfffffffff,534.0,0.0,59.0
832aadfffffffff,53.0,0.0,5.0
832aaefffffffff,85.0,0.0,0.0
832ab0fffffffff,32.0,0.0,0.0
832ab1fffffffff,14.0,0.0,2.0
832ab2fffffffff,210.0,0.0,2.0
832ab3fffffffff,11.0,0.0,0.0
832ab4fffffffff,65.0,0.0,11.0
832ab5fffffffff,83.0,0.0,22.0
832ab6fffffffff,57.0,0.0,7.0
832ac6fffffffff,1.0,0.0,1.0
832ad5fffffffff,2.0,0.0,2.0
832ad6fffffffff,2.0,0.0,0.0
832af0fffffffff,1.0,0.0,1.0
832af1fffffffff,2.0,0.0,2.0
832af3fffffffff,4.0,0.0,3.0
832af6fffffffff,3.0,0.0,0.0
832b00fffffffff,12.0,0.0,0.0
832b02fffffffff,5.0,0.0,0.0
832b03fffffffff,6.0,0.0,0.0
832b06fffffffff,4.0,0.0,0.0
832b0afffffffff,55.0,0.0,0.0
832b0cfffffffff,10.0,0.0,0.0
832b12fffffffff,253.0,0.0,0.0
832b16fffffffff,14.0,0.0,0.0
832b18fffffffff,5.0,0.0,0.0
832b19fffffffff,1.0,0.0,0.0
832b1afffffffff,5.0,0.0,0.0
832b1dfffffffff,7.0,0.0,0.0
832b31fffffffff,2.0,0.0,0.0
832b33fffffffff,1.0,0.0,0.0
832b80fffffffff,2.0,0.0,0.0
832b81fffffffff,36.0,0.0,12.0
832b82fffffffff,1.0,0.0,0.0
832b83fffffffff,66.0,0.0,8.0
832b85fffffffff,5.0,0.0,0.0
832b88fffffffff,6.0,0.0,0.0
832b89fffffffff,31.0,0.0,0.0
832b8afffffffff,8.0,0.0,6.0
832b8bfffffffff,19.0,0.0,0.0
832b8cfffffffff,23.0,0.0,0.0
832b8dfffffffff,51.0,0.0,2.0
832b8efffffffff,22.0,0.0,2.0
832b90fffffffff,4.0,0.0,0.0
832b91fffffffff,7.0,0.0,3.0
832b93fffffffff,7.0,0.0,0.0
832b94fffffffff,2.0,0.0,0.0
832b98fffffffff,88.0,0.0,9.0
832b99fffffffff,26.0,0.0,6.0
832b9afffffffff,15.0,0.0,0.0
832b9bfffffffff,115.0,0.0,7.0
832b9cfffffffff,119.0,0.0,33.0
832b9dfffffffff,192.0,0.0,47.0
832b9efffffffff,10.0,0.0,0.0
832ba0fffffffff,2.0,0.0,0.0
832ba5fffffffff,5.0,0.0,0.0
832ba8fffffffff,50.0,0.0,0.0
832ba9fffffffff,5.0,0.0,0.0
832baafffffffff,284.0,0.0,0.0
832babfffffffff,11.0,0.0,2.0
832bacfffffffff,2.0,0.0,0.0
832baefffffffff,21.0,0.0,0.0
832bb2fffffffff,4.0,0.0,0.0
832bb3fffffffff,2.0,0.0,0.0
834412fffffffff,8.0,0.0,2.0
834413fffffffff,4.0,0.0,0.0
83441afffffffff,101.0,0.0,35.0
83441efffffffff,9.0,0.0,0.0
834432fffffffff,2.0,0.0,0.0
834440fffffffff,20.0,0.0,2.0
834442fffffffff,21.0,0.0,0.0
834445fffffffff,36.0,0.0,0.0
834446fffffffff,15.0,0.0,0.0
834448fffffffff,2.0,0.0,0.0
834449fffffffff,6.0,0.0,0.0
83444cfffffffff,1.0,0.0,0.0
83444dfffffffff,1.0,0.0,1.0
83444efffffffff,5.0,0.0,0.0
834450fffffffff,1.0,0.0,0.0
834455fffffffff,9.0,0.0,0.0
83445dfffffffff,1.0,0.0,0.0
834463fffffffff,1.0,0.0,1.0
834469fffffffff,9.0,0.0,9.0
83446cfffffffff,14.0,0.0,2.0
83446dfffffffff,12.0,0.0,6.0
83446efffffffff,1.0,0.0,1.0
8344a5fffffffff,1.0,0.0,0.0
8344a8fffffffff,12.0,0.0,10.0
8344a9fffffffff,10.0,0.0,0.0
8344abfffffffff,2.0,0.0,2.0
8344acfffffffff,26.0,0.0,3.0
8344adfffffffff,32.0,0.0,4.0
8344c0fffffffff,2.0,0.0,0.0
8344c1fffffffff,9.0,0.0,0.0
8344c3fffffffff,1.0,0.0,0.0
8344c5fffffffff,2.0,0.0,0.0
8344c8fffffffff,6.0,0.0,6.0
8344c9fffffffff,15.0,0.0,0.0
8344cafffffffff,12.0,0.0,12.0
8344cbfffffffff,14.0,0.0,2.0
8344ccfffffffff,1.0,0.0,0.0
8344cdfffffffff,6.0,0.0,6.0
8344cefffffffff,1.0,0.0,1.0
8344d1fffffffff,2.0,0.0,0.0
8344d3fffffffff,2.0,0.0,0.0
8344d5fffffffff,7.0,0.0,0.0
8344d8fffffffff,4.0,0.0,0.0
8344d9fffffffff,10.0,0.0,10.0
8344dafffffffff,2.0,0.0,0.0
8344dbfffffffff,2.0,0.0,0.0
8344ddfffffffff,20.0,0.0,0.0
8344defffffffff,7.0,0.0,2.0
8344e4fffffffff,2.0,0.0,0.0
8344e6fffffffff,2.0,0.0,0.0
8344ecfffffffff,2.0,0.0,0.0
8344eefffffffff,3.0,0.0,0.0
8344f0fffffffff,5.0,0.0,2.0
8344f4fffffffff,17.0,0.0,0.0
8344f5fffffffff,12.0,0.0,0.0
834509fffffffff,4.0,0.0,0.0
834520fffffffff,16.0,0.0,2.0
834521fffffffff,5.0,0.0,0.0
834522fffffffff,6.0,0.0,0.0
834523fffffffff,4.0,0.0,0.0
834525fffffffff,5.0,0.0,0.0
83452afffffffff,12.0,0.0,0.0
83452cfffffffff,8.0,0.0,4.0
83452dfffffffff,1.0,0.0,1.0
83452efffffffff,7.0,0.0,0.0
83482bfffffffff,1.0,0.0,0.0
834882fffffffff,6.0,0.0,4.0
83488bfffffffff,1.0,0.0,0.0
834890fffffffff,2.0,0.0,1.0
834891fffffffff,1.0,0.0,1.0
834893fffffffff,6.0,0.0,2.0
834895fffffffff,13.0,0.0,2.0
