cell_id,Selasphorus flammula,Selasphorus flammula flammula,Selasphorus flammula torridus,Selasphorus flammula simoni
8366b4fffffffff,305.0,3.0,257.0,0.0
8366b5fffffffff,10.0,0.0,0.0,0.0
836d69fffffffff,34.0,0.0,0.0,31.0
