cell_id,Basileuterus tristriatus,Basileuterus tristriatus sanlucasensis,Basileuterus tristriatus daedalus,Basileuterus tristriatus auricularis,Basileuterus tristriatus meridanus/bessereri,Basileuterus tristriatus pariae,Basileuterus tristriatus tristriatus/baezae
845f4a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845f4a7ffffffff,11.0,0.0,0.0,0.0,1.0,0.0,0.0
845f59bffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
846601bffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466083ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466087ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466089ffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,350.0,0.0,0.0,0.0,0.0,0.0,0.0
8466097ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b3ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84660b9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bbffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c1ffffffff,4.0,0.0,0.0,2.0,0.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84660cbffffffff,25.0,0.0,0.0,3.0,0.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8466181ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8466183ffffffff,526.0,0.0,0.0,13.0,0.0,0.0,0.0
8466185ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
