cell_id,Sclerurus obscurior,Sclerurus obscurior andinus,Sclerurus obscurior obscurior,Sclerurus obscurior peruvianus,Sclerurus obscurior macconnelli,Sclerurus obscurior bahiae
83661afffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8366d1fffffffff,4.0,0.0,1.0,0.0,0.0,0.0
8366d3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
838065fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
838134fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
838146fffffffff,1.0,0.0,0.0,0.0,1.0,0.0
83814afffffffff,6.0,0.0,0.0,0.0,6.0,0.0
83814efffffffff,7.0,0.0,0.0,0.0,7.0,0.0
838171fffffffff,10.0,0.0,0.0,0.0,8.0,0.0
838b61fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
838b69fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f0dfffffffff,13.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83a812fffffffff,80.0,0.0,3.0,0.0,13.0,26.0
83a815fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83a89bfffffffff,1.0,0.0,0.0,0.0,1.0,0.0
83a8a5fffffffff,10.0,0.0,0.0,0.0,4.0,6.0
