cell_id,Actenoides monachus,Actenoides monachus monachus,Actenoides monachus capucinus
8368c8fffffffff,319.0,75.0,0.0
8368cafffffffff,2.0,0.0,0.0
8368cefffffffff,57.0,13.0,0.0
8368d2fffffffff,1.0,0.0,0.0
8368ddfffffffff,12.0,3.0,0.0
839500fffffffff,43.0,0.0,38.0
839505fffffffff,1.0,0.0,1.0
83952dfffffffff,1.0,0.0,0.0
839576fffffffff,2.0,0.0,0.0
