cell_id,Columba palumbus,Columba palumbus [palumbus Group],Columba palumbus casiotis
822c27fffffffff,156.0,0.0,0.0
822c2ffffffffff,306.0,0.0,0.0
822c37fffffffff,72.0,0.0,0.0
822c67fffffffff,30.0,0.0,0.0
822c77fffffffff,10.0,0.0,0.0
822c87fffffffff,69.0,0.0,0.0
822c8ffffffffff,26.0,0.0,0.0
822c97fffffffff,33.0,0.0,0.0
822c9ffffffffff,20.0,0.0,0.0
822ca7fffffffff,21.0,0.0,0.0
822caffffffffff,237.0,0.0,0.0
822cc7fffffffff,324.0,0.0,0.0
822ccffffffffff,40.0,0.0,0.0
822cd7fffffffff,110.0,0.0,0.0
822cdffffffffff,6.0,0.0,0.0
822ce7fffffffff,66.0,0.0,0.0
822cf7fffffffff,727.0,0.0,0.0
822d07fffffffff,284.0,0.0,0.0
822d0ffffffffff,1.0,0.0,0.0
822d17fffffffff,92.0,0.0,0.0
822d1ffffffffff,121.0,0.0,0.0
822d27fffffffff,20.0,0.0,0.0
822d2ffffffffff,12.0,2.0,0.0
822d37fffffffff,249.0,0.0,0.0
822d47fffffffff,3.0,0.0,0.0
822d57fffffffff,14.0,0.0,0.0
822d5ffffffffff,15.0,0.0,0.0
822d67fffffffff,186.0,0.0,0.0
822d77fffffffff,45.0,0.0,0.0
822da7fffffffff,172.0,16.0,0.0
822daffffffffff,452.0,26.0,0.0
822db7fffffffff,204.0,0.0,0.0
823427fffffffff,633.0,33.0,0.0
823437fffffffff,278.0,0.0,0.0
82351ffffffffff,3488.0,39.0,0.0
8235affffffffff,465.0,3.0,0.0
823817fffffffff,7.0,0.0,0.0
823827fffffffff,1908.0,17.0,0.0
82382ffffffffff,4.0,1.0,0.0
823837fffffffff,199.0,39.0,0.0
82384ffffffffff,2.0,0.0,0.0
823867fffffffff,49.0,8.0,0.0
82386ffffffffff,43.0,0.0,0.0
823877fffffffff,21.0,2.0,0.0
823907fffffffff,13013.0,67.0,0.0
82390ffffffffff,17298.0,4.0,0.0
823917fffffffff,6252.0,76.0,0.0
82391ffffffffff,10861.0,302.0,0.0
823927fffffffff,11920.0,918.0,0.0
82392ffffffffff,20001.0,52.0,0.0
823937fffffffff,3261.0,39.0,0.0
823947fffffffff,9476.0,6.0,0.0
82394ffffffffff,14.0,0.0,0.0
823957fffffffff,5486.0,0.0,0.0
82395ffffffffff,760.0,0.0,0.0
823967fffffffff,1420.0,37.0,0.0
82396ffffffffff,1973.0,107.0,0.0
823977fffffffff,12109.0,49.0,0.0
823987fffffffff,858.0,153.0,0.0
82398ffffffffff,132.0,9.0,0.0
823997fffffffff,132.0,29.0,0.0
82399ffffffffff,35.0,16.0,0.0
8239affffffffff,302.0,100.0,0.0
823c37fffffffff,4.0,0.0,0.0
823d17fffffffff,14.0,0.0,0.0
823d1ffffffffff,26.0,0.0,0.0
823d37fffffffff,79.0,0.0,0.0
823daffffffffff,63.0,0.0,0.0
823f27fffffffff,16.0,0.0,0.0
823f2ffffffffff,6.0,0.0,0.0
823f37fffffffff,236.0,6.0,0.0
823f47fffffffff,4.0,0.0,0.0
823f4ffffffffff,481.0,90.0,0.0
823f67fffffffff,291.0,1.0,0.0
823f6ffffffffff,71.0,0.0,0.0
823f77fffffffff,83.0,0.0,0.0
82426ffffffffff,38.0,0.0,0.0
824307fffffffff,7.0,0.0,0.0
82430ffffffffff,5.0,0.0,0.0
82431ffffffffff,25.0,0.0,0.0
824327fffffffff,36.0,0.0,0.0
82432ffffffffff,2.0,0.0,0.0
824337fffffffff,17.0,0.0,0.0
824367fffffffff,5.0,0.0,0.0
82438ffffffffff,8.0,0.0,4.0
8243a7fffffffff,71.0,0.0,0.0
8243affffffffff,15.0,0.0,0.0
