cell_id,Epinecrophylla haematonota,Epinecrophylla haematonota pyrrhonota,Epinecrophylla haematonota fjeldsaai,Epinecrophylla haematonota haematonota,Epinecrophylla haematonota fjeldsaai x haematonota
825f6ffffffffff,9.0,4.0,0.0,0.0,0.0
825f77fffffffff,8.0,7.0,0.0,0.0,0.0
826647fffffffff,3.0,1.0,0.0,0.0,0.0
82664ffffffffff,3.0,3.0,0.0,0.0,0.0
82665ffffffffff,106.0,53.0,0.0,0.0,0.0
82666ffffffffff,4.0,2.0,0.0,0.0,0.0
8266c7fffffffff,31.0,23.0,0.0,0.0,0.0
8266cffffffffff,22.0,11.0,0.0,0.0,0.0
8266d7fffffffff,3.0,3.0,0.0,0.0,0.0
8266dffffffffff,127.0,0.0,100.0,0.0,0.0
8266effffffffff,9.0,2.0,0.0,0.0,0.0
828a47fffffffff,16.0,0.0,0.0,0.0,0.0
828a57fffffffff,1.0,1.0,0.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0,0.0,0.0
828a6ffffffffff,100.0,7.0,0.0,46.0,0.0
828a77fffffffff,1.0,0.0,0.0,0.0,0.0
828adffffffffff,2.0,2.0,0.0,0.0,0.0
828af7fffffffff,99.0,86.0,0.0,0.0,0.0
828f47fffffffff,24.0,0.0,0.0,22.0,0.0
828f4ffffffffff,4.0,0.0,0.0,0.0,0.0
828f67fffffffff,34.0,0.0,0.0,18.0,0.0
828f6ffffffffff,7.0,0.0,0.0,6.0,0.0
828f77fffffffff,3.0,0.0,0.0,1.0,0.0
