cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
82452ffffffffff,30.0,0.0,13.0,0.0,0.0
824997fffffffff,28.0,0.0,10.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0,0.0
8249b7fffffffff,9.0,9.0,0.0,0.0,0.0
826617fffffffff,4.0,0.0,0.0,0.0,0.0
8266a7fffffffff,15.0,0.0,0.0,5.0,0.0
8266b7fffffffff,91.0,0.0,0.0,84.0,0.0
826797fffffffff,5.0,0.0,0.0,0.0,0.0
826d17fffffffff,3.0,3.0,0.0,0.0,0.0
826d27fffffffff,15.0,0.0,0.0,0.0,0.0
826d2ffffffffff,22.0,0.0,19.0,0.0,0.0
826d37fffffffff,20.0,2.0,2.0,0.0,0.0
826d67fffffffff,6.0,0.0,4.0,0.0,0.0
826d6ffffffffff,272.0,0.0,12.0,252.0,0.0
