cell_id,Pyrrhura melanura,Pyrrhura melanura pacifica,Pyrrhura melanura chapmani,Pyrrhura melanura [melanura Group]
835f42fffffffff,2.0,0.0,0.0,0.0
836641fffffffff,3.0,0.0,0.0,3.0
8366c0fffffffff,7.0,0.0,0.0,0.0
8366c4fffffffff,15.0,0.0,1.0,0.0
8366c6fffffffff,9.0,0.0,9.0,0.0
8366d0fffffffff,29.0,20.0,0.0,0.0
8366d3fffffffff,1.0,0.0,0.0,0.0
8366d4fffffffff,4.0,0.0,0.0,0.0
8366defffffffff,13.0,0.0,0.0,4.0
8366e0fffffffff,4.0,0.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0,0.0
8366ecfffffffff,6.0,0.0,0.0,0.0
838a4efffffffff,1.0,0.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0,0.0
