cell_id,Streptocitta albicollis,Streptocitta albicollis torquata,Streptocitta albicollis albicollis
8468c21ffffffff,2.0,1.0,0.0
8468c23ffffffff,3.0,0.0,0.0
8468c3dffffffff,4.0,0.0,0.0
8468c89ffffffff,1.0,0.0,0.0
8468c8bffffffff,184.0,49.0,0.0
8468ca9ffffffff,1.0,0.0,0.0
8468cadffffffff,1.0,0.0,0.0
8468ce7ffffffff,55.0,18.0,0.0
8468d05ffffffff,2.0,2.0,0.0
8468d23ffffffff,1.0,0.0,0.0
8468d29ffffffff,4.0,1.0,0.0
8468d2bffffffff,8.0,1.0,0.0
8468d63ffffffff,1.0,0.0,0.0
8468d8bffffffff,2.0,0.0,0.0
8468d8dffffffff,1.0,1.0,0.0
8468ddbffffffff,42.0,12.0,0.0
8495009ffffffff,3.0,0.0,0.0
849500bffffffff,31.0,0.0,9.0
8495055ffffffff,1.0,0.0,1.0
84950d1ffffffff,4.0,0.0,0.0
849523bffffffff,1.0,0.0,0.0
