cell_id,Thalasseus sandvicensis,Thalasseus sandvicensis sandvicensis,Thalasseus sandvicensis acuflavidus,Thalasseus sandvicensis eurygnathus,Thalasseus sandvicensis acuflavidus x eurygnathus
820887fffffffff,1.0,0.0,0.0,0.0,0.0
820897fffffffff,44.0,19.0,0.0,0.0,0.0
82089ffffffffff,116.0,2.0,0.0,0.0,0.0
8208b7fffffffff,1.0,0.0,0.0,0.0,0.0
820987fffffffff,2.0,1.0,0.0,0.0,0.0
820997fffffffff,22.0,2.0,0.0,0.0,0.0
82099ffffffffff,2.0,0.0,0.0,0.0,0.0
8209a7fffffffff,8.0,0.0,0.0,0.0,0.0
821137fffffffff,3.0,0.0,0.0,0.0,0.0
821807fffffffff,360.0,251.0,0.0,0.0,0.0
82180ffffffffff,9.0,2.0,0.0,0.0,0.0
821827fffffffff,43.0,11.0,0.0,0.0,0.0
82182ffffffffff,744.0,444.0,0.0,0.0,0.0
821847fffffffff,258.0,24.0,0.0,0.0,0.0
82184ffffffffff,2982.0,46.0,0.0,0.0,0.0
82185ffffffffff,261.0,0.0,0.0,0.0,0.0
821867fffffffff,95.0,31.0,0.0,0.0,0.0
82186ffffffffff,72.0,4.0,0.0,0.0,0.0
821877fffffffff,265.0,60.0,0.0,0.0,0.0
82190ffffffffff,27.0,5.0,0.0,0.0,0.0
82192ffffffffff,191.0,78.0,0.0,0.0,0.0
821947fffffffff,1522.0,325.0,0.0,0.0,0.0
82194ffffffffff,2267.0,385.0,0.0,0.0,0.0
821957fffffffff,426.0,143.0,0.0,0.0,0.0
82195ffffffffff,966.0,80.0,0.0,0.0,0.0
82196ffffffffff,560.0,17.0,0.0,0.0,0.0
821977fffffffff,799.0,109.0,0.0,0.0,0.0
821e4ffffffffff,48.0,0.0,0.0,0.0,0.0
821e5ffffffffff,98.0,0.0,0.0,0.0,0.0
821e87fffffffff,195.0,7.0,0.0,0.0,0.0
821e8ffffffffff,17.0,0.0,0.0,0.0,0.0
821e97fffffffff,22.0,2.0,0.0,0.0,0.0
821e9ffffffffff,8.0,1.0,0.0,0.0,0.0
821ea7fffffffff,245.0,5.0,0.0,0.0,0.0
821eaffffffffff,17.0,0.0,0.0,0.0,0.0
821eb7fffffffff,114.0,2.0,0.0,0.0,0.0
821ec7fffffffff,217.0,28.0,0.0,0.0,0.0
821ecffffffffff,779.0,35.0,0.0,0.0,0.0
821ed7fffffffff,203.0,4.0,0.0,0.0,0.0
821edffffffffff,383.0,9.0,0.0,0.0,0.0
821eeffffffffff,319.0,66.0,0.0,0.0,0.0
821ef7fffffffff,41.0,27.0,0.0,0.0,0.0
821f07fffffffff,665.0,249.0,0.0,0.0,0.0
821f0ffffffffff,191.0,6.0,0.0,0.0,0.0
821f17fffffffff,8.0,0.0,0.0,0.0,0.0
821f27fffffffff,187.0,51.0,0.0,0.0,0.0
821f2ffffffffff,219.0,89.0,0.0,0.0,0.0
821f37fffffffff,279.0,9.0,0.0,0.0,0.0
821f67fffffffff,99.0,4.0,0.0,0.0,0.0
821f77fffffffff,412.0,19.0,0.0,0.0,0.0
821f9ffffffffff,23.0,2.0,0.0,0.0,0.0
821fb7fffffffff,2.0,0.0,0.0,0.0,0.0
