cell_id,Spermophaga haematina,Spermophaga haematina haematina/togoensis,Spermophaga haematina pustulata
8254affffffffff,121.0,6.0,0.0
8254e7fffffffff,4.0,0.0,0.0
8254effffffffff,5.0,0.0,0.0
8254f7fffffffff,50.0,7.0,0.0
825887fffffffff,5.0,0.0,0.0
82588ffffffffff,1.0,0.0,0.0
825897fffffffff,16.0,2.0,0.0
8258a7fffffffff,2.0,0.0,0.0
8258d7fffffffff,8.0,0.0,0.0
8258dffffffffff,5.0,0.0,4.0
826a9ffffffffff,5.0,0.0,0.0
82750ffffffffff,239.0,49.0,0.0
82751ffffffffff,3.0,0.0,0.0
827527fffffffff,2.0,0.0,0.0
82752ffffffffff,139.0,19.0,0.0
827577fffffffff,2.0,0.0,0.0
827587fffffffff,2.0,0.0,0.0
8275a7fffffffff,11.0,0.0,0.0
8275b7fffffffff,2.0,0.0,0.0
828287fffffffff,1.0,0.0,0.0
82828ffffffffff,48.0,0.0,4.0
828297fffffffff,6.0,0.0,0.0
8282a7fffffffff,3.0,0.0,0.0
8282affffffffff,19.0,0.0,0.0
8282d7fffffffff,27.0,0.0,0.0
8282f7fffffffff,2.0,0.0,0.0
82838ffffffffff,3.0,0.0,1.0
