cell_id,Pterodroma hasitata,Pterodroma hasitata (White-faced),Pterodroma hasitata (Dark-faced)
84264b9ffffffff,1.0,0.0,0.0
842a003ffffffff,2.0,0.0,0.0
842a005ffffffff,3.0,0.0,0.0
842a007ffffffff,4.0,4.0,0.0
842a00bffffffff,16.0,0.0,0.0
842a013ffffffff,1.0,0.0,0.0
842a01dffffffff,2.0,0.0,0.0
842a021ffffffff,4.0,0.0,0.0
842a023ffffffff,34.0,12.0,0.0
842a02bffffffff,2.0,0.0,0.0
842a043ffffffff,7.0,7.0,0.0
842a051ffffffff,60.0,25.0,0.0
842a055ffffffff,20.0,20.0,0.0
842a059ffffffff,29.0,0.0,0.0
842a05dffffffff,7.0,7.0,0.0
842a109ffffffff,1.0,0.0,0.0
842a151ffffffff,4.0,0.0,0.0
842a181ffffffff,19.0,0.0,0.0
842a185ffffffff,90.0,5.0,0.0
842a187ffffffff,119.0,0.0,0.0
842a18dffffffff,77.0,0.0,0.0
842a191ffffffff,2.0,0.0,1.0
842a195ffffffff,5.0,0.0,0.0
842a1a1ffffffff,4.0,0.0,0.0
842a1a9ffffffff,4.0,0.0,0.0
842a1abffffffff,9.0,0.0,0.0
842a1bdffffffff,7.0,0.0,0.0
842a1c1ffffffff,60.0,1.0,1.0
842a1c9ffffffff,176.0,18.0,0.0
842a1cbffffffff,35.0,0.0,0.0
842a1cdffffffff,37.0,0.0,0.0
842a213ffffffff,1.0,0.0,0.0
842a231ffffffff,2.0,0.0,0.0
842a25bffffffff,1.0,0.0,0.0
842a2c7ffffffff,1.0,1.0,0.0
842a2e1ffffffff,1.0,0.0,0.0
842a2e5ffffffff,6.0,1.0,0.0
842a2edffffffff,1.0,0.0,0.0
842a89dffffffff,2.0,0.0,0.0
842aad1ffffffff,5.0,0.0,0.0
842aad3ffffffff,1.0,0.0,0.0
842ac69ffffffff,74.0,2.0,4.0
842ac6dffffffff,177.0,0.0,0.0
842aca9ffffffff,2.0,0.0,0.0
842ace1ffffffff,2.0,0.0,0.0
842ace3ffffffff,2.0,0.0,0.0
842ad1bffffffff,2.0,0.0,0.0
842ad89ffffffff,2.0,0.0,0.0
842adc3ffffffff,3.0,0.0,0.0
842adc7ffffffff,2.0,0.0,0.0
842adc9ffffffff,3.0,0.0,0.0
842ade1ffffffff,1.0,0.0,0.0
842ade9ffffffff,1.0,0.0,0.0
842ae45ffffffff,1.0,0.0,0.0
842ae69ffffffff,1.0,0.0,0.0
842af09ffffffff,1.0,0.0,0.0
842af43ffffffff,7.0,0.0,0.0
842af4bffffffff,25.0,0.0,0.0
842af59ffffffff,2.0,0.0,0.0
842af5dffffffff,36.0,0.0,0.0
842af63ffffffff,9.0,0.0,0.0
842af6bffffffff,3.0,0.0,0.0
842b2e3ffffffff,2.0,0.0,0.0
842b9b3ffffffff,6.0,0.0,0.0
842b9b5ffffffff,1.0,0.0,0.0
84351a7ffffffff,1.0,0.0,0.0
843925bffffffff,1.0,1.0,0.0
8444141ffffffff,3.0,0.0,0.0
