cell_id,Arizelocichla striifacies,Arizelocichla striifacies striifacies,Arizelocichla striifacies olivaceiceps
837a60fffffffff,2.0,2.0,0.0
837a61fffffffff,14.0,0.0,0.0
837a64fffffffff,92.0,34.0,0.0
837a65fffffffff,18.0,10.0,0.0
837b48fffffffff,38.0,19.0,0.0
837b4bfffffffff,188.0,78.0,0.0
837b4dfffffffff,1.0,0.0,0.0
839692fffffffff,191.0,69.0,0.0
839693fffffffff,1.0,0.0,0.0
8396a3fffffffff,2.0,2.0,0.0
8396b0fffffffff,6.0,2.0,0.0
8396b2fffffffff,3.0,0.0,0.0
8396b5fffffffff,10.0,2.0,0.0
8396b6fffffffff,25.0,2.0,0.0
839789fffffffff,16.0,0.0,5.0
83978bfffffffff,1.0,0.0,0.0
83978efffffffff,21.0,0.0,0.0
8397a8fffffffff,40.0,0.0,24.0
