cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
834430fffffffff,1440.0,270.0,0.0,0.0
834432fffffffff,1247.0,193.0,0.0,0.0
834434fffffffff,240.0,35.0,0.0,0.0
834436fffffffff,34.0,12.0,0.0,0.0
834480fffffffff,65.0,0.0,0.0,0.0
834484fffffffff,250.0,0.0,0.0,0.0
834485fffffffff,23.0,0.0,0.0,0.0
834486fffffffff,530.0,0.0,0.0,0.0
8344a2fffffffff,42.0,0.0,0.0,0.0
8344a3fffffffff,291.0,0.0,0.0,0.0
8344b1fffffffff,202.0,0.0,0.0,0.0
8344b5fffffffff,734.0,0.0,0.0,0.0
83451bfffffffff,47.0,0.0,0.0,0.0
834583fffffffff,118.0,25.0,0.0,0.0
834584fffffffff,53.0,0.0,0.0,0.0
834588fffffffff,678.0,94.0,0.0,0.0
834589fffffffff,26.0,1.0,0.0,0.0
83458afffffffff,13.0,0.0,0.0,0.0
83458cfffffffff,1002.0,149.0,0.0,0.0
83458dfffffffff,274.0,57.0,0.0,0.0
83458efffffffff,517.0,73.0,0.0,0.0
834590fffffffff,27.0,4.0,0.0,0.0
834591fffffffff,345.0,69.0,0.0,0.0
834592fffffffff,24.0,2.0,0.0,0.0
834593fffffffff,12.0,0.0,0.0,0.0
834595fffffffff,3.0,0.0,0.0,0.0
834596fffffffff,10.0,0.0,0.0,0.0
834598fffffffff,1220.0,167.0,0.0,0.0
83459cfffffffff,64.0,4.0,0.0,0.0
83459dfffffffff,137.0,8.0,0.0,0.0
83459efffffffff,78.0,32.0,0.0,0.0
8345a3fffffffff,895.0,0.0,0.0,0.0
8345aefffffffff,60.0,0.0,0.0,0.0
8345b0fffffffff,67.0,0.0,0.0,0.0
8345b2fffffffff,2128.0,13.0,0.0,0.0
8345b3fffffffff,6.0,0.0,0.0,0.0
834c88fffffffff,11.0,0.0,0.0,3.0
834c89fffffffff,7.0,0.0,0.0,2.0
834c8bfffffffff,6.0,0.0,0.0,0.0
834c93fffffffff,155.0,2.0,0.0,0.0
834c98fffffffff,73.0,52.0,0.0,0.0
834c9afffffffff,26.0,0.0,0.0,0.0
834c9efffffffff,16.0,0.0,0.0,0.0
834cc0fffffffff,866.0,0.0,183.0,0.0
834cc4fffffffff,35.0,0.0,12.0,0.0
834cc5fffffffff,3446.0,0.0,1005.0,0.0
834cc6fffffffff,13.0,0.0,0.0,2.0
834cd2fffffffff,4.0,0.0,0.0,0.0
834cd4fffffffff,49.0,0.0,0.0,13.0
834cd6fffffffff,5.0,0.0,0.0,0.0
834ce8fffffffff,92.0,0.0,0.0,0.0
834ceafffffffff,841.0,0.0,265.0,0.0
834ceefffffffff,1132.0,0.0,236.0,0.0
834cf3fffffffff,5.0,0.0,0.0,0.0
836720fffffffff,14.0,0.0,0.0,0.0
836724fffffffff,4.0,0.0,0.0,0.0
836725fffffffff,274.0,0.0,0.0,147.0
836726fffffffff,17.0,0.0,0.0,0.0
836730fffffffff,476.0,11.0,0.0,0.0
836732fffffffff,1175.0,36.0,0.0,0.0
836736fffffffff,1048.0,11.0,0.0,0.0
