cell_id,Pycnonotus plumosus,Pycnonotus plumosus [plumosus Group],Pycnonotus plumosus porphyreus
846414dffffffff,2.0,0.0,0.0
8464225ffffffff,14.0,0.0,0.0
846422dffffffff,17.0,0.0,0.0
8464265ffffffff,2.0,0.0,0.0
8464267ffffffff,11.0,0.0,0.0
846426dffffffff,3.0,0.0,0.0
8464301ffffffff,2.0,0.0,0.0
846430bffffffff,3.0,0.0,0.0
8464311ffffffff,1.0,0.0,0.0
8464319ffffffff,50.0,0.0,0.0
846431dffffffff,3.0,0.0,0.0
8464339ffffffff,3.0,0.0,0.0
846433dffffffff,2.0,0.0,0.0
8464343ffffffff,9.0,0.0,0.0
8464347ffffffff,2.0,0.0,0.0
846434bffffffff,9.0,1.0,0.0
8464353ffffffff,69.0,1.0,0.0
8464355ffffffff,2.0,0.0,0.0
8464359ffffffff,85.0,2.0,0.0
846435bffffffff,26.0,0.0,0.0
846435dffffffff,2.0,0.0,0.0
8465005ffffffff,49.0,0.0,0.0
8465009ffffffff,17.0,0.0,0.0
846500bffffffff,7.0,0.0,0.0
8465017ffffffff,13.0,0.0,0.0
8465019ffffffff,1.0,0.0,0.0
846501dffffffff,7.0,0.0,0.0
8465021ffffffff,7.0,0.0,0.0
8465029ffffffff,9.0,0.0,0.0
846502bffffffff,15.0,0.0,0.0
8465031ffffffff,5.0,0.0,0.0
8465033ffffffff,64.0,0.0,0.0
8465037ffffffff,7.0,0.0,0.0
846503bffffffff,5.0,0.0,0.0
8465051ffffffff,142.0,0.0,0.0
8465055ffffffff,117.0,0.0,0.0
8465057ffffffff,184.0,0.0,0.0
8465059ffffffff,15.0,0.0,0.0
846505dffffffff,33.0,0.0,0.0
8465063ffffffff,1.0,0.0,0.0
8465099ffffffff,11.0,0.0,0.0
8465181ffffffff,1.0,0.0,0.0
8465183ffffffff,11.0,0.0,0.0
8465187ffffffff,3.0,0.0,0.0
8465189ffffffff,19.0,0.0,0.0
846518bffffffff,1.0,0.0,0.0
846518dffffffff,2.0,0.0,0.0
