cell_id,Periparus ater,Periparus ater britannicus/hibernicus,Periparus ater [ater Group],Periparus ater ledouci/atlas,Periparus ater cypriotes,Periparus ater [phaeonotus Group],Periparus ater melanolophus,Periparus ater [aemodius Group],Periparus ater ptilosus/kuatunensis
8208a7fffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e97fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ecffffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821ed7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821edffffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821ef7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
